"sex","hour","diet","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","0","NR","order",1,9,0.501,0.497,"",0.053,1
"F","0","PR","order",1,9,2.292,0.164,"",0.203,1
"M","0","NR","order",1,10,0.009,0.926,"",0.000902,1
"M","0","PR","order",1,10,2.432,0.15,"",0.196,1
"F","1","NR","order",1,9,0.449,0.52,"",0.048,1
"F","1","PR","order",1,9,1.009,0.341,"",0.101,1
"M","1","NR","order",1,10,0.123,0.733,"",0.012,1
"M","1","PR","order",1,10,0.106,0.752,"",0.01,1
"F","2","NR","order",1,9,0.012,0.915,"",0.001,1
"F","2","PR","order",1,9,0.393,0.546,"",0.042,1
"M","2","NR","order",1,10,3.735,0.082,"",0.272,1
"M","2","PR","order",1,10,0.169,0.689,"",0.017,1
"F","3","NR","order",1,9,1.61,0.236,"",0.152,1
"F","3","PR","order",1,9,2.972,0.119,"",0.248,1
"M","3","NR","order",1,10,0.324,0.582,"",0.031,1
"M","3","PR","order",1,10,0.03,0.866,"",0.003,1
"F","4","NR","order",1,9,0.000529,0.982,"",5.88e-05,1
"F","4","PR","order",1,9,3.319,0.102,"",0.269,1
"M","4","NR","order",1,10,5.527,0.041,"*",0.356,1
"M","4","PR","order",1,10,0.801,0.392,"",0.074,1
"F","5","NR","order",1,9,0.622,0.451,"",0.065,1
"F","5","PR","order",1,9,1.847,0.207,"",0.17,1
"M","5","NR","order",1,10,16.61,0.002,"*",0.624,0.192
"M","5","PR","order",1,10,0.012,0.917,"",0.001,1
"F","6","NR","order",1,9,0.701,0.424,"",0.072,1
"F","6","PR","order",1,9,0.566,0.471,"",0.059,1
"M","6","NR","order",1,10,0.021,0.888,"",0.002,1
"M","6","PR","order",1,10,0.03,0.866,"",0.003,1
"F","7","NR","order",1,9,0.115,0.743,"",0.013,1
"F","7","PR","order",1,9,0.734,0.414,"",0.075,1
"M","7","NR","order",1,10,3.402,0.095,"",0.254,1
"M","7","PR","order",1,10,0.000875,0.977,"",8.75e-05,1
"F","8","NR","order",1,9,0.045,0.836,"",0.005,1
"F","8","PR","order",1,9,0.563,0.472,"",0.059,1
"M","8","NR","order",1,10,1.778,0.212,"",0.151,1
"M","8","PR","order",1,10,0,1,"",0,1
"F","9","NR","order",1,9,0.132,0.725,"",0.014,1
"F","9","PR","order",1,9,0.2,0.666,"",0.022,1
"M","9","NR","order",1,10,4.418,0.062,"",0.306,1
"M","9","PR","order",1,10,0.097,0.762,"",0.01,1
