"sex","hour","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","0","NR","order","1","2",0,0.876190476190477,-1.92495299408858,3.67733394646953,0.497,"ns"
"F","0","PR","order","1","2",0,-2.83809523809524,-7.07853396074978,1.4023434845593,0.164,"ns"
"M","0","NR","order","1","2",0,0.166666666666668,-3.74221822003399,4.07555155336732,0.926,"ns"
"M","0","PR","order","1","2",0,1.57142857142857,-0.673822955846646,3.81668009870379,0.15,"ns"
"F","1","NR","order","1","2",0,0.566666666666667,-1.34580855929366,2.479141892627,0.52,"ns"
"F","1","PR","order","1","2",0,-0.90952380952381,-2.95736788302693,1.13832026397931,0.341,"ns"
"M","1","NR","order","1","2",0,-0.404761904761904,-2.97288698980004,2.16336318027623,0.733,"ns"
"M","1","PR","order","1","2",0,-0.404761904761903,-3.17653946771356,2.36701565818976,0.752,"ns"
"F","2","NR","order","1","2",0,0.138095238095237,-2.71385203302174,2.99004250921221,0.915,"ns"
"F","2","PR","order","1","2",0,0.828571428571429,-2.16115567578534,3.8182985329282,0.546,"ns"
"M","2","NR","order","1","2",0,2.92857142857143,-0.447818836140003,6.30496169328286,0.0821,"ns"
"M","2","PR","order","1","2",0,0.500000000000002,-2.20601322557097,3.20601322557097,0.689,"ns"
"F","3","NR","order","1","2",0,1.86190476190476,-1.4574856303636,5.18129515417312,0.236,"ns"
"F","3","PR","order","1","2",0,-1.72380952380952,-3.98578429164544,0.53816524402639,0.119,"ns"
"M","3","NR","order","1","2",0,0.738095238095239,-2.14906457844284,3.62525505463332,0.582,"ns"
"M","3","PR","order","1","2",0,0.0952380952380967,-1.13160397307761,1.32208016355381,0.866,"ns"
"F","4","NR","order","1","2",0,0.038095238095238,-3.70931514639063,3.78550562258111,0.982,"ns"
"F","4","PR","order","1","2",0,1.52380952380952,-0.368199669221214,3.41581871684026,0.102,"ns"
"M","4","NR","order","1","2",0,3.33333333333333,0.174062781681152,6.49260388498551,0.0406,"*"
"M","4","PR","order","1","2",0,0.952380952380953,-1.41870460326191,3.32346650802382,0.392,"ns"
"F","5","NR","order","1","2",0,1.14285714285714,-2.13549700894059,4.42121129465488,0.451,"ns"
"F","5","PR","order","1","2",0,-1.36666666666667,-3.64130280230578,0.907969468972449,0.207,"ns"
"M","5","NR","order","1","2",0,3.5,1.58648615668812,5.41351384331188,0.00223,"**"
"M","5","PR","order","1","2",0,0.0952380952380967,-1.8786555801304,2.0691317706066,0.917,"ns"
"F","6","NR","order","1","2",0,-1.16190476190476,-4.30111912505856,1.97730960124904,0.424,"ns"
"F","6","PR","order","1","2",0,-0.709523809523809,-2.84284702046999,1.42379940142237,0.471,"ns"
"M","6","NR","order","1","2",0,-0.166666666666665,-2.7282079301953,2.39487459686197,0.888,"ns"
"M","6","PR","order","1","2",0,-0.19047619047619,-2.63657834573263,2.25562596478025,0.866,"ns"
"F","7","NR","order","1","2",0,-0.204761904761904,-1.57306397010668,1.16354016058287,0.743,"ns"
"F","7","PR","order","1","2",0,0.395238095238095,-0.648490181421786,1.43896637189798,0.414,"ns"
"M","7","NR","order","1","2",0,1.61904761904762,-0.336798322127467,3.5748935602227,0.0949,"ns"
"M","7","PR","order","1","2",0,0.0238095238095246,-1.77006496683304,1.81768401445209,0.977,"ns"
"F","8","NR","order","1","2",0,0.261904761904762,-2.51995765200781,3.04376717581733,0.836,"ns"
"F","8","PR","order","1","2",0,-0.423809523809524,-1.70141675728388,0.853797709664831,0.472,"ns"
