,contrast,estimate,SE,df,t.ratio,p.value
1,NR0 Order1 - NR1 Order1,-6.727272727,13.32452607,21,-0.50487895,1
2,NR0 Order1 - NR2 Order1,-18.45454545,10.73518186,21,-1.719071525,1
3,NR0 Order1 - NR3 Order1,-10.72727273,11.54910124,21,-0.928840479,1
4,NR0 Order1 - NR4 Order1,-20.72727273,13.27874624,21,-1.560935977,1
5,NR0 Order1 - NR5 Order1,-23.63636364,17.53675326,21,-1.347818681,1
6,NR0 Order1 - NR6 Order1,-14.09090909,16.1582844,21,-0.872054776,1
7,NR0 Order1 - PR0 Order1,23.54545455,15.69528251,21,1.500161245,1
8,NR0 Order1 - PR1 Order1,-9.727272727,17.97430005,21,-0.541176719,1
9,NR0 Order1 - PR2 Order1,-19,17.55814911,21,-1.082118615,1
10,NR0 Order1 - PR3 Order1,-18.72727273,11.8656224,21,-1.578279849,1
11,NR0 Order1 - PR4 Order1,-25.54545455,10.16309509,21,-2.513550676,1
12,NR0 Order1 - PR5 Order1,-38.54545455,10.14732258,21,-3.798583738,0.358227862
13,NR0 Order1 - PR6 Order1,-31.45454545,7.78044055,21,-4.042771775,0.204719556
14,NR0 Order1 - NR0 Order2,-62.48484848,16.52870355,21,-3.780384124,0.371896332
15,NR0 Order1 - NR1 Order2,-65.23484848,16.09562558,21,-4.052955143,0.20036921
16,NR0 Order1 - NR2 Order2,-36.81818182,14.55397027,21,-2.529768931,1
17,NR0 Order1 - NR3 Order2,-26.98484848,15.13093371,21,-1.783422557,1
18,NR0 Order1 - NR4 Order2,-18.40151515,15.82887519,21,-1.162528286,1
19,NR0 Order1 - NR5 Order2,-37.81818182,15.46260718,21,-2.445783002,1
20,NR0 Order1 - NR6 Order2,-34.06818182,14.46205148,21,-2.355694962,1
21,NR0 Order1 - PR0 Order2,26.26515152,14.77114645,21,1.778138995,1
22,NR0 Order1 - PR1 Order2,17.26515152,16.32111169,21,1.057841638,1
23,NR0 Order1 - PR2 Order2,-25.81818182,15.82509054,21,-1.631471349,1
24,NR0 Order1 - PR3 Order2,-25.98484848,15.3333565,21,-1.694661471,1
25,NR0 Order1 - PR4 Order2,-49.56818182,16.02305322,21,-3.093554089,1
26,NR0 Order1 - PR5 Order2,-60.40151515,15.64850794,21,-3.859889734,0.313172234
27,NR0 Order1 - PR6 Order2,-51.90151515,17.37735543,21,-2.986732668,1
28,NR1 Order1 - NR2 Order1,-11.72727273,7.441866615,21,-1.57585097,1
29,NR1 Order1 - NR3 Order1,-4,7.916296414,21,-0.50528679,1
30,NR1 Order1 - NR4 Order1,-14,9.975221827,21,-1.403477561,1
31,NR1 Order1 - NR5 Order1,-16.90909091,9.812048817,21,-1.723298694,1
32,NR1 Order1 - NR6 Order1,-7.363636364,10.08367849,21,-0.730252989,1
33,NR1 Order1 - PR0 Order1,30.27272727,16.01476346,21,1.890301243,1
34,NR1 Order1 - PR1 Order1,-3,17.483573,21,-0.17158964,1
35,NR1 Order1 - PR2 Order1,-12.27272727,17.35734665,21,-0.707062405,1
36,NR1 Order1 - PR3 Order1,-12,13.37022764,21,-0.897516507,1
37,NR1 Order1 - PR4 Order1,-18.81818182,12.36324378,21,-1.522107156,1
38,NR1 Order1 - PR5 Order1,-31.81818182,14.48529677,21,-2.196584738,1
39,NR1 Order1 - PR6 Order1,-24.72727273,13.81743182,21,-1.789570816,1
40,NR1 Order1 - NR0 Order2,-55.75757576,16.05567562,21,-3.472764217,0.72661166
41,NR1 Order1 - NR1 Order2,-58.50757576,15.60947922,21,-3.748208056,0.399116835
42,NR1 Order1 - NR2 Order2,-30.09090909,14.01444716,21,-2.147134935,1
43,NR1 Order1 - NR3 Order2,-20.25757576,14.61272848,21,-1.386296597,1
44,NR1 Order1 - NR4 Order2,-11.67424242,15.3342743,21,-0.761316916,1
45,NR1 Order1 - NR5 Order2,-31.09090909,14.95589848,21,-2.078839271,1
46,NR1 Order1 - NR6 Order2,-27.34090909,13.91896589,21,-1.964291694,1
47,NR1 Order1 - PR0 Order2,32.99242424,14.23985414,21,2.316907456,1
48,NR1 Order1 - PR1 Order2,23.99242424,15.84188642,21,1.514492884,1
49,NR1 Order1 - PR2 Order2,-19.09090909,15.33036755,21,-1.245300155,1
50,NR1 Order1 - PR3 Order2,-19.25757576,14.82222993,21,-1.299236069,1
51,NR1 Order1 - PR4 Order2,-42.84090909,15.53463592,21,-2.75776718,1
52,NR1 Order1 - PR5 Order2,-53.67424242,15.14801899,21,-3.543317609,0.623727813
53,NR1 Order1 - PR6 Order2,-45.17424242,16.92805837,21,-2.668601527,1
54,NR2 Order1 - NR3 Order1,7.727272727,5.242949702,21,1.473840713,1
55,NR2 Order1 - NR4 Order1,-2.272727273,6.96904053,21,-0.326117672,1
56,NR2 Order1 - NR5 Order1,-5.181818182,10.20772061,21,-0.507637148,1
57,NR2 Order1 - NR6 Order1,4.363636364,9.86550145,21,0.442312678,1
58,NR2 Order1 - PR0 Order1,42,13.13877258,21,3.196645634,1
59,NR2 Order1 - PR1 Order1,8.727272727,15.74789184,21,0.554186733,1
60,NR2 Order1 - PR2 Order1,-0.545454545,15.02936912,21,-0.036292578,1
61,NR2 Order1 - PR3 Order1,-0.272727273,11.06725768,21,-0.024642715,1
62,NR2 Order1 - PR4 Order1,-7.090909091,10.77417931,21,-0.658139139,1
63,NR2 Order1 - PR5 Order1,-20.09090909,11.06529729,21,-1.815668261,1
64,NR2 Order1 - PR6 Order1,-13,10.02052367,21,-1.297337387,1
65,NR2 Order1 - NR0 Order2,-44.03030303,14.36099062,21,-3.065965587,1
66,NR2 Order1 - NR1 Order2,-46.78030303,13.86034536,21,-3.375118139,0.895254978
67,NR2 Order1 - NR2 Order2,-18.36363636,12.03569945,21,-1.525763953,1
68,NR2 Order1 - NR3 Order2,-8.53030303,12.72733929,21,-0.67023459,1
69,NR2 Order1 - NR4 Order2,0.053030303,13.54966053,21,0.003913774,1
70,NR2 Order1 - NR5 Order2,-19.36363636,13.11991736,21,-1.475896215,1
71,NR2 Order1 - NR6 Order2,-15.61363636,11.92438441,21,-1.309387204,1
72,NR2 Order1 - PR0 Order2,44.71969697,12.29742973,21,3.636507623,0.508468834
73,NR2 Order1 - PR1 Order2,35.71969697,14.12156851,21,2.5294426,1
74,NR2 Order1 - PR2 Order2,-7.363636364,13.54523906,21,-0.543632809,1
75,NR2 Order1 - PR3 Order2,-7.53030303,12.96733713,21,-0.580713138,1
76,NR2 Order1 - PR4 Order2,-31.11363636,13.77600251,21,-2.258538814,1
77,NR2 Order1 - PR5 Order2,-41.9469697,13.33850858,21,-3.144802092,1
78,NR2 Order1 - PR6 Order2,-33.4469697,15.33011717,21,-2.181781739,1
79,NR3 Order1 - NR4 Order1,-10,5.963422659,21,-1.676889359,1
80,NR3 Order1 - NR5 Order1,-12.90909091,10.24939567,21,-1.259497763,1
81,NR3 Order1 - NR6 Order1,-3.363636364,9.610929502,21,-0.349980339,1
82,NR3 Order1 - PR0 Order1,34.27272727,12.88685894,21,2.659509771,1
83,NR3 Order1 - PR1 Order1,1,16.2755294,21,0.061441934,1
84,NR3 Order1 - PR2 Order1,-8.272727273,15.61077557,21,-0.529936981,1
85,NR3 Order1 - PR3 Order1,-8,11.05398011,21,-0.723721223,1
86,NR3 Order1 - PR4 Order1,-14.81818182,11.02978122,21,-1.343470149,1
87,NR3 Order1 - PR5 Order1,-27.81818182,11.85346188,21,-2.346840281,1
88,NR3 Order1 - PR6 Order1,-20.72727273,10.28829,21,-2.014647013,1
89,NR3 Order1 - NR0 Order2,-51.75757576,14.99740529,21,-3.451102025,0.758484574
90,NR3 Order1 - NR1 Order2,-54.50757576,14.51872196,21,-3.754295723,0.394546701
91,NR3 Order1 - NR2 Order2,-26.09090909,12.78836092,21,-2.04020744,1
92,NR3 Order1 - NR3 Order2,-16.25757576,13.44132729,21,-1.209521605,1
93,NR3 Order1 - NR4 Order2,-7.674242424,14.22242646,21,-0.539587422,1
94,NR3 Order1 - NR5 Order2,-27.09090909,13.81362897,21,-1.961172488,1
95,NR3 Order1 - NR6 Order2,-23.34090909,12.68365316,21,-1.840235522,1
96,NR3 Order1 - PR0 Order2,36.99242424,13.03498722,21,2.837933295,1
97,NR3 Order1 - PR1 Order2,27.99242424,14.76830427,21,1.895439295,1
98,NR3 Order1 - PR2 Order2,-15.09090909,14.2182142,21,-1.061378657,1
99,NR3 Order1 - PR3 Order2,-15.25757576,13.66879461,21,-1.116234181,1
100,NR3 Order1 - PR4 Order2,-38.84090909,14.43822562,21,-2.690144213,1
101,NR3 Order1 - PR5 Order2,-49.67424242,14.02140953,21,-3.542742428,0.623727813
102,NR3 Order1 - PR6 Order2,-41.17424242,15.9278563,21,-2.585046076,1
103,NR4 Order1 - NR5 Order1,-2.909090909,10.03410327,21,-0.289920368,1
104,NR4 Order1 - NR6 Order1,6.636363636,10.29882777,21,0.644380486,1
105,NR4 Order1 - PR0 Order1,44.27272727,13.43170129,21,3.296136976,1
106,NR4 Order1 - PR1 Order1,11,16.52345397,21,0.665720377,1
107,NR4 Order1 - PR2 Order1,1.727272727,16.78294054,21,0.102918361,1
108,NR4 Order1 - PR3 Order1,2,12.77560525,21,0.156548356,1
109,NR4 Order1 - PR4 Order1,-4.818181818,12.1810482,21,-0.39554739,1
110,NR4 Order1 - PR5 Order1,-17.81818182,12.14729877,21,-1.466843136,1
111,NR4 Order1 - PR6 Order1,-10.72727273,10.4689154,21,-1.024678519,1
112,NR4 Order1 - NR0 Order2,-41.75757576,15.76371391,21,-2.64896813,1
113,NR4 Order1 - NR1 Order2,-44.50757576,15.30901036,21,-2.907279747,1
114,NR4 Order1 - NR2 Order2,-16.09090909,13.67898702,21,-1.17632315,1
115,NR4 Order1 - NR3 Order2,-6.257575758,14.2913187,21,-0.437858527,1
116,NR4 Order1 - NR4 Order2,2.325757576,15.02830413,21,0.154758485,1
117,NR4 Order1 - NR5 Order2,-17.09090909,14.64202363,21,-1.167250478,1
118,NR4 Order1 - NR6 Order2,-13.34090909,13.58114753,21,-0.982310888,1
119,NR4 Order1 - PR0 Order2,46.99242424,13.90983115,21,3.378360508,0.891313277
120,NR4 Order1 - PR1 Order2,37.99242424,15.54591014,21,2.443885492,1
121,NR4 Order1 - PR2 Order2,-5.090909091,15.02431782,21,-0.338844609,1
122,NR4 Order1 - PR3 Order2,-5.257575758,14.505463,21,-0.362454874,1
123,NR4 Order1 - PR4 Order2,-28.84090909,15.23269083,21,-1.893356165,1
124,NR4 Order1 - PR5 Order2,-39.67424242,14.83820865,21,-2.673789226,1
125,NR4 Order1 - PR6 Order2,-31.17424242,16.65139985,21,-1.872169469,1
126,NR5 Order1 - NR6 Order1,9.545454545,4.487103826,21,2.127308597,1
