fedfile,mouse,diet,mode,sex ,order
FED001_042322_00.CSV,FEDXA01,GRAIN,FF,M,2
FED001_042622_00.CSV,FEDXA01,PR,FF,M,2
FED001_050322_00.CSV,FEDXA01,NR,FF,M,2
FED001_051022_04.CSV,FEDXA01,NR,FR1,M,2
FED001_051122_01.CSV,FEDXA01,NR,FR1R,M,2
FED001_051522_00.CSV,FEDXA01,PR,ECO,M,2
FED002_051522_00.CSV,FEDXA01,RICH,ECO,M,2
FED002_042322_00.CSV,FEDXA02,GRAIN,FF,M,2
FED002_042622_00.CSV,FEDXA02,PR,FF,M,2
FED002_050322_00.CSV,FEDXA02,NR,FF,M,2
FED002_051022_02.CSV,FEDXA02,NR,FR1,M,2
FED002_051122_03.CSV,FEDXA02,NR,FR1R,M,2
FED003_051522_00.CSV,FEDXA02,PR,ECO,M,2
FED004_051522_00.CSV,FEDXA02,RICH,ECO,M,2
FED003_042322_00.CSV,FEDXA03,GRAIN,FF,M,2
FED003_042622_00.CSV,FEDXA03,PR,FF,M,2
FED003_050322_00.CSV,FEDXA03,NR,FF,M,2
FED003_051022_03.CSV,FEDXA03,NR,FR1,M,2
FED003_051122_02.CSV,FEDXA03,NR,FR1R,M,2
FED005_051522_00.CSV,FEDXA03,PR,ECO,M,2
FED006_051522_04.CSV,FEDXA03,RICH,ECO,M,2
FED004_042322_00.CSV,FEDXA04,GRAIN,FF,M,2
FED004_042622_00.CSV,FEDXA04,PR,FF,M,2
FED004_050322_00.CSV,FEDXA04,NR,FF,M,2
FED004_051022_04.CSV,FEDXA04,NR,FR1,M,2
FED004_051122_01.CSV,FEDXA04,NR,FR1R,M,2
FED007_051522_00.CSV,FEDXA04,PR,ECO,M,2
FED008_051522_00.CSV,FEDXA04,RICH,ECO,M,2
FED005_042322_00.CSV,FEDXA05,GRAIN,FF,M,2
FED005_042622_00.CSV,FEDXA05,PR,FF,M,2
FED005_050322_00.CSV,FEDXA05,NR,FF,M,2
FED005_051022_03.CSV,FEDXA05,NR,FR1,M,2
FED005_051122_02.CSV,FEDXA05,NR,FR1R,M,2
FED009_051522_00.CSV,FEDXA05,PR,ECO,M,2
FED010_051522_00.CSV,FEDXA05,RICH,ECO,M,2
FED006_042322_00.CSV,FEDXA06,GRAIN,FF,M,2
FED006_042622_00.CSV,FEDXA06,PR,FF,M,2
FED006_050322_00 MERGED.CSV,FEDXA06,NR,FF,M,2
FED006_051022_02.CSV,FEDXA06,NR,FR1,M,2
FED006_051122_03.CSV,FEDXA06,NR,FR1R,M,2
FED011_051522_00.CSV,FEDXA06,PR,ECO,M,2
FED012_051522_00.CSV,FEDXA06,RICH,ECO,M,2
FED001_051222_02.CSV,FEDXA07,PR,ECO,M,1
FED002_051222_02.CSV,FEDXA07,RICH,ECO,M,1
FED007_042322_00.CSV,FEDXA07,GRAIN,FF,M,1
FED007_042622_00.CSV,FEDXA07,NR,FF,M,1
FED007_050322_00.CSV,FEDXA07,PR,FF,M,1
FED007_051022_01.CSV,FEDXA07,PR,FR1,M,1
FED007_051122_02.CSV,FEDXA07,PR,FR1R,M,1
FED003_051222_02.CSV,FEDXA08,PR,ECO,M,1
