mouse_id,sex,order,grain_meals_per_day,pr_meals_per_day,nr_meals_per_day,grain_snacks_per_day,pr_snacks_per_day,nr_snacks_per_day,grain_mega_meals_per_day,pr_mega_meals_per_day,nr_mega_meals_per_day,grain_pellets_per_day,pr_pellets_per_day,nr_pellets_per_day,all_pellets_per_day,all_meals_per_day,all_snacks_per_day,all_mega_meals_per_day
FEDXA01,M,2.0,"[43, 25, 23]","[35, 28, 31, 24, 24, 31, 14]","[9, 18, 18, 15, 13, 9, 6]","[30, 18, 25]","[32, 44, 52, 62, 28, 25, 13]","[13, 14, 14, 19, 18, 12, 13]","[25, 22, 18]","[6, 7, 8, 9, 19, 19, 28]","[27, 24, 23, 22, 25, 22, 25]","[340, 271, 224]","[161, 155, 176, 184, 215, 231, 240]","[246, 234, 222, 211, 241, 223, 219]","[340, 271, 224, 161, 155, 176, 184, 215, 231, 240, 246, 234, 222, 211, 241, 223, 219]","[43, 25, 23, 35, 28, 31, 24, 24, 31, 14, 9, 18, 18, 15, 13, 9, 6]","[30, 18, 25, 32, 44, 52, 62, 28, 25, 13, 13, 14, 14, 19, 18, 12, 13]","[25, 22, 18, 6, 7, 8, 9, 19, 19, 28, 27, 24, 23, 22, 25, 22, 25]"
FEDXA02,M,2.0,"[41, 39, 22]","[36, 39, 54, 47, 45, 37, 34]","[13, 17, 32, 27, 23, 15, 12]","[29, 20, 9]","[10, 24, 32, 32, 22, 16, 17]","[13, 16, 16, 13, 16, 12, 12]","[25, 11, 18]","[8, 4, 6, 9, 9, 17, 16]","[26, 16, 12, 15, 16, 20, 20]","[304, 214, 194]","[154, 153, 204, 211, 203, 226, 214]","[225, 171, 195, 172, 182, 175, 181]","[304, 214, 194, 154, 153, 204, 211, 203, 226, 214, 225, 171, 195, 172, 182, 175, 181]","[41, 39, 22, 36, 39, 54, 47, 45, 37, 34, 13, 17, 32, 27, 23, 15, 12]","[29, 20, 9, 10, 24, 32, 32, 22, 16, 17, 13, 16, 16, 13, 16, 12, 12]","[25, 11, 18, 8, 4, 6, 9, 9, 17, 16, 26, 16, 12, 15, 16, 20, 20]"
FEDXA03,M,2.0,"[51, 32, 29]","[38, 32, 43, 47, 50, 49, 46]","[19, 14, 17, 14, 14, 19, 14]","[38, 13, 15]","[18, 42, 43, 29, 25, 26, 27]","[7, 10, 15, 12, 12, 7, 11]","[11, 19, 17]","[5, 4, 3, 14, 19, 20, 24]","[37, 39, 30, 31, 30, 23, 24]","[244, 243, 206]","[147, 149, 171, 247, 293, 280, 318]","[352, 351, 279, 288, 251, 222, 228]","[244, 243, 206, 147, 149, 171, 247, 293, 280, 318, 352, 351, 279, 288, 251, 222, 228]","[51, 32, 29, 38, 32, 43, 47, 50, 49, 46, 19, 14, 17, 14, 14, 19, 14]","[38, 13, 15, 18, 42, 43, 29, 25, 26, 27, 7, 10, 15, 12, 12, 7, 11]","[11, 19, 17, 5, 4, 3, 14, 19, 20, 24, 37, 39, 30, 31, 30, 23, 24]"
FEDXA04,M,2.0,"[56, 43, 26]","[29, 33, 37, 44, 37, 37, 30]","[14, 14, 13, 5, 10, 23, 7]","[57, 22, 17]","[27, 39, 35, 27, 36, 18, 18]","[15, 17, 10, 9, 10, 9, 6]","[13, 15, 16]","[8, 4, 5, 5, 16, 22, 29]","[33, 26, 28, 25, 29, 21, 27]","[282, 267, 201]","[164, 144, 168, 176, 252, 272, 305]","[293, 267, 240, 210, 239, 239, 215]","[282, 267, 201, 164, 144, 168, 176, 252, 272, 305, 293, 267, 240, 210, 239, 239, 215]","[56, 43, 26, 29, 33, 37, 44, 37, 37, 30, 14, 14, 13, 5, 10, 23, 7]","[57, 22, 17, 27, 39, 35, 27, 36, 18, 18, 15, 17, 10, 9, 10, 9, 6]","[13, 15, 16, 8, 4, 5, 5, 16, 22, 29, 33, 26, 28, 25, 29, 21, 27]"
FEDXA05,M,2.0,"[21, 8, 7]","[35, 47, 52, 53, 47, 60, 60]","[38, 27, 22, 30, 31, 33, 26]","[13, 6, 8]","[14, 25, 26, 30, 37, 37, 26]","[13, 25, 10, 13, 13, 5, 8]","[19, 23, 23]","[6, 1, 6, 6, 12, 9, 15]","[18, 26, 28, 24, 20, 18, 18]","[227, 236, 227]","[154, 167, 204, 220, 253, 249, 279]","[267, 259, 254, 267, 238, 239, 219]","[227, 236, 227, 154, 167, 204, 220, 253, 249, 279, 267, 259, 254, 267, 238, 239, 219]","[21, 8, 7, 35, 47, 52, 53, 47, 60, 60, 38, 27, 22, 30, 31, 33, 26]","[13, 6, 8, 14, 25, 26, 30, 37, 37, 26, 13, 25, 10, 13, 13, 5, 8]","[19, 23, 23, 6, 1, 6, 6, 12, 9, 15, 18, 26, 28, 24, 20, 18, 18]"
FEDXA06,M,2.0,"[44, 28, 2]","[54, 49, 67, 50, 57, 45, 64]","[36, 38, 33, 33, 25, 28, 33]","[23, 19, 1]","[27, 34, 39, 51, 66, 45, 35]","[23, 16, 10, 15, 13, 11, 17]","[10, 29, 0]","[7, 4, 0, 5, 1, 8, 7]","[15, 12, 14, 15, 18, 11, 13]","[220, 337, 7]","[215, 180, 199, 202, 224, 215, 240]","[228, 211, 184, 204, 193, 177, 187]","[220, 337, 7, 215, 180, 199, 202, 224, 215, 240, 228, 211, 184, 204, 193, 177, 187]","[44, 28, 2, 54, 49, 67, 50, 57, 45, 64, 36, 38, 33, 33, 25, 28, 33]","[23, 19, 1, 27, 34, 39, 51, 66, 45, 35, 23, 16, 10, 15, 13, 11, 17]","[10, 29, 0, 7, 4, 0, 5, 1, 8, 7, 15, 12, 14, 15, 18, 11, 13]"
FEDXA07,M,1.0,"[24, 14, 10]","[29, 41, 33, 31, 26, 27, 25]","[13, 19, 26, 16, 23, 23, 21]","[29, 11, 4]","[4, 5, 17, 10, 11, 7, 6]","[7, 5, 8, 4, 7, 9, 3]","[26, 29, 20]","[8, 7, 10, 12, 17, 17, 19]","[20, 19, 14, 16, 18, 19, 20]","[283, 269, 193]","[142, 167, 168, 188, 198, 201, 196]","[177, 189, 181, 165, 182, 205, 189]","[283, 269, 193, 142, 167, 168, 188, 198, 201, 196, 177, 189, 181, 165, 182, 205, 189]","[24, 14, 10, 29, 41, 33, 31, 26, 27, 25, 13, 19, 26, 16, 23, 23, 21]","[29, 11, 4, 4, 5, 17, 10, 11, 7, 6, 7, 5, 8, 4, 7, 9, 3]","[26, 29, 20, 8, 7, 10, 12, 17, 17, 19, 20, 19, 14, 16, 18, 19, 20]"
FEDXA08,M,1.0,"[26, 16, 19]","[13, 21, 25, 9, 21, 15, 12]","[34, 36, 36, 25, 16, 11, 16]","[16, 4, 18]","[10, 9, 11, 16, 10, 14, 11]","[13, 18, 20, 6, 8, 10, 10]","[27, 24, 22]","[12, 12, 10, 16, 15, 11, 16]","[8, 13, 14, 13, 14, 17, 15]","[305, 233, 223]","[133, 149, 151, 150, 174, 145, 165]","[168, 208, 208, 170, 162, 182, 182]","[305, 233, 223, 133, 149, 151, 150, 174, 145, 165, 168, 208, 208, 170, 162, 182, 182]","[26, 16, 19, 13, 21, 25, 9, 21, 15, 12, 34, 36, 36, 25, 16, 11, 16]","[16, 4, 18, 10, 9, 11, 16, 10, 14, 11, 13, 18, 20, 6, 8, 10, 10]","[27, 24, 22, 12, 12, 10, 16, 15, 11, 16, 8, 13, 14, 13, 14, 17, 15]"
FEDXA09,M,1.0,"[59, 36, 18]","[35, 46, 49, 44, 46, 37, 30]","[25, 25, 24, 25, 25, 13, 29]","[36, 10, 13]","[6, 17, 19, 24, 20, 18, 11]","[9, 5, 3, 8, 12, 5, 18]","[18, 15, 19]","[8, 7, 8, 9, 14, 20, 11]","[13, 15, 16, 17, 19, 18, 18]","[302, 192, 191]","[151, 188, 201, 211, 242, 255, 176]","[163, 167, 178, 192, 197, 193, 211]","[302, 192, 191, 151, 188, 201, 211, 242, 255, 176, 163, 167, 178, 192, 197, 193, 211]","[59, 36, 18, 35, 46, 49, 44, 46, 37, 30, 25, 25, 24, 25, 25, 13, 29]","[36, 10, 13, 6, 17, 19, 24, 20, 18, 11, 9, 5, 3, 8, 12, 5, 18]","[18, 15, 19, 8, 7, 8, 9, 14, 20, 11, 13, 15, 16, 17, 19, 18, 18]"
FEDXA10,M,1.0,"[29, 14, 17]","[28, 27, 26, 25, 22, 26, 29]","[24, 26, 36, 22, 17, 31, 17]","[15, 7, 5]","[9, 6, 10, 17, 16, 11, 9]","[23, 2, 9, 12, 6, 7, 8]","[17, 29, 22]","[8, 11, 16, 15, 16, 14, 17]","[13, 19, 17, 20, 23, 16, 20]","[199, 267, 214]","[153, 160, 193, 187, 192, 189, 200]","[171, 200, 214, 205, 208, 207, 187]","[199, 267, 214, 153, 160, 193, 187, 192, 189, 200, 171, 200, 214, 205, 208, 207, 187]","[29, 14, 17, 28, 27, 26, 25, 22, 26, 29, 24, 26, 36, 22, 17, 31, 17]","[15, 7, 5, 9, 6, 10, 17, 16, 11, 9, 23, 2, 9, 12, 6, 7, 8]","[17, 29, 22, 8, 11, 16, 15, 16, 14, 17, 13, 19, 17, 20, 23, 16, 20]"
