MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
6/5/2022 9:25:08,1.12.0,Free_feed,1,3.96,nan,0,LeftWithPellet,Left,1,0,0,0,nan,nan,0.67
6/5/2022 12:06:13,1.12.0,Free_feed,1,3.96,1,0,Pellet,Left,1,0,1,0,Timed_out,nan,nan
6/5/2022 12:06:25,1.12.0,Free_feed,1,3.96,3,0,Pellet,Left,1,0,2,0,6.74,12,nan
6/5/2022 13:39:58,1.12.0,Free_feed,1,3.96,1,0,Pellet,Left,1,0,3,0,Timed_out,5613,nan
6/5/2022 13:39:59,1.12.0,Free_feed,1,3.95,1,0,Pellet,Left,1,0,4,0,0.13,1,nan
6/5/2022 13:42:12,1.12.0,Free_feed,1,3.96,1,0,Pellet,Left,1,0,5,0,Timed_out,133,nan
6/5/2022 13:42:30,1.12.0,Free_feed,1,3.95,1,0,Pellet,Left,1,0,6,0,11.80,18,nan
6/5/2022 13:42:38,1.12.0,Free_feed,1,3.95,1,0,Pellet,Left,1,0,7,0,1.56,8,nan
6/5/2022 13:42:52,1.12.0,Free_feed,1,3.95,1,0,Pellet,Left,1,0,8,0,6.88,14,nan
6/5/2022 13:43:23,1.12.0,Free_feed,1,3.96,nan,0,RightWithPellet,Left,1,1,8,0,nan,nan,0.42
6/5/2022 16:19:39,1.12.0,Free_feed,1,3.95,nan,0,RightWithPellet,Left,1,2,8,0,nan,nan,0.02
6/5/2022 16:19:45,1.12.0,Free_feed,1,3.95,nan,0,LeftWithPellet,Left,2,2,8,0,nan,nan,0.19
6/5/2022 16:20:10,1.12.0,Free_feed,1,3.96,nan,0,LeftWithPellet,Left,3,2,8,0,nan,nan,0.56
6/5/2022 16:20:12,1.12.0,Free_feed,1,3.95,nan,0,LeftWithPellet,Left,4,2,8,0,nan,nan,1.45
6/5/2022 20:06:51,1.12.0,Free_feed,1,3.95,nan,0,LeftWithPellet,Left,5,2,8,0,nan,nan,0.55
6/5/2022 20:06:55,1.12.0,Free_feed,1,3.94,nan,0,LeftWithPellet,Left,6,2,8,0,nan,nan,0.30
6/5/2022 20:06:56,1.12.0,Free_feed,1,3.95,nan,0,LeftWithPellet,Left,7,2,8,0,nan,nan,0.36
6/5/2022 20:06:57,1.12.0,Free_feed,1,3.94,nan,0,LeftWithPellet,Left,8,2,8,0,nan,nan,0.59
6/5/2022 20:07:11,1.12.0,Free_feed,1,3.94,1,0,Pellet,Left,8,2,9,0,Timed_out,23059,nan
6/5/2022 20:08:26,1.12.0,Free_feed,1,3.94,1,0,Pellet,Left,8,2,10,0,Timed_out,75,nan
