MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2022-06-12 11:15:03,1.12.0,Free_feed,8,4.06,,0,Poke,Left,0,1,0,0,,,0.09,0 days 00:00:00.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-06-12 11:15:06,1.12.0,Free_feed,8,4.07,1.0,0,Pellet,Left,0,1,1,0,,,,0 days 00:00:03.000000000,1.0,,0.0,0.0,,0,Free_feed
2022-06-12 12:06:13,1.12.0,Free_feed,8,4.06,,0,Poke,Left,0,2,1,0,,,0.11,0 days 00:51:10.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-06-12 12:16:31,1.12.0,Free_feed,8,4.06,1.0,0,Pellet,Left,0,2,2,0,,3685.0,,0 days 01:01:28.000000000,1.0,61.416666666666664,0.0,0.0,,0,Free_feed
2022-06-12 12:16:43,1.12.0,Free_feed,8,4.06,3.0,0,Pellet,Left,0,2,3,0,1.42,12.0,,0 days 01:01:40.000000000,1.0,0.2,0.0,0.0,,0,Free_feed
2022-06-12 12:17:43,1.12.0,Free_feed,8,4.06,3.0,0,Pellet,Left,0,2,4,0,49.59,60.0,,0 days 01:02:40.000000000,1.0,1.0,0.0,0.0,,0,Free_feed
2022-06-12 12:21:53,1.12.0,Free_feed,8,4.06,1.0,0,Pellet,Left,0,2,5,0,,250.0,,0 days 01:06:50.000000000,1.0,4.166666666666667,0.0,0.0,,0,Free_feed
2022-06-12 12:32:51,1.12.0,Free_feed,8,4.07,1.0,0,Pellet,Left,0,2,6,0,,658.0,,0 days 01:17:48.000000000,1.0,10.966666666666667,0.0,0.0,,0,Free_feed
2022-06-12 12:33:00,1.12.0,Free_feed,8,4.06,1.0,0,Pellet,Left,0,2,7,0,2.85,9.0,,0 days 01:17:57.000000000,1.0,0.15,0.0,0.0,,0,Free_feed
2022-06-12 12:45:05,1.12.0,Free_feed,8,4.06,1.0,0,Pellet,Left,0,2,8,0,,725.0,,0 days 01:30:02.000000000,1.0,12.083333333333334,0.0,0.0,,0,Free_feed
2022-06-12 12:45:14,1.12.0,Free_feed,8,4.07,1.0,0,Pellet,Left,0,2,9,0,2.86,9.0,,0 days 01:30:11.000000000,1.0,0.15,0.0,0.0,,0,Free_feed
