MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
05/03/2022 11:19:41,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,0,0,0,,,0.08,0 days 00:00:00.000000000,0,,1,0,1,0,Free_feed
05/03/2022 11:20:31,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,1,0,0,,,0.17,0 days 00:00:50.000000000,0,,0,1,0,0,Free_feed
05/03/2022 11:20:34,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,2,0,0,,,0.27,0 days 00:00:53.000000000,0,,0,1,0,0,Free_feed
05/03/2022 11:21:00,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,3,0,0,,,0.05,0 days 00:01:19.000000000,0,,0,1,0,0,Free_feed
05/03/2022 11:21:00,1.12.0,Free_feed,11,3.78,3,0,Pellet,Left,1,3,1,0,,,,0 days 00:01:19.000000000,1,,0,0,,0,Free_feed
05/03/2022 11:24:41,1.12.0,Free_feed,11,3.78,2,0,Pellet,Left,1,3,2,0,,221,,0 days 00:05:00.000000000,1,3.683333333,0,0,,0,Free_feed
05/03/2022 12:46:12,1.12.0,Free_feed,11,3.78,1,0,Pellet,Left,1,3,3,0,,4891,,0 days 01:26:31.000000000,1,81.51666667,0,0,,0,Free_feed
05/03/2022 12:47:39,1.12.0,Free_feed,11,3.77,,0,Poke,Left,2,3,3,0,,,0.22,0 days 01:27:58.000000000,0,,1,0,1,0,Free_feed
05/03/2022 12:47:39,1.12.0,Free_feed,11,3.78,1,0,Pellet,Left,2,3,4,0,,87,,0 days 01:27:58.000000000,1,1.45,0,0,,0,Free_feed
05/03/2022 12:49:28,1.12.0,Free_feed,11,3.77,,0,Poke,Left,2,4,4,0,,,0.06,0 days 01:29:47.000000000,0,,0,1,0,0,Free_feed
05/03/2022 12:49:40,1.12.0,Free_feed,11,3.78,1,0,Pellet,Left,2,4,5,0,,121,,0 days 01:29:59.000000000,1,2.016666667,0,0,,0,Free_feed
05/03/2022 13:36:21,1.12.0,Free_feed,11,3.78,1,0,Pellet,Left,2,4,6,0,,2801,,0 days 02:16:40.000000000,1,46.68333333,0,0,,0,Free_feed
05/03/2022 13:36:22,1.12.0,Free_feed,11,3.77,1,0,Pellet,Left,2,4,7,0,0.06,1,,0 days 02:16:41.000000000,1,0.016666667,0,0,,0,Free_feed
05/03/2022 13:36:23,1.12.0,Free_feed,11,3.78,1,0,Pellet,Left,2,4,8,0,0.06,1,,0 days 02:16:42.000000000,1,0.016666667,0,0,,0,Free_feed
05/03/2022 13:36:32,1.12.0,Free_feed,11,3.77,1,0,Pellet,Left,2,4,9,0,3.47,9,,0 days 02:16:51.000000000,1,0.15,0,0,,0,Free_feed
05/03/2022 15:55:37,1.12.0,Free_feed,11,3.77,1,0,Pellet,Left,2,4,10,0,,8345,,0 days 04:35:56.000000000,1,139.0833333,0,0,,0,Free_feed
05/03/2022 15:55:55,1.12.0,Free_feed,11,3.77,2,0,Pellet,Left,2,4,11,0,16.8,18,,0 days 04:36:14.000000000,1,0.3,0,0,,0,Free_feed
05/03/2022 15:56:05,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,12,0,3.81,10,,0 days 04:36:24.000000000,1,0.166666667,0,0,,0,Free_feed
05/03/2022 17:12:14,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,13,0,,4569,,0 days 05:52:33.000000000,1,76.15,0,0,,0,Free_feed
05/03/2022 17:13:43,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,14,0,,89,,0 days 05:54:02.000000000,1,1.483333333,0,0,,0,Free_feed
05/03/2022 17:15:43,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,15,0,,120,,0 days 05:56:02.000000000,1,2,0,0,,0,Free_feed
05/03/2022 17:15:54,1.12.0,Free_feed,11,3.76,2,0,Pellet,Left,2,4,16,0,3.13,11,,0 days 05:56:13.000000000,1,0.183333333,0,0,,0,Free_feed
05/03/2022 17:16:07,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,17,0,6.27,13,,0 days 05:56:26.000000000,1,0.216666667,0,0,,0,Free_feed
05/03/2022 18:45:52,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,18,0,,5385,,0 days 07:26:11.000000000,1,89.75,0,0,,0,Free_feed
05/03/2022 18:46:00,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,19,0,1.02,8,,0 days 07:26:19.000000000,1,0.133333333,0,0,,0,Free_feed
05/03/2022 18:46:19,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,20,0,12.08,19,,0 days 07:26:38.000000000,1,0.316666667,0,0,,0,Free_feed
05/03/2022 18:46:34,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,21,0,8.8,15,,0 days 07:26:53.000000000,1,0.25,0,0,,0,Free_feed
05/03/2022 18:46:53,1.12.0,Free_feed,11,3.76,1,0,Pellet,Left,2,4,22,0,12.01,19,,0 days 07:27:12.000000000,1,0.316666667,0,0,,0,Free_feed
