MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/26/2022 9:52:32,1.12.0,Free_feed,7,4.12,nan,0,RightWithPellet,Left,0,1,0,0,nan,nan,0.08
4/26/2022 9:54:20,1.12.0,Free_feed,7,4.12,4,0,Pellet,Left,0,1,1,0,Timed_out,nan,nan
4/26/2022 9:57:36,1.12.0,Free_feed,7,4.12,2,0,Pellet,Left,0,1,2,0,Timed_out,196,nan
4/26/2022 9:58:44,1.12.0,Free_feed,7,4.13,nan,0,LeftWithPellet,Left,1,1,2,0,nan,nan,0.01
4/26/2022 10:00:07,1.12.0,Free_feed,7,4.12,1,0,Pellet,Left,1,1,3,0,Timed_out,151,nan
4/26/2022 11:15:33,1.12.0,Free_feed,7,4.12,nan,0,RightWithPellet,Left,1,2,3,0,nan,nan,0.07
4/26/2022 11:15:35,1.12.0,Free_feed,7,4.12,1,0,Pellet,Left,1,2,4,0,Timed_out,4528,nan
4/26/2022 11:15:36,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,5,0,0.06,1,nan
4/26/2022 11:16:06,1.12.0,Free_feed,7,4.12,2,0,Pellet,Left,1,2,6,0,25.96,30,nan
4/26/2022 11:16:29,1.12.0,Free_feed,7,4.12,1,0,Pellet,Left,1,2,7,0,21.43,23,nan
4/26/2022 11:16:50,1.12.0,Free_feed,7,4.12,2,0,Pellet,Left,1,2,8,0,12.95,21,nan
4/26/2022 11:17:13,1.12.0,Free_feed,7,4.12,2,0,Pellet,Left,1,2,9,0,13.16,23,nan
4/26/2022 12:34:51,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,10,0,Timed_out,4658,nan
4/26/2022 12:35:08,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,11,0,10.70,17,nan
4/26/2022 12:35:24,1.12.0,Free_feed,7,4.11,2,0,Pellet,Left,1,2,12,0,9.34,16,nan
4/26/2022 12:35:37,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,13,0,6.13,13,nan
4/26/2022 12:35:54,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,14,0,10.23,17,nan
4/26/2022 12:36:08,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,15,0,7.43,14,nan
4/26/2022 12:36:22,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,16,0,7.43,14,nan
4/26/2022 13:53:20,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,17,0,Timed_out,4618,nan
4/26/2022 13:53:35,1.12.0,Free_feed,7,4.10,1,0,Pellet,Left,1,2,18,0,8.45,15,nan
4/26/2022 13:53:49,1.12.0,Free_feed,7,4.10,2,0,Pellet,Left,1,2,19,0,7.36,14,nan
4/26/2022 13:54:02,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,20,0,5.65,13,nan
4/26/2022 13:54:03,1.12.0,Free_feed,7,4.11,1,0,Pellet,Left,1,2,21,0,0.20,1,nan
4/26/2022 13:54:28,1.12.0,Free_feed,7,4.10,1,0,Pellet,Left,1,2,22,0,18.43,25,nan
4/26/2022 13:54:52,1.12.0,Free_feed,7,4.10,2,0,Pellet,Left,1,2,23,0,16.93,24,nan
4/26/2022 14:06:50,1.12.0,Free_feed,7,4.11,3,0,Pellet,Left,1,2,24,0,Timed_out,718,nan
4/26/2022 14:07:03,1.12.0,Free_feed,7,4.10,1,0,Pellet,Left,1,2,25,0,6.68,13,nan
4/26/2022 14:07:16,1.12.0,Free_feed,7,4.10,1,0,Pellet,Left,1,2,26,0,6.54,13,nan
4/26/2022 14:07:39,1.12.0,Free_feed,7,4.10,1,0,Pellet,Left,1,2,27,0,17.13,23,nan
4/26/2022 16:04:06,1.12.0,Free_feed,7,4.09,2,0,Pellet,Left,1,2,28,0,Timed_out,6987,nan
4/26/2022 16:04:27,1.12.0,Free_feed,7,4.09,1,0,Pellet,Left,1,2,29,0,14.13,21,nan
