MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2022-05-03 11:19:41,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,0,0,0,,,0.08,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2022-05-03 11:20:31,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,1,0,0,,,0.17,0 days 00:00:50.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-05-03 11:20:34,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,2,0,0,,,0.27,0 days 00:00:53.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-05-03 11:21:00,1.12.0,Free_feed,11,3.78,,0,Poke,Left,1,3,0,0,,,0.05,0 days 00:01:19.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
2022-05-03 11:21:00,1.12.0,Free_feed,11,3.78,3.0,0,Pellet,Left,1,3,1,0,,,,0 days 00:01:19.000000000,1.0,,0.0,0.0,,0,Free_feed
2022-05-03 11:24:41,1.12.0,Free_feed,11,3.78,2.0,0,Pellet,Left,1,3,2,0,,221.0,,0 days 00:05:00.000000000,1.0,3.683333333333333,0.0,0.0,,0,Free_feed
2022-05-03 12:46:12,1.12.0,Free_feed,11,3.78,1.0,0,Pellet,Left,1,3,3,0,,4891.0,,0 days 01:26:31.000000000,1.0,81.51666666666667,0.0,0.0,,0,Free_feed
2022-05-03 12:47:39,1.12.0,Free_feed,11,3.77,,0,Poke,Left,2,3,3,0,,,0.22,0 days 01:27:58.000000000,0.0,,1.0,0.0,1.0,0,Free_feed
2022-05-03 12:47:39,1.12.0,Free_feed,11,3.78,1.0,0,Pellet,Left,2,3,4,0,,87.0,,0 days 01:27:58.000000000,1.0,1.45,0.0,0.0,,0,Free_feed
2022-05-03 12:49:28,1.12.0,Free_feed,11,3.77,,0,Poke,Left,2,4,4,0,,,0.06,0 days 01:29:47.000000000,0.0,,0.0,1.0,0.0,0,Free_feed
