MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/17/2023 11:21:53,1.16.3,FR1,5,3.87,nan,1,Right,Left,0,1,0,0,nan,nan,19.47
4/17/2023 11:23:51,1.16.3,FR1,5,3.87,nan,1,Right,Left,0,2,0,0,nan,nan,0.01
4/17/2023 11:36:54,1.16.3,FR1,5,3.87,nan,1,Left,Left,1,2,0,0,nan,nan,0.02
4/17/2023 11:36:57,1.16.3,FR1,5,3.86,nan,1,LeftDuringDispense,Left,2,2,0,0,nan,nan,0.10
4/17/2023 11:36:58,1.16.3,FR1,5,3.86,nan,1,LeftDuringDispense,Left,3,2,0,0,nan,nan,0.03
4/17/2023 11:37:05,1.16.3,FR1,5,3.87,4,1,Pellet,Left,3,2,1,0,4.57,nan,nan
4/17/2023 11:43:41,1.16.3,FR1,5,3.87,nan,1,Right,Left,3,3,1,0,nan,nan,0.02
4/17/2023 11:43:47,1.16.3,FR1,5,3.86,nan,1,Right,Left,3,4,1,0,nan,nan,0.14
4/17/2023 11:43:49,1.16.3,FR1,5,3.87,nan,1,Left,Left,4,4,1,0,nan,nan,0.24
4/17/2023 11:43:53,1.16.3,FR1,5,3.86,2,1,Pellet,Left,4,4,2,0,1.49,408,nan
4/17/2023 11:46:38,1.16.3,FR1,5,3.86,nan,1,Left,Left,5,4,2,0,nan,nan,0.10
4/17/2023 11:52:33,1.16.3,FR1,5,3.87,1,1,Pellet,Left,5,4,3,0,Timed_out,520,nan
4/17/2023 11:53:17,1.16.3,FR1,5,3.87,nan,1,Right,Left,5,5,3,0,nan,nan,0.19
4/17/2023 12:02:14,1.16.3,FR1,5,3.87,nan,1,Left,Left,6,5,3,0,nan,nan,0.04
4/17/2023 12:02:15,1.16.3,FR1,5,3.87,nan,1,RightWithPellet,Left,6,6,3,0,nan,nan,0.10
4/17/2023 12:07:14,1.16.3,FR1,5,3.86,1,1,Pellet,Left,6,6,4,0,Timed_out,881,nan
4/17/2023 12:12:57,1.16.3,FR1,5,3.86,nan,1,Right,Left,6,7,4,0,nan,nan,0.20
4/17/2023 12:13:46,1.16.3,FR1,5,3.87,nan,1,Right,Left,6,8,4,0,nan,nan,0.12
4/17/2023 12:19:11,1.16.3,FR1,5,3.87,nan,1,Right,Left,6,9,4,0,nan,nan,0.10
4/17/2023 12:19:16,1.16.3,FR1,5,3.87,nan,1,Left,Left,7,9,4,0,nan,nan,0.71
4/17/2023 12:19:17,1.16.3,FR1,5,3.87,1,1,Pellet,Left,7,9,5,0,0.81,723,nan
4/17/2023 12:33:27,1.16.3,FR1,5,3.86,nan,1,Left,Left,8,9,5,0,nan,nan,0.04
4/17/2023 12:33:28,1.16.3,FR1,5,3.87,2,1,Pellet,Left,8,9,6,0,0.34,851,nan
4/17/2023 12:33:34,1.16.3,FR1,5,3.87,nan,1,LeftinTimeOut,Left,9,9,6,0,nan,nan,nan
4/17/2023 12:33:35,1.16.3,FR1,5,3.87,nan,1,Left,Left,10,9,6,0,nan,nan,0.10
4/17/2023 12:33:36,1.16.3,FR1,5,3.87,1,1,Pellet,Left,10,9,7,0,0.40,8,nan
4/17/2023 12:33:48,1.16.3,FR1,5,3.87,nan,1,Left,Left,11,9,7,0,nan,nan,0.00
4/17/2023 12:33:55,1.16.3,FR1,5,3.87,2,1,Pellet,Left,11,9,8,0,4.16,19,nan
4/17/2023 12:41:47,1.16.3,FR1,5,3.86,nan,1,Left,Left,12,9,8,0,nan,nan,0.15
4/17/2023 12:41:48,1.16.3,FR1,5,3.86,1,1,Pellet,Left,12,9,9,0,0.40,473,nan
4/17/2023 12:42:39,1.16.3,FR1,5,3.86,nan,1,Left,Left,13,9,9,0,nan,nan,0.03
4/17/2023 12:45:22,1.16.3,FR1,5,3.86,1,1,Pellet,Left,13,9,10,0,Timed_out,214,nan
4/17/2023 12:45:32,1.16.3,FR1,5,3.87,nan,1,Left,Left,14,9,10,0,nan,nan,0.05
4/17/2023 12:45:34,1.16.3,FR1,5,3.87,1,1,Pellet,Left,14,9,11,0,0.95,12,nan
4/17/2023 12:51:19,1.16.3,FR1,5,3.86,nan,1,Left,Left,15,9,11,0,nan,nan,0.15
4/17/2023 12:51:31,1.16.3,FR1,5,3.86,nan,1,RightWithPellet,Left,15,10,11,0,nan,nan,0.21
4/17/2023 12:51:33,1.16.3,FR1,5,3.87,1,1,Pellet,Left,15,10,12,0,13.14,359,nan
4/17/2023 12:51:36,1.16.3,FR1,5,3.87,nan,1,RightinTimeout,Left,15,11,12,0,nan,nan,0.18
4/17/2023 12:51:37,1.16.3,FR1,5,3.87,nan,1,LeftinTimeOut,Left,16,11,12,0,nan,nan,nan
4/17/2023 12:51:39,1.16.3,FR1,5,3.86,nan,1,Right,Left,16,12,12,0,nan,nan,0.16
4/17/2023 12:51:52,1.16.3,FR1,5,3.86,nan,1,Left,Left,17,12,12,0,nan,nan,0.41
4/17/2023 12:51:55,1.16.3,FR1,5,3.86,nan,1,LeftWithPellet,Left,18,12,12,0,nan,nan,0.06
4/17/2023 12:52:05,1.16.3,FR1,5,3.87,1,1,Pellet,Left,18,12,13,0,12.65,32,nan
4/17/2023 13:04:48,1.16.3,FR1,5,3.86,nan,1,Left,Left,19,12,13,0,nan,nan,0.07
4/17/2023 13:04:55,1.16.3,FR1,5,3.87,1,1,Pellet,Left,19,12,14,0,6.89,770,nan
4/17/2023 13:07:49,1.16.3,FR1,5,3.86,nan,1,Right,Left,19,13,14,0,nan,nan,0.03
4/17/2023 13:12:43,1.16.3,FR1,5,3.86,nan,1,Left,Left,20,13,14,0,nan,nan,0.10
4/17/2023 13:12:45,1.16.3,FR1,5,3.86,2,1,Pellet,Left,20,13,15,0,0.13,470,nan
4/17/2023 13:13:06,1.16.3,FR1,5,3.87,nan,1,Left,Left,21,13,15,0,nan,nan,0.16
4/17/2023 13:17:40,1.16.3,FR1,5,3.86,2,1,Pellet,Left,21,13,16,0,Timed_out,295,nan
4/17/2023 13:24:03,1.16.3,FR1,5,3.86,nan,1,Left,Left,22,13,16,0,nan,nan,0.17
4/17/2023 13:24:07,1.16.3,FR1,5,3.86,2,1,Pellet,Left,22,13,17,0,1.15,387,nan
4/17/2023 16:06:31,1.16.3,FR1,5,3.86,nan,1,Left,Left,23,13,17,0,nan,nan,0.16
4/17/2023 16:06:32,1.16.3,FR1,5,3.85,2,1,Pellet,Left,23,13,18,0,0.20,9745,nan
4/17/2023 16:06:44,1.16.3,FR1,5,3.85,nan,1,Left,Left,24,13,18,0,nan,nan,0.23
4/17/2023 16:06:45,1.16.3,FR1,5,3.86,1,1,Pellet,Left,24,13,19,0,0.47,13,nan
4/17/2023 16:07:08,1.16.3,FR1,5,3.86,nan,1,Left,Left,25,13,19,0,nan,nan,0.25
4/17/2023 16:07:09,1.16.3,FR1,5,3.86,nan,1,LeftDuringDispense,Left,26,13,19,0,nan,nan,0.03
4/17/2023 16:07:13,1.16.3,FR1,5,3.86,2,1,Pellet,Left,26,13,20,0,0.95,28,nan
4/17/2023 16:08:53,1.16.3,FR1,5,3.86,nan,1,Right,Left,26,14,20,0,nan,nan,0.04
4/17/2023 16:10:56,1.16.3,FR1,5,3.86,nan,1,Left,Left,27,14,20,0,nan,nan,0.51
4/17/2023 16:10:58,1.16.3,FR1,5,3.86,2,1,Pellet,Left,27,14,21,0,0.74,225,nan
4/17/2023 17:19:27,1.16.3,FR1,5,3.85,nan,1,Left,Left,28,14,21,0,nan,nan,0.70
4/17/2023 17:19:30,1.16.3,FR1,5,3.85,2,1,Pellet,Left,28,14,22,0,0.47,4112,nan
4/17/2023 17:19:40,1.16.3,FR1,5,3.85,nan,1,Left,Left,29,14,22,0,nan,nan,0.02
4/17/2023 17:19:41,1.16.3,FR1,5,3.85,2,1,Pellet,Left,29,14,23,0,0.74,11,nan
4/17/2023 17:19:58,1.16.3,FR1,5,3.85,nan,1,Left,Left,30,14,23,0,nan,nan,0.15
4/17/2023 17:19:59,1.16.3,FR1,5,3.85,1,1,Pellet,Left,30,14,24,0,0.20,18,nan
4/17/2023 17:55:34,1.16.3,FR1,5,3.85,nan,1,Left,Left,31,14,24,0,nan,nan,0.29
4/17/2023 17:55:35,1.16.3,FR1,5,3.86,2,1,Pellet,Left,31,14,25,0,0.20,2136,nan
4/17/2023 18:07:53,1.16.3,FR1,5,3.86,nan,1,Left,Left,32,14,25,0,nan,nan,0.36
4/17/2023 18:07:54,1.16.3,FR1,5,3.85,2,1,Pellet,Left,32,14,26,0,0.20,739,nan
4/17/2023 18:08:05,1.16.3,FR1,5,3.85,nan,1,Right,Left,32,15,26,0,nan,nan,0.18
4/17/2023 18:08:28,1.16.3,FR1,5,3.85,nan,1,Right,Left,32,16,26,0,nan,nan,0.06
4/17/2023 18:08:29,1.16.3,FR1,5,3.85,nan,1,Right,Left,32,17,26,0,nan,nan,0.00
4/17/2023 18:09:41,1.16.3,FR1,5,3.86,nan,1,Left,Left,33,17,26,0,nan,nan,0.04
4/17/2023 18:09:43,1.16.3,FR1,5,3.85,2,1,Pellet,Left,33,17,27,0,0.81,109,nan
4/17/2023 18:13:59,1.16.3,FR1,5,3.85,nan,1,Left,Left,34,17,27,0,nan,nan,0.45
4/17/2023 18:14:00,1.16.3,FR1,5,3.86,1,1,Pellet,Left,34,17,28,0,0.81,257,nan
4/17/2023 18:21:15,1.16.3,FR1,5,3.85,nan,1,Left,Left,35,17,28,0,nan,nan,0.10
4/17/2023 18:21:17,1.16.3,FR1,5,3.85,2,1,Pellet,Left,35,17,29,0,0.34,436,nan
4/17/2023 18:21:32,1.16.3,FR1,5,3.85,nan,1,Right,Left,35,18,29,0,nan,nan,0.34
4/17/2023 18:21:34,1.16.3,FR1,5,3.85,nan,1,Right,Left,35,19,29,0,nan,nan,0.04
4/17/2023 18:21:36,1.16.3,FR1,5,3.86,nan,1,Right,Left,35,20,29,0,nan,nan,0.00
4/17/2023 18:21:37,1.16.3,FR1,5,3.85,nan,1,Right,Left,35,21,29,0,nan,nan,0.08
4/17/2023 18:21:40,1.16.3,FR1,5,3.85,nan,1,Right,Left,35,22,29,0,nan,nan,0.07
