MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/18/2023 11:06:35,21.97,65.64,1.16.3,FR1,15,3.88,nan,1,Right,Left,0,1,0,0,nan,nan,21.82
4/18/2023 11:09:19,22.05,65.44,1.16.3,FR1,15,3.88,nan,1,Left,Left,1,1,0,0,nan,nan,0.28
4/18/2023 11:10:46,22.10,65.31,1.16.3,FR1,15,3.87,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.26
4/18/2023 11:10:49,22.10,65.36,1.16.3,FR1,15,3.88,nan,1,RightWithPellet,Left,2,2,0,0,nan,nan,0.33
4/18/2023 11:14:28,22.14,65.48,1.16.3,FR1,15,3.88,nan,1,LeftWithPellet,Left,3,2,0,0,nan,nan,0.29
4/18/2023 11:14:38,22.15,65.46,1.16.3,FR1,15,3.88,1,1,Pellet,Left,3,2,1,0,Timed_out,nan,nan
4/18/2023 11:15:10,22.16,65.42,1.16.3,FR1,15,3.88,nan,1,Left,Left,4,2,1,0,nan,nan,0.19
4/18/2023 11:18:47,22.20,64.99,1.16.3,FR1,15,3.89,1,1,Pellet,Left,4,2,2,0,Timed_out,249,nan
4/18/2023 11:18:53,22.19,64.98,1.16.3,FR1,15,3.88,nan,1,Left,Left,5,2,2,0,nan,nan,0.00
4/18/2023 11:20:12,22.24,64.98,1.16.3,FR1,15,3.88,nan,1,LeftWithPellet,Left,6,2,2,0,nan,nan,0.13
4/18/2023 11:26:58,22.20,64.90,1.16.3,FR1,15,3.88,nan,1,LeftWithPellet,Left,7,2,2,0,nan,nan,0.09
4/18/2023 11:26:59,22.20,64.88,1.16.3,FR1,15,3.87,1,1,Pellet,Left,7,2,3,0,Timed_out,492,nan
4/18/2023 11:51:40,22.16,64.37,1.16.3,FR1,15,3.88,nan,1,Left,Left,8,2,3,0,nan,nan,0.16
4/18/2023 11:51:41,22.16,64.36,1.16.3,FR1,15,3.88,1,1,Pellet,Left,8,2,4,0,0.34,1482,nan
