mouse,pellet_type,sex,order,n_pellets,num_breakpoints,max_breakpoint_ratio,cost,diet
FEDXA01,PR,M,2.0,319,36,72,15.772575582465066,NR
FEDXA01,RICH,M,2.0,49,21,10,4.254509513219669,NR
FEDXA02,PR,M,2.0,275,34,68,14.427955390740928,NR
FEDXA02,RICH,M,2.0,119,18,34,9.682379547894238,NR
FEDXA03,PR,M,2.0,328,35,90,15.473323145311015,NR
FEDXA03,RICH,M,2.0,24,9,10,7.339036755386565,NR
FEDXA04,PR,M,2.0,257,27,70,17.796539085364564,NR
FEDXA04,RICH,M,2.0,90,24,26,7.478636452623336,NR
FEDXA05,PR,M,2.0,266,32,68,15.015035061053492,NR
FEDXA05,RICH,M,2.0,70,25,28,5.3782211497026635,NR
FEDXA06,PR,M,2.0,417,36,100,18.86183166908155,NR
FEDXA06,RICH,M,2.0,68,26,10,4.721849557068975,NR
FEDXA07,PR,M,1.0,266,23,72,19.717715989803747,PR
FEDXA07,RICH,M,1.0,106,21,28,7.745309619347142,PR
FEDXA08,PR,M,1.0,353,33,64,15.409463448285686,PR
FEDXA08,RICH,M,1.0,277,34,42,12.838951389077423,PR
FEDXA09,PR,M,1.0,303,31,66,17.276874173689077,PR
FEDXA09,RICH,M,1.0,55,16,18,7.391686650679456,PR
FEDXA10,PR,M,1.0,307,31,60,15.506607174156576,PR
FEDXA10,RICH,M,1.0,141,26,40,10.42882338391388,PR
FEDXA11,PR,M,1.0,298,37,72,13.535730574980825,PR
FEDXA11,RICH,M,1.0,104,26,30,6.9549570718481695,PR
FEDXA12,PR,M,1.0,289,31,72,14.751771877137164,PR
FEDXA12,RICH,M,1.0,117,25,36,7.367173913043478,PR
