,0,Sex,Diet,Order
FEDXA07,182.57142857142858,M,PR,NRPR
FEDXA08,155.57142857142858,M,PR,NRPR
FEDXA09,206.14285714285714,M,PR,NRPR
FEDXA10,184.71428571428572,M,PR,NRPR
FEDXA11,200.42857142857142,M,PR,NRPR
FEDXA12,234.85714285714286,M,PR,NRPR
FEDXA07,187.85714285714286,M,NR,NRPR
FEDXA08,185.0,M,NR,NRPR
FEDXA09,189.71428571428572,M,NR,NRPR
FEDXA10,202.14285714285714,M,NR,NRPR
FEDXA11,196.14285714285714,M,NR,NRPR
FEDXA12,204.14285714285714,M,NR,NRPR
FEDXA01,197.71428571428572,M,PR,PRNR
FEDXA02,198.0,M,PR,PRNR
FEDXA03,234.28571428571428,M,PR,PRNR
FEDXA04,214.14285714285714,M,PR,PRNR
FEDXA05,222.0,M,PR,PRNR
FEDXA06,212.85714285714286,M,PR,PRNR
FEDXA01,229.42857142857142,M,NR,PRNR
FEDXA02,188.14285714285714,M,NR,PRNR
FEDXA03,283.7142857142857,M,NR,PRNR
FEDXA04,244.28571428571428,M,NR,PRNR
FEDXA05,252.57142857142858,M,NR,PRNR
FEDXA06,200.42857142857142,M,NR,PRNR
FEDXB07,253.0,F,PR,NRPR
FEDXB08,189.28571428571428,F,PR,NRPR
FEDXB10,227.28571428571428,F,PR,NRPR
FEDXB11,160.28571428571428,F,PR,NRPR
FEDXB12,191.0,F,PR,NRPR
FEDXB07,207.14285714285714,F,NR,NRPR
FEDXB08,187.71428571428572,F,NR,NRPR
FEDXB10,214.0,F,NR,NRPR
FEDXB11,181.28571428571428,F,NR,NRPR
FEDXB12,190.28571428571428,F,NR,NRPR
FEDXB01,197.57142857142858,F,NR,PRNR
FEDXB02,172.14285714285714,F,NR,PRNR
FEDXB03,206.71428571428572,F,NR,PRNR
FEDXB04,205.85714285714286,F,NR,PRNR
FEDXB05,209.42857142857142,F,NR,PRNR
FEDXB06,262.57142857142856,F,NR,PRNR
FEDXB01,197.57142857142858,F,NR,PRNR
FEDXB02,172.14285714285714,F,NR,PRNR
FEDXB03,206.71428571428572,F,NR,PRNR
FEDXB04,205.85714285714286,F,NR,PRNR
FEDXB05,209.42857142857142,F,NR,PRNR
FEDXB06,262.57142857142856,F,NR,PRNR
