,NR,PR,Sex,Order,Mouse
FEDXA07,0.5181201956673659,0.4457945205479456,M,NRPR,FEDXA07
FEDXA08,0.4636899188514358,0.551035097597598,M,NRPR,FEDXA08
FEDXA09,0.46933779051257557,0.3351008018327611,M,NRPR,FEDXA09
FEDXA10,0.4414431075460492,0.44670776255707767,M,NRPR,FEDXA10
FEDXA11,0.3625686846584002,0.2848606254856254,M,NRPR,FEDXA11
FEDXA12,0.3555747126436783,0.31129807692307715,M,NRPR,FEDXA12
FEDXA01,0.4507708333333333,0.30308006535947696,M,PRNR,FEDXA01
FEDXA02,0.4421192854980318,0.3161212998712999,M,PRNR,FEDXA02
FEDXA03,0.4026645833333339,0.27009471766848797,M,PRNR,FEDXA03
FEDXA04,0.46078440656565695,0.30469542362399493,M,PRNR,FEDXA04
FEDXA05,0.35742994100295,0.2675567356572261,M,PRNR,FEDXA05
FEDXA06,0.37571812596006143,0.22796219455970468,M,PRNR,FEDXA06
FEDXB07,0.43187644675925907,0.27950617283950563,F,NRPR,FEDXB07
FEDXB08,0.6358931623931627,0.49032504145937,F,NRPR,FEDXB08
FEDXB10,0.27573719726381996,0.2381111917432672,F,NRPR,FEDXB10
FEDXB11,0.2636093390040756,0.268760718846926,F,NRPR,FEDXB11
FEDXB12,0.6557864792503347,0.5844139194139191,F,NRPR,FEDXB12
FEDXB01,0.3539824879227054,0.2684954855352869,F,PRNR,FEDXB01
FEDXB02,0.48179898093359586,0.2713389255592226,F,PRNR,FEDXB02
FEDXB03,0.32204545454545475,0.2607228336827391,F,PRNR,FEDXB03
FEDXB04,0.48253224206349216,0.2668584995251661,F,PRNR,FEDXB04
FEDXB05,0.3695604464509656,0.2968453803265629,F,PRNR,FEDXB05
FEDXB06,0.3358264604811002,0.32147606670998474,F,PRNR,FEDXB06
