Mouse,Day,Sex,Order,D
FEDXA07,0,M,NRPR,283
FEDXA08,0,M,NRPR,305
FEDXA09,0,M,NRPR,302
FEDXA10,0,M,NRPR,199
FEDXA11,0,M,NRPR,307
FEDXA12,0,M,NRPR,237
FEDXA01,0,M,PRNR,340
FEDXA02,0,M,PRNR,304
FEDXA03,0,M,PRNR,244
FEDXA04,0,M,PRNR,282
FEDXA05,0,M,PRNR,227
FEDXA06,0,M,PRNR,220
FEDXB07,0,F,NRPR,300
FEDXB08,0,F,NRPR,161
FEDXB10,0,F,NRPR,254
FEDXB11,0,F,NRPR,272
FEDXB12,0,F,NRPR,225
FEDXB01,0,F,PRNR,206
FEDXB02,0,F,PRNR,232
FEDXB03,0,F,PRNR,86
FEDXB04,0,F,PRNR,157
FEDXB05,0,F,PRNR,301
FEDXB06,0,F,PRNR,335
FEDXA07,1,M,NRPR,269
FEDXA08,1,M,NRPR,233
FEDXA09,1,M,NRPR,192
FEDXA10,1,M,NRPR,267
FEDXA11,1,M,NRPR,249
FEDXA12,1,M,NRPR,201
FEDXA01,1,M,PRNR,271
FEDXA02,1,M,PRNR,214
FEDXA03,1,M,PRNR,243
FEDXA04,1,M,PRNR,267
FEDXA05,1,M,PRNR,236
FEDXA06,1,M,PRNR,337
FEDXB07,1,F,NRPR,206
FEDXB08,1,F,NRPR,250
FEDXB10,1,F,NRPR,211
FEDXB11,1,F,NRPR,229
FEDXB12,1,F,NRPR,233
FEDXB01,1,F,PRNR,282
FEDXB02,1,F,PRNR,233
FEDXB03,1,F,PRNR,235
FEDXB04,1,F,PRNR,182
FEDXB05,1,F,PRNR,210
FEDXB06,1,F,PRNR,198
FEDXA07,2,M,NRPR,193
FEDXA08,2,M,NRPR,223
FEDXA09,2,M,NRPR,191
FEDXA10,2,M,NRPR,214
FEDXA11,2,M,NRPR,226
FEDXA12,2,M,NRPR,224
FEDXA01,2,M,PRNR,224
FEDXA02,2,M,PRNR,194
FEDXA03,2,M,PRNR,206
FEDXA04,2,M,PRNR,201
FEDXA05,2,M,PRNR,227
FEDXA06,2,M,PRNR,7
FEDXB07,2,F,NRPR,257
FEDXB08,2,F,NRPR,175
FEDXB10,2,F,NRPR,217
FEDXB11,2,F,NRPR,245
FEDXB12,2,F,NRPR,219
FEDXB01,2,F,PRNR,251
FEDXB02,2,F,PRNR,185
FEDXB03,2,F,PRNR,198
FEDXB04,2,F,PRNR,194
FEDXB05,2,F,PRNR,176
FEDXB06,2,F,PRNR,226
FEDXA07,3,M,NRPR,177
FEDXA08,3,M,NRPR,168
FEDXA09,3,M,NRPR,163
FEDXA10,3,M,NRPR,171
FEDXA11,3,M,NRPR,204
FEDXA12,3,M,NRPR,197
FEDXA01,3,M,PRNR,161
FEDXA02,3,M,PRNR,154
