"","diet_phase","Sex","Order","mean_value","sd_value","n"
"1","Grain","F",1,230.266666666667,35.4974177464596,15
"2","Grain","F",2,215.944444444444,56.0141497063042,18
"3","Grain","M",1,239.722222222222,40.3277827974645,18
"4","Grain","M",2,235.777777777778,71.7147581460588,18
"5","NR","F",1,193.142857142857,21.1759337000102,35
"6","NR","F",2,205.97619047619,45.6217150345594,42
"7","NR","M",1,190.428571428571,15.7652641591243,42
"8","NR","M",2,230.904761904762,42.0242726167428,42
"9","PR","F",1,200.114285714286,45.1166927687143,35
"10","PR","F",2,195.119047619048,43.1606202519642,42
"11","PR","M",1,191.190476190476,40.0702055210529,42
"12","PR","M",2,209.857142857143,46.5668003942154,42
