"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Grain F Order1 - NR F Order1",37.1238095238096,14.1609865826977,19,2.62155530668805,0.332619733939994
"2","Grain F Order1 - PR F Order1",30.1523809523809,16.8653423695646,19,1.78783094298722,0.806010098547997
"3","Grain F Order1 - Grain M Order1",-9.45555555555556,16.2421238972604,19,-0.582162506293309,0.999970668302843
"4","Grain F Order1 - NR M Order1",39.8380952380953,15.6242514178002,19,2.54976025236698,0.3683418984121
"5","Grain F Order1 - PR M Order1",39.0761904761905,15.296810789722,19,2.55453185721863,0.36589994821043
"6","Grain F Order1 - Grain F Order2",14.3222222222222,16.2421238972604,19,0.881794912587633,0.998541094240723
"7","Grain F Order1 - NR F Order2",24.2904761904762,15.6242514178002,19,1.55466495903944,0.905509694267262
"8","Grain F Order1 - PR F Order2",35.147619047619,15.296810789722,19,2.29770894932131,0.508932110386806
"9","Grain F Order1 - Grain M Order2",-5.5111111111111,16.2421238972604,19,-0.339309756899507,0.999999889143417
"10","Grain F Order1 - NR M Order2",-0.638095238095159,15.6242514178002,19,-0.0408400518547851,1
"11","Grain F Order1 - PR M Order2",20.4095238095238,15.296810789722,19,1.33423391908835,0.963192726807182
"12","NR F Order1 - PR F Order1",-6.97142857142865,12.5773863759007,19,-0.554282770925004,0.999982028084024
"13","NR F Order1 - Grain M Order1",-46.5793650793651,15.4977211583241,19,-3.00556221159952,0.181102491552415
"14","NR F Order1 - NR M Order1",2.71428571428571,14.8489058443321,19,0.182793651110783,0.999999999859195
"15","NR F Order1 - PR M Order1",1.95238095238088,14.5039716196552,19,0.134610091882357,0.999999999995127
"16","NR F Order1 - Grain F Order2",-22.8015873015874,15.4977211583241,19,-1.47128646003159,0.931513947419558
"17","NR F Order1 - NR F Order2",-12.8333333333333,14.8489058443321,19,-0.864261210076425,0.998777277728397
"18","NR F Order1 - PR F Order2",-1.97619047619055,14.5039716196552,19,-0.136251678368737,0.999999999994408
"19","NR F Order1 - Grain M Order2",-42.6349206349207,15.4977211583241,19,-2.75104450514783,0.273987056333558
"20","NR F Order1 - NR M Order2",-37.7619047619047,14.8489058443321,19,-2.54307658475178,0.371778168353781
"21","NR F Order1 - PR M Order2",-16.7142857142858,14.5039716196552,19,-1.15239371343193,0.986999325845603
"22","PR F Order1 - Grain M Order1",-39.6079365079365,15.1006485511409,19,-2.62292949695488,0.331957761931735
"23","PR F Order1 - NR M Order1",9.68571428571435,14.4339956470046,19,0.671034862597062,0.999882276047815
"24","PR F Order1 - PR M Order1",8.92380952380953,14.0788997548698,19,0.633842820048692,0.999932232732051
"25","PR F Order1 - Grain F Order2",-15.8301587301587,15.1006485511409,19,-1.04830985745726,0.99376777373539
"26","PR F Order1 - NR F Order2",-5.8619047619047,14.4339956470046,19,-0.40611795273204,0.999999262190208
"27","PR F Order1 - PR F Order2",4.99523809523809,14.0788997548698,19,0.354803158074214,0.999999822016031
"28","PR F Order1 - Grain M Order2",-35.663492063492,15.1006485511409,19,-2.36171922965504,0.47137641453777
"29","PR F Order1 - NR M Order2",-30.7904761904761,14.4339956470046,19,-2.13319145602387,0.60841516023723
"30","PR F Order1 - PR M Order2",-9.74285714285718,14.0788997548698,19,-0.692018361696706,0.999841902975095
"31","Grain M Order1 - NR M Order1",49.2936507936508,12.9271529797859,19,3.8131869306978,0.0398164684907876
"32","Grain M Order1 - PR M Order1",48.531746031746,15.3958807597636,19,3.15225525509274,0.140268779682934
"33","Grain M Order1 - Grain F Order2",23.7777777777778,15.4862575059296,19,1.53541149426667,0.911979603474353
"34","Grain M Order1 - NR F Order2",33.7460317460318,14.8369408980637,19,2.27446021237679,0.522792726329167
"35","Grain M Order1 - PR F Order2",44.6031746031746,14.4917218846678,19,3.07783815878806,0.159902473415066
"36","Grain M Order1 - Grain M Order2",3.94444444444447,15.4862575059296,19,0.254706112366668,0.999999994862249
"37","Grain M Order1 - NR M Order2",8.8174603174604,14.8369408980637,19,0.594290991521786,0.999964015535652
"38","Grain M Order1 - PR M Order2",29.8650793650793,14.4917218846678,19,2.06083718710311,0.65231907314927
"39","NR M Order1 - PR M Order1",-0.761904761904826,11.481530387565,19,-0.0663591643436318,1
"40","NR M Order1 - Grain F Order2",-25.5158730158731,14.8369408980637,19,-1.7197529592642,0.838867763684636
"41","NR M Order1 - NR F Order2",-15.5476190476191,14.1578762138009,19,-1.09816040293271,0.991008179016918
"42","NR M Order1 - PR F Order2",-4.69047619047626,13.7956749329358,19,-0.33999613743277,0.99999988673858
"43","NR M Order1 - Grain M Order2",-45.3492063492064,14.8369408980637,19,-3.05650650365027,0.165935330493416
"44","NR M Order1 - NR M Order2",-40.4761904761904,14.1578762138009,19,-2.85891682233631,0.231034157469716
"45","NR M Order1 - PR M Order2",-19.4285714285715,13.7956749329358,19,-1.40830887383319,0.947724310153552
"46","PR M Order1 - Grain F Order2",-24.7539682539682,14.4917218846678,19,-1.70814541232384,0.844177946971777
"47","PR M Order1 - NR F Order2",-14.7857142857142,13.7956749329358,19,-1.07176447383627,0.992568909532173
"48","PR M Order1 - PR F Order2",-3.92857142857143,13.4237042140073,19,-0.29265926646924,0.999999977126117
"49","PR M Order1 - Grain M Order2",-44.5873015873016,14.4917218846678,19,-3.07674284271732,0.160207754395646
"50","PR M Order1 - NR M Order2",-39.7142857142856,13.7956749329358,19,-2.87874902151193,0.223719418126025
"51","PR M Order1 - PR M Order2",-18.6666666666667,13.4237042140073,19,-1.39057493885991,0.951772281434645
"52","Grain F Order2 - NR F Order2",9.96825396825401,12.9271529797859,19,0.771109770561336,0.999563527474061
"53","Grain F Order2 - PR F Order2",20.8253968253968,15.3958807597636,19,1.35266030897193,0.959693275308864
"54","Grain F Order2 - Grain M Order2",-19.8333333333333,15.4862575059296,19,-1.2807053819,0.972128212346878
"55","Grain F Order2 - NR M Order2",-14.9603174603174,14.8369408980637,19,-1.00831549866656,0.995451765819358
"56","Grain F Order2 - PR M Order2",6.08730158730153,14.4917218846678,19,0.420053713129969,0.999998950493144
"57","NR F Order2 - PR F Order2",10.8571428571428,11.481530387565,19,0.945618091896668,0.997336124905102
"58","NR F Order2 - Grain M Order2",-29.8015873015873,14.8369408980637,19,-2.00860726657452,0.683579918271786
"59","NR F Order2 - NR M Order2",-24.9285714285714,14.1578762138009,19,-1.7607564194036,0.819417205388196
"60","NR F Order2 - PR M Order2",-3.88095238095248,13.7956749329358,19,-0.281316601023056,0.999999985030988
"61","PR F Order2 - Grain M Order2",-40.6587301587301,14.4917218846678,19,-2.8056521152084,0.251571778653653
"62","PR F Order2 - NR M Order2",-35.7857142857142,13.7956749329358,19,-2.59398068305302,0.346077889504147
"63","PR F Order2 - PR M Order2",-14.7380952380953,13.4237042140073,19,-1.09791567239067,0.991023746521862
"64","Grain M Order2 - NR M Order2",4.87301587301594,12.9271529797859,19,0.376959712678873,0.999999662547207
"65","Grain M Order2 - PR M Order2",25.9206349206349,15.3958807597636,19,1.68360844859082,0.855106753242062
"66","NR M Order2 - PR M Order2",21.0476190476189,11.481530387565,19,1.83317191499266,0.782630757863694
