"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",-0.45610823562218,0.226641987947031,19,-2.01246132613688,0.681291733493515
"2","grain F order1 - nr F order1",-0.103948701667879,0.226607462158761,19,-0.458717028458017,0.999997383478246
"3","grain F order1 - grain M order1",-0.0204597389377121,0.252577542134371,19,-0.0810037929929158,1
"4","grain F order1 - pr M order1",-0.267630238767983,0.266460636117408,19,-1.00438940125497,0.995594931265662
"5","grain F order1 - nr M order1",-0.00556045638697415,0.25483339347983,19,-0.0218199675915483,1
"6","grain F order1 - grain F order2",-0.15791319501995,0.252577542134371,19,-0.625206792676524,0.999940732017063
"7","grain F order1 - pr F order2",-0.799614290388024,0.266460636117408,19,-3.00087210643638,0.182553681933858
"8","grain F order1 - nr F order2",-0.344706571674827,0.25483339347983,19,-1.35267425892561,0.959690540708354
"9","grain F order1 - grain M order2",-0.30990285825121,0.252577542134371,19,-1.22696125566992,0.979392737999239
"10","grain F order1 - pr M order2",-0.708736595005372,0.266460636117408,19,-2.65981724479967,0.31450229717934
"11","grain F order1 - nr M order2",0.197272247948289,0.25483339347983,19,0.7741224384076,0.999547555862185
"12","pr F order1 - nr F order1",0.352159533954301,0.137374615943478,19,2.56349785974429,0.361337045171566
"13","pr F order1 - grain M order1",0.435648496684468,0.269151336169792,19,1.61860053486653,0.882033332108052
"14","pr F order1 - pr M order1",0.188477996854198,0.282220299715379,19,0.66783997127166,0.999887559674786
"15","pr F order1 - nr M order1",0.450547779235206,0.271269396364186,19,1.66088687214216,0.864858750636541
"16","pr F order1 - grain F order2",0.29819504060223,0.269151336169792,19,1.10790845345875,0.990370628734952
"17","pr F order1 - pr F order2",-0.343506054765844,0.282220299715379,19,-1.21715572945062,0.980548365012013
"18","pr F order1 - nr F order2",0.111401663947353,0.271269396364186,19,0.410668012833241,0.999999171026063
"19","pr F order1 - grain M order2",0.14620537737097,0.269151336169792,19,0.543208811264223,0.999985326126485
"20","pr F order1 - pr M order2",-0.252628359383192,0.282220299715379,19,-0.895145953845169,0.998336683617374
"21","pr F order1 - nr M order2",0.653380483570469,0.271269396364186,19,2.40860374346573,0.4445594622394
"22","nr F order1 - grain M order1",0.0834889627301674,0.255282171646997,19,0.327045802656425,0.999999925054385
"23","nr F order1 - pr M order1",-0.163681537100103,0.269025729197526,19,-0.608423356339735,0.999954622608808
"24","nr F order1 - nr M order1",0.0983882452809053,0.257514331256752,19,0.382069008745025,0.999999611159146
"25","nr F order1 - grain F order2",-0.0539644933520704,0.255282171646997,19,-0.211391547650622,0.999999999316227
"26","nr F order1 - pr F order2",-0.695665588720145,0.269025729197526,19,-2.58587009798371,0.350099188368704
"27","nr F order1 - nr F order2",-0.240757870006948,0.257514331256752,19,-0.934929985573899,0.99758137949815
"28","nr F order1 - grain M order2",-0.205954156583331,0.255282171646997,19,-0.806770622697942,0.999339903179137
"29","nr F order1 - pr M order2",-0.604787893337493,0.269025729197526,19,-2.24806710919996,0.538640533215065
"30","nr F order1 - nr M order2",0.301220949616168,0.257514331256752,19,1.16972499412407,0.98546362894867
"31","grain M order1 - pr M order1",-0.24717049983027,0.206894882127338,19,-1.1946670564724,0.983014275034399
"32","grain M order1 - nr M order1",0.0148992825507379,0.20686336453892,19,0.0720247521060441,1
"33","grain M order1 - grain F order2",-0.137453456082238,0.240823237308725,19,-0.570764921268906,0.999975908549713
"34","grain M order1 - pr F order2",-0.779154551450312,0.255346210931959,19,-3.05136523705038,0.167417090615029
"35","grain M order1 - nr F order2",-0.324246832737115,0.243188147880731,19,-1.33331675726293,0.963361082418557
"36","grain M order1 - grain M order2",-0.289443119313498,0.240823237308725,19,-1.20189032648226,0.982249638804416
"37","grain M order1 - pr M order2",-0.68827685606766,0.255346210931959,19,-2.69546531963642,0.298216484667572
"38","grain M order1 - nr M order2",0.217731986886001,0.243188147880731,19,0.895323184059058,0.998333817584199
"39","pr M order1 - nr M order1",0.262069782381008,0.12540529330142,19,2.08978246038711,0.634810935110418
"40","pr M order1 - grain F order2",0.109717043748033,0.255346210931959,19,0.429679545067809,0.999998671217011
"41","pr M order1 - pr F order2",-0.531984051620041,0.269086497704292,19,-1.97700016968022,0.70220757649629
"42","pr M order1 - nr F order2",-0.0770763329068445,0.25757781558029,19,-0.29923513689718,0.999999970980298
"43","pr M order1 - grain M order2",-0.0422726194832275,0.255346210931959,19,-0.165550212509289,0.999999999952228
"44","pr M order1 - pr M order2",-0.44110635623739,0.269086497704292,19,-1.63927346782794,0.873797693426915
"45","pr M order1 - nr M order2",0.464902486716272,0.25757781558029,19,1.80490111568384,0.797339642791157
"46","nr M order1 - grain F order2",-0.152352738632976,0.243188147880731,19,-0.626480936512151,0.999939539895624
"47","nr M order1 - pr F order2",-0.79405383400105,0.25757781558029,19,-3.08277260684173,0.158533150397816
"48","nr M order1 - nr F order2",-0.339146115287853,0.24553028104791,19,-1.38128019827288,0.953805636593137
"49","nr M order1 - grain M order2",-0.304342401864236,0.243188147880731,19,-1.25146889154112,0.97628044927248
"50","nr M order1 - pr M order2",-0.703176138618398,0.25757781558029,19,-2.72995613785384,0.283012738745272
"51","nr M order1 - nr M order2",0.202832704335263,0.24553028104791,19,0.826100566779722,0.999182449971159
"52","grain F order2 - pr F order2",-0.641701095368074,0.206894882127338,19,-3.10158032315717,0.153403105278678
"53","grain F order2 - nr F order2",-0.186793376654877,0.20686336453892,19,-0.902979496012854,0.998206017325358
"54","grain F order2 - grain M order2",-0.15198966323126,0.240823237308725,19,-0.63112540521335,0.999935015063049
"55","grain F order2 - pr M order2",-0.550823399985422,0.255346210931959,19,-2.1571630061595,0.59380857652512
"56","grain F order2 - nr M order2",0.355185442968239,0.243188147880731,19,1.46053763747745,0.934486888280434
"57","pr F order2 - nr F order2",0.454907718713197,0.12540529330142,19,3.62750013765206,0.0575218343411763
"58","pr F order2 - grain M order2",0.489711432136814,0.255346210931959,19,1.91783316599637,0.736276779204454
"59","pr F order2 - pr M order2",0.0908776953826519,0.269086497704292,19,0.337726701852281,0.999999894515723
"60","pr F order2 - nr M order2",0.996886538336313,0.25757781558029,19,3.87023446134309,0.0355035467083382
"61","nr F order2 - grain M order2",0.0348037134236171,0.243188147880731,19,0.143114348815577,0.999999999990345
"62","nr F order2 - pr M order2",-0.364030023330545,0.25757781558029,19,-1.41328173977418,0.946549089770189
"63","nr F order2 - nr M order2",0.541978819623116,0.24553028104791,19,2.2073807650526,0.563251914682579
"64","grain M order2 - pr M order2",-0.398833736754162,0.206894882127338,19,-1.92771195040335,0.730671895484108
"65","grain M order2 - nr M order2",0.507175106199499,0.20686336453892,19,2.4517396172587,0.420498441495682
"66","pr M order2 - nr M order2",0.906008842953661,0.12540529330142,19,7.2246459387963,3.68642471719749e-05
