"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",0.378631103471193,0.10005115358982,19,3.78437519094949,0.0421786144192799
"2","grain F order1 - nr F order1",0.310513772447956,0.115398711250357,19,2.69079064301072,0.300319127830865
"3","grain F order1 - grain M order1",-0.0557836474308179,0.111033445711691,19,-0.502404001544413,0.999993347103127
"4","grain F order1 - pr M order1",0.380722694331693,0.105740419467314,19,3.60054079839716,0.0606318425123786
"5","grain F order1 - nr M order1",0.250405596563075,0.12355501979862,19,2.02667278894218,0.672826283599318
"6","grain F order1 - grain F order2",0.0686593779723076,0.111033445711691,19,0.618366632974611,0.999946787083923
"7","grain F order1 - pr F order2",0.603571242795626,0.105740419467314,19,5.70804660919846,0.000768448855120507
"8","grain F order1 - nr F order2",0.274329811586882,0.12355501979862,19,2.22030486526575,0.555414599773019
"9","grain F order1 - grain M order2",0.118514237087248,0.111033445711691,19,1.06737421618871,0.992806218686614
"10","grain F order1 - pr M order2",0.481670377655539,0.105740419467314,19,4.55521531011545,0.00862558408874259
"11","grain F order1 - nr M order2",-0.0341698511783071,0.12355501979862,19,-0.276555750094168,0.999999987538554
"12","pr F order1 - nr F order1",-0.068117331023237,0.0696806233756871,19,-0.977564891404293,0.99647835533447
"13","pr F order1 - grain M order1",-0.434414750902011,0.104649693538137,19,-4.15113256632422,0.0200133048820357
"14","pr F order1 - pr M order1",0.00209159086050035,0.0990160017377926,19,0.0211237660963039,1
"15","pr F order1 - nr M order1",-0.128225506908118,0.117851496420081,19,-1.08802612442916,0.991635292477269
"16","pr F order1 - grain F order2",-0.309971725498886,0.104649693538137,19,-2.96199362863804,0.194947000777683
"17","pr F order1 - pr F order2",0.224940139324432,0.0990160017377926,19,2.27175542716927,0.524411665589519
"18","pr F order1 - nr F order2",-0.104301291884311,0.117851496420081,19,-0.885023059126289,0.998493704321111
"19","pr F order1 - grain M order2",-0.260116866383945,0.104649693538137,19,-2.48559606425557,0.402068659494369
"20","pr F order1 - pr M order2",0.103039274184346,0.0990160017377926,19,1.04063254803206,0.994124680104159
"21","pr F order1 - nr M order2",-0.4128009546495,0.117851496420081,19,-3.50272136705055,0.0732622843203812
"22","nr F order1 - grain M order1",-0.366297419878774,0.125909992802806,19,-2.90920054655591,0.212835023054511
"23","nr F order1 - pr M order1",0.0702089218837374,0.121268035896172,19,0.578956535123975,0.999972234959708
"24","nr F order1 - nr M order1",-0.0601081758848811,0.137079331550854,19,-0.438491895202902,0.999998359212888
"25","nr F order1 - grain F order2",-0.241854394475648,0.125909992802806,19,-1.92085146771812,0.734568164550806
"26","nr F order1 - pr F order2",0.293057470347669,0.121268035896172,19,2.41660935779138,0.440047397200006
"27","nr F order1 - nr F order2",-0.0361839608610741,0.137079331550854,19,-0.263963651206239,0.999999992451574
"28","nr F order1 - grain M order2",-0.191999535360708,0.125909992802806,19,-1.52489513410908,0.915395448840203
"29","nr F order1 - pr M order2",0.171156605207583,0.121268035896172,19,1.41139092377257,0.946998023467441
"30","nr F order1 - nr M order2",-0.344683623626263,0.137079331550854,19,-2.51448281609391,0.386683636222177
"31","grain M order1 - pr M order1",0.436506341762511,0.0913337895425976,19,4.77924264336943,0.00538568133739115
"32","grain M order1 - nr M order1",0.306189243993893,0.105344128764743,19,2.90656202281271,0.213761585412906
"33","grain M order1 - grain F order2",0.124443025403126,0.105866236641129,19,1.17547415825283,0.984924663060331
"34","grain M order1 - pr F order2",0.659354890226443,0.100300898814856,19,6.57376851072428,0.000131821464583348
"35","grain M order1 - nr F order2",0.3301134590177,0.118933077448546,19,2.77562362043912,0.263727013469269
"36","grain M order1 - grain M order2",0.174297884518066,0.105866236641129,19,1.64639728442327,0.870888213509968
