"","contrast","estimate","SE","df","t.ratio","p.value"
"1","grain F order1 - pr F order1",1.11277503596932,0.306570208078151,19,3.62975594708032,0.057268417368101
"2","grain F order1 - nr F order1",0.643254799223715,0.355889785514962,19,1.8074550757138,0.796028458250866
"3","grain F order1 - grain M order1",0.149728670180344,0.458157110161075,19,0.326806387720806,0.999999925636486
"4","grain F order1 - pr M order1",0.697650635218588,0.374078073290799,19,1.8649867100771,0.765591751610202
"5","grain F order1 - nr M order1",0.856521073646128,0.39046446929844,19,2.1935954254303,0.57162680545978
"6","grain F order1 - grain F order2",0.565321955873447,0.458157110161075,19,1.2339041419104,0.978543955908274
"7","grain F order1 - pr F order2",1.34889901459584,0.374078073290799,19,3.60592911188151,0.0599980904703655
"8","grain F order1 - nr F order2",1.18520376551466,0.39046446929844,19,3.03536905072094,0.172097032300843
"9","grain F order1 - grain M order2",-0.170596367311618,0.458157110161075,19,-0.372353420973083,0.9999997035626
"10","grain F order1 - pr M order2",1.15555910472279,0.374078073290799,19,3.08908537342814,0.156795565005972
"11","grain F order1 - nr M order2",0.498445168488701,0.39046446929844,19,1.27654423815891,0.972749426907225
"12","pr F order1 - nr F order1",-0.469520236745603,0.172972174193079,19,-2.71442640376078,0.289790613678856
"13","pr F order1 - grain M order1",-0.963046365788974,0.354879836539241,19,-2.71372522930726,0.290099258782409
"14","pr F order1 - pr M order1",-0.41512440075073,0.236571692532998,19,-1.75475094380883,0.822331657533674
"15","pr F order1 - nr M order1",-0.25625396232319,0.261714085550403,19,-0.979137067782463,0.996430923780776
"16","pr F order1 - grain F order2",-0.547453080095871,0.354879836539241,19,-1.54264351966172,0.909582132352755
"17","pr F order1 - pr F order2",0.236123978626517,0.236571692532998,19,0.998107491637368,0.995816390944977
"18","pr F order1 - nr F order2",0.0724287295453418,0.261714085550403,19,0.276747540710387,0.999999987445375
"19","pr F order1 - grain M order2",-1.28337140328094,0.354879836539241,19,-3.61635480842267,0.0587892089211459
"20","pr F order1 - pr M order2",0.0427840687534703,0.236571692532998,19,0.18085033038136,0.999999999874689
"21","pr F order1 - nr M order2",-0.614329867480617,0.261714085550403,19,-2.34733207495745,0.479730241245322
"22","nr F order1 - grain M order1",-0.493526129043371,0.375464265441048,19,-1.31444234370384,0.966705372905943
"23","nr F order1 - pr M order1",0.0543958359948731,0.266458030370628,19,0.204144104492597,0.999999999531808
"24","nr F order1 - nr M order1",0.213266274422413,0.289012073824868,19,0.737914757677721,0.999709989320385
"25","nr F order1 - grain F order2",-0.0779328433502681,0.375464265441048,19,-0.207563942892734,0.999999999439238
"26","nr F order1 - pr F order2",0.70564421537212,0.266458030370628,19,2.64823775207904,0.319916216650632
"27","nr F order1 - nr F order2",0.541948966290945,0.289012073824868,19,1.87517759766448,0.760032322404339
"28","nr F order1 - grain M order2",-0.813851166535333,0.375464265441048,19,-2.1675862164388,0.5874579254684
"29","nr F order1 - pr M order2",0.512304305499073,0.266458030370628,19,1.92264539667461,0.73355102499415
"30","nr F order1 - nr M order2",-0.144809630735014,0.289012073824868,19,-0.501050453770192,0.999993527578724
"31","grain M order1 - pr M order1",0.547921965038244,0.27985903070576,19,1.95784986339899,0.713359623119142
"32","grain M order1 - nr M order1",0.706792403465784,0.324881439187034,19,2.17553949906903,0.582613928692145
"33","grain M order1 - grain F order2",0.415593285693103,0.436835664535456,19,0.951372150749314,0.99719583807607
"34","grain M order1 - pr F order2",1.19917034441549,0.347637548512733,19,3.44948452647246,0.0811042088903128
"35","grain M order1 - nr F order2",1.03547509533432,0.365212215025044,19,2.83526961239045,0.239990944689438
"36","grain M order1 - grain M order2",-0.320325037491962,0.436835664535456,19,-0.733284993643101,0.999726590818974
"37","grain M order1 - pr M order2",1.00583043454244,0.347637548512733,19,2.8933308235707,0.218455161912006
"38","grain M order1 - nr M order2",0.348716498308357,0.365212215025044,19,0.954832516443745,0.997108588400993
"39","pr M order1 - nr M order1",0.15887043842754,0.157901269377104,19,1.00613781671458,0.995531632849682
"40","pr M order1 - grain F order2",-0.132328679345141,0.347637548512733,19,-0.38065128439454,0.999999626078283
"41","pr M order1 - pr F order2",0.651248379377247,0.225562258504724,19,2.88722228485581,0.220648722798625
"42","pr M order1 - nr F order2",0.487553130296072,0.25180633298094,19,1.93622266971727,0.725814634134359
"43","pr M order1 - grain M order2",-0.868247002530206,0.347637548512733,19,-2.49756393187315,0.395655654565004
"44","pr M order1 - pr M order2",0.4579084695042,0.225562258504725,19,2.03007574290009,0.670793042033665
"45","pr M order1 - nr M order2",-0.199205466729887,0.251806332980941,19,-0.791105864461977,0.999447863433079
"46","nr M order1 - grain F order2",-0.291199117772681,0.365212215025044,19,-0.797342218558358,0.999406837563155
"47","nr M order1 - pr F order2",0.492377940949707,0.25180633298094,19,1.95538346919565,0.714787762765006
"48","nr M order1 - nr F order2",0.328682691868532,0.275562200232297,19,1.19277132927323,0.983210748504899
"49","nr M order1 - grain M order2",-1.02711744095775,0.365212215025044,19,-2.8123852343967,0.24890350613264
"50","nr M order1 - pr M order2",0.29903803107666,0.251806332980941,19,1.18757152584917,0.983740803566196
"51","nr M order1 - nr M order2",-0.358075905157427,0.275562200232297,19,-1.29943767634157,0.969203341075538
"52","grain F order2 - pr F order2",0.783577058722388,0.27985903070576,19,2.79989913759914,0.253868224725387
"53","grain F order2 - nr F order2",0.619881809641213,0.324881439187034,19,1.90802469723224,0.741805046238232
"54","grain F order2 - grain M order2",-0.735918323185065,0.436835664535456,19,-1.68465714439242,0.854648025432059
"55","grain F order2 - pr M order2",0.590237148849341,0.347637548512733,19,1.69785212033194,0.848812083973193
"56","grain F order2 - nr M order2",-0.0668767873847463,0.365212215025044,19,-0.183117608429828,0.999999999856454
"57","pr F order2 - nr F order2",-0.163695249081176,0.157901269377104,19,-1.03669368667477,0.99430132522126
"58","pr F order2 - grain M order2",-1.51949538190745,0.347637548512733,19,-4.37091847071231,0.012684243560807
"59","pr F order2 - pr M order2",-0.193339909873047,0.225562258504724,19,-0.857146541955721,0.998863499589885
"60","pr F order2 - nr M order2",-0.850453846107135,0.251806332980941,19,-3.37741245837334,0.0929272564733027
"61","nr F order2 - grain M order2",-1.35580013282628,0.365212215025044,19,-3.71236250335522,0.0486723120919813
"62","nr F order2 - pr M order2",-0.0296446607918715,0.251806332980941,19,-0.117728019152383,1
"63","nr F order2 - nr M order2",-0.686758597025959,0.275562200232297,19,-2.4922090056148,0.398518373930838
"64","grain M order2 - pr M order2",1.32615547203441,0.27985903070576,19,4.73865527472905,0.00586605147654984
"65","grain M order2 - nr M order2",0.669041535800319,0.324881439187034,19,2.05934059352388,0.653221392353583
"66","pr M order2 - nr M order2",-0.657113936234087,0.157901269377104,19,-4.16154942152333,0.0195878047206578
