,NR,PR,Sex,Order,Mouse
FEDXA07,187.8571429,182.5714286,M,NRPR,FEDXA07
FEDXA08,185,155.5714286,M,NRPR,FEDXA08
FEDXA09,189.7142857,206.1428571,M,NRPR,FEDXA09
FEDXA10,202.1428571,184.7142857,M,NRPR,FEDXA10
FEDXA11,196.1428571,200.4285714,M,NRPR,FEDXA11
FEDXA12,204.1428571,234.8571429,M,NRPR,FEDXA12
FEDXA01,229.4285714,197.7142857,M,PRNR,FEDXA01
FEDXA02,188.1428571,198,M,PRNR,FEDXA02
FEDXA03,283.7142857,234.2857143,M,PRNR,FEDXA03
FEDXA04,244.2857143,214.1428571,M,PRNR,FEDXA04
FEDXA05,252.5714286,222,M,PRNR,FEDXA05
FEDXA06,200.4285714,212.8571429,M,PRNR,FEDXA06
FEDXB07,207.1428571,253,F,NRPR,FEDXB07
FEDXB08,187.7142857,189.2857143,F,NRPR,FEDXB08
FEDXB10,214,227.2857143,F,NRPR,FEDXB10
FEDXB11,181.2857143,160.2857143,F,NRPR,FEDXB11
FEDXB12,190.2857143,191,F,NRPR,FEDXB12
FEDXB01,197.5714286,199,F,PRNR,FEDXB01
FEDXB02,172.1428571,205.5714286,F,PRNR,FEDXB02
FEDXB03,206.7142857,212.2857143,F,PRNR,FEDXB03
FEDXB04,205.8571429,182.1428571,F,PRNR,FEDXB04
FEDXB05,209.4285714,200.8571429,F,PRNR,FEDXB05
FEDXB06,262.5714286,184.4285714,F,PRNR,FEDXB06
