,NR,PR,Sex,Order,Mouse
FEDXA07,4.135220125786163,3.5013698630136987,M,NRPR,FEDXA07
FEDXA08,3.6376404494382024,3.679054054054054,M,NRPR,FEDXA08
FEDXA09,3.805157593123209,2.975257731958763,M,NRPR,FEDXA09
FEDXA10,3.783422459893048,3.5424657534246577,M,NRPR,FEDXA10
FEDXA11,3.0043763676148796,2.452797202797203,M,NRPR,FEDXA11
FEDXA12,3.0797413793103448,3.1615384615384614,M,NRPR,FEDXA12
FEDXA01,4.461111111111111,2.5441176470588234,M,PRNR,FEDXA01
FEDXA02,3.5885558583106265,2.675675675675676,M,PRNR,FEDXA02
FEDXA03,4.965,2.6885245901639343,M,PRNR,FEDXA03
FEDXA04,4.857954545454546,2.7810760667903525,M,PRNR,FEDXA04
FEDXA05,3.911504424778761,2.5392156862745097,M,PRNR,FEDXA05
FEDXA06,3.2327188940092166,2.060857538035961,M,PRNR,FEDXA06
FEDXB07,3.7760416666666665,3.0746527777777777,F,NRPR,FEDXB07
FEDXB08,5.053846153846154,3.955223880597015,F,NRPR,FEDXB08
FEDXB10,2.492512479201331,2.309143686502177,F,NRPR,FEDXB10
FEDXB11,2.0239234449760763,1.8423645320197044,F,NRPR,FEDXB11
FEDXB12,5.349397590361446,4.897435897435898,F,NRPR,FEDXB12
FEDXB01,3.006521739130435,2.3101160862354893,F,PRNR,FEDXB01
FEDXB02,3.56508875739645,2.3745874587458746,F,PRNR,FEDXB02
FEDXB03,2.8596837944664033,2.3364779874213837,F,PRNR,FEDXB03
FEDXB04,4.288690476190476,2.1794871794871793,F,PRNR,FEDXB04
FEDXB05,3.309255079006772,2.5197132616487457,F,PRNR,FEDXB05
FEDXB06,3.7896907216494844,2.516569200779727,F,PRNR,FEDXB06
