Mouse,Sex,Order,delta_PR,delta_NR
FEDXA07,M,1,0.6999999999999993,-2.0
FEDXA08,M,1,-1.0,-0.29999999999999716
FEDXA09,M,1,-0.6999999999999993,0.0
FEDXA10,M,1,-1.5,-0.9000000000000021
FEDXA11,M,1,1.0,-0.7000000000000028
FEDXA12,M,1,0.6999999999999993,-0.10000000000000142
FEDXA01,M,2,-1.5,0.40000000000000213
FEDXA02,M,2,0.0,0.1999999999999993
FEDXA03,M,2,-1.8000000000000007,0.6999999999999993
FEDXA04,M,2,-2.8999999999999986,1.5999999999999979
FEDXA05,M,2,-2.1000000000000014,1.6000000000000014
FEDXA06,M,2,-1.5,0.6000000000000014
FEDXB07,F,1,0.8000000000000007,0.1999999999999993
FEDXB08,F,1,-0.3999999999999986,0.1999999999999993
FEDXB10,F,1,0.9000000000000021,-3.0
FEDXB11,F,1,-0.3999999999999986,1.3000000000000007
FEDXB12,F,1,-0.3000000000000007,-0.40000000000000213
FEDXB01,F,2,-0.8999999999999986,-0.40000000000000213
FEDXB02,F,2,-0.3000000000000007,0.8000000000000007
FEDXB03,F,2,0.5999999999999979,0.0
FEDXB04,F,2,-1.0,0.6999999999999993
FEDXB05,F,2,0.7000000000000028,1.0
FEDXB06,F,2,-0.8999999999999986,2.1999999999999993
