"Effect","df","MSE","F","pes","p.value"
"Order","1, 19","19.21","3.19 +",".144",".090"
"Sex","1, 19","19.21","75.69 ***",".799","<.001"
"Order:Sex","1, 19","19.21","0.29",".015",".596"
"phase","1, 19","1.38","4.68 *",".198",".043"
"Order:phase","1, 19","1.38","9.73 **",".339",".006"
"Sex:phase","1, 19","1.38","0.93",".047",".348"
"Order:Sex:phase","1, 19","1.38","3.81 +",".167",".066"
"day","2.91, 55.30","0.48","3.79 *",".166",".016"
"Order:day","2.91, 55.30","0.48","0.54",".027",".654"
"Sex:day","2.91, 55.30","0.48","2.51 +",".117",".070"
"Order:Sex:day","2.91, 55.30","0.48","1.57",".077",".207"
"phase:day","2.08, 39.59","0.67","4.90 *",".205",".012"
"Order:phase:day","2.08, 39.59","0.67","10.80 ***",".362","<.001"
"Sex:phase:day","2.08, 39.59","0.67","1.52",".074",".230"
"Order:Sex:phase:day","2.08, 39.59","0.67","2.32",".109",".109"
