"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexF - PR1 Order2 SexF",1.21666666666668,0.170491206406631,19,7.13624293187801,1.13843765917888e-05,"F"
"PR0 Order2 SexF - PR2 Order2 SexF",1.25,0.210047335238835,19,5.95103955295926,0.000119569988857649,"F"
"PR0 Order2 SexF - PR3 Order2 SexF",1.03333333333335,0.216869001341109,19,4.76478116717121,0.00148208126672191,"F"
"PR0 Order2 SexF - PR4 Order2 SexF",0.850000000000001,0.205202795143007,19,4.14224377113203,0.00553687598961988,"F"
"PR0 Order2 SexF - PR5 Order2 SexF",0.650000000000005,0.298073737884393,19,2.1806684634931,0.37784999457341,"F"
"PR0 Order2 SexF - PR6 Order2 SexF",0.3,0.36243168341937,19,0.827742202805349,1,"F"
"PR0 Order2 SexF - NR0 Order2 SexF",0.433333333333342,0.364527251325691,19,1.18875428862292,1,"F"
"PR0 Order2 SexF - NR1 Order2 SexF",0.166666666666672,0.343226009456234,19,0.485588685224406,1,"F"
"PR0 Order2 SexF - NR2 Order2 SexF",-0.0833333333333294,0.323693956968272,19,-0.257444822615263,1,"F"
"PR0 Order2 SexF - NR3 Order2 SexF",-0.333333333333323,0.297189564801493,19,-1.12161856542968,1,"F"
"PR0 Order2 SexF - NR4 Order2 SexF",-0.26666666666665,0.397216190196706,19,-0.671338865957588,1,"F"
"PR0 Order2 SexF - NR5 Order2 SexF",-0.0999999999999962,0.443276608955157,19,-0.225592774307909,1,"F"
"PR0 Order2 SexF - NR6 Order2 SexF",-0.283333333333327,0.364471098012654,19,-0.777382170707786,1,"F"
