"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",0.519999999999998,0.148489470357388,19,3.50193181205677,1
"2","NR0 F Order1 - NR2 F Order1",0.479999999999995,0.200516875957759,19,2.3938134768323,1
"3","NR0 F Order1 - NR3 F Order1",0.460000000000004,0.272872954179793,19,1.68576618882102,1
"4","NR0 F Order1 - NR4 F Order1",0.540000000000006,0.455708432485725,19,1.1849681978771,1
"5","NR0 F Order1 - NR5 F Order1",0.159999999999994,0.473160334088125,19,0.338151760561981,1
"6","NR0 F Order1 - NR6 F Order1",0.339999999999997,0.446844688273897,19,0.76089077239202,1
"7","NR0 F Order1 - PR0 F Order1",-0.200000000000009,0.399319596752872,19,-0.500851953238306,1
"8","NR0 F Order1 - PR1 F Order1",0.0600000000000027,0.303465365519981,19,0.197716137712105,1
"9","NR0 F Order1 - PR2 F Order1",0.0799999999999922,0.311160814743082,19,0.25710178213168,1
"10","NR0 F Order1 - PR3 F Order1",-0.099999999999998,0.310065075229689,19,-0.322512943213357,1
"11","NR0 F Order1 - PR4 F Order1",-0.440000000000008,0.376810250540349,19,-1.16769647155045,1
"12","NR0 F Order1 - PR5 F Order1",-0.140000000000002,0.40765052111879,19,-0.343431426545892,1
"13","NR0 F Order1 - PR6 F Order1",-0.320000000000007,0.36768121203593,19,-0.870319150190184,1
"14","NR0 F Order1 - NR0 M Order1",-4.63666666666667,0.822785526970311,19,-5.63532842360507,0.0228519597545556
"15","NR0 F Order1 - NR1 M Order1",-3.77,0.800982218666484,19,-4.70672121320807,0.143592750299263
"16","NR0 F Order1 - NR2 M Order1",-4.12000000000001,0.811335625420223,19,-5.07804645933807,0.0684737676751153
"17","NR0 F Order1 - NR3 M Order1",-3.83666666666666,0.787290861489447,19,-4.87325187467338,0.103890389473118
"18","NR0 F Order1 - NR4 M Order1",-3.85333333333333,0.807508260417981,19,-4.77188101003297,0.126630751971138
"19","NR0 F Order1 - NR5 M Order1",-3.98666666666667,0.832061836995782,19,-4.79131056059585,0.121846676292125
