"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,8.63636363636364,4.65344447205997,11
"2","NR0",2,13.5833333333333,9.37558079009056,12
"3","NR1",1,9.18181818181818,4.66515126910547,11
"4","NR1",2,12.8333333333333,6.95221787153807,12
"5","NR2",1,8.18181818181818,3.45884899404937,11
"6","NR2",2,10.1666666666667,6.2060576467796,12
"7","NR3",1,9,4.31277173056957,11
"8","NR3",2,11.6666666666667,7.30296743340222,12
"9","NR4",1,9.81818181818182,4.16696968595121,11
"10","NR4",2,11.0833333333333,6.81520136877625,12
"11","NR5",1,10.1818181818182,4.30855385989735,11
"12","NR5",2,10.8333333333333,6.82020172100148,12
"13","NR6",1,10.7272727272727,4.75585763224487,11
"14","NR6",2,13.4166666666667,6.70763924510138,12
"15","PR0",1,4.54545454545455,2.423371055519,11
"16","PR0",2,3.25,2.30118546524493,12
"17","PR1",1,6.09090909090909,3.9611752158809,11
"18","PR1",2,1.83333333333333,1.74945879077104,12
"19","PR2",1,6.45454545454545,4.08322510679086,11
"20","PR2",2,3,1.59544807043493,12
"21","PR3",1,8,4.47213595499958,11
"22","PR3",2,2.75,1.81533868615599,12
"23","PR4",1,9.45454545454546,4.50252454437811,11
"24","PR4",2,5.25,3.62127551611809,12
"25","PR5",1,9.45454545454546,4.22761484441609,11
"26","PR5",2,6.83333333333333,4.44835686381823,12
"27","PR6",1,8.18181818181818,3.97034461522377,11
"28","PR6",2,8,5.78399044384977,12
