"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 Order1 - NR1 Order1",-0.545454545454548,1.21850322050722,21,-0.447643088893516,1
"2","NR0 Order1 - NR2 Order1",0.454545454545455,1.4529324570155,21,0.312846927158023,1
"3","NR0 Order1 - NR3 Order1",-0.363636363636362,1.17966559428432,21,-0.308253767337321,1
"4","NR0 Order1 - NR4 Order1",-1.18181818181818,1.75641848748746,21,-0.672856833515097,1
"5","NR0 Order1 - NR5 Order1",-1.54545454545454,2.36951898668413,21,-0.652222900149549,1
"6","NR0 Order1 - NR6 Order1",-2.09090909090909,2.12445639349468,21,-0.984208994504046,1
"7","NR0 Order1 - PR0 Order1",4.09090909090909,2.21718568695944,21,1.8450908802858,1
"8","NR0 Order1 - PR1 Order1",2.54545454545454,2.23023038889796,21,1.14134152154224,1
"9","NR0 Order1 - PR2 Order1",2.18181818181818,2.25875212676004,21,0.965939624790875,1
"10","NR0 Order1 - PR3 Order1",0.636363636363634,2.05151419235592,21,0.310192168659992,1
"11","NR0 Order1 - PR4 Order1",-0.818181818181818,1.98730062334454,21,-0.411705108210984,1
"12","NR0 Order1 - PR5 Order1",-0.818181818181819,1.82085841945693,21,-0.44933851497682,1
"13","NR0 Order1 - PR6 Order1",0.454545454545451,1.45590890281882,21,0.312207345985312,1
"14","NR0 Order1 - NR0 Order2",-4.9469696969697,3.13360669272935,21,-1.57868238807625,1
"15","NR0 Order1 - NR1 Order2",-4.1969696969697,2.84545907884205,21,-1.47497102600317,1
"16","NR0 Order1 - NR2 Order2",-1.53030303030303,2.69799500590797,21,-0.567200097462015,1
"17","NR0 Order1 - NR3 Order2",-3.03030303030303,2.86170407486125,21,-1.05891558002899,1
"18","NR0 Order1 - NR4 Order2",-2.4469696969697,2.79994516462737,21,-0.87393486411201,1
"19","NR0 Order1 - NR5 Order2",-2.1969696969697,2.80896567494433,21,-0.782127640991285,1
"20","NR0 Order1 - NR6 Order2",-4.78030303030303,2.82572372498478,21,-1.69170927364061,1
"21","NR0 Order1 - PR0 Order2",5.38636363636363,2.36376990687238,21,2.2787174084514,1
"22","NR0 Order1 - PR1 Order2",6.8030303030303,2.42476094743233,21,2.80564989725453,1
"23","NR0 Order1 - PR2 Order2",5.63636363636363,2.42815566195151,21,2.32125300889222,1
"24","NR0 Order1 - PR3 Order2",5.88636363636363,2.46185146707512,21,2.39103118733524,1
"25","NR0 Order1 - PR4 Order2",3.38636363636364,2.54953065981444,21,1.32823020712765,1
"26","NR0 Order1 - PR5 Order2",1.8030303030303,2.5877025464554,21,0.696768763280027,1
"27","NR0 Order1 - PR6 Order2",0.636363636363632,2.68497136517291,21,0.23700946856193,1
"28","NR1 Order1 - NR2 Order1",1,0.864566219253764,21,1.15664940143409,1
"29","NR1 Order1 - NR3 Order1",0.181818181818186,0.782113437989176,21,0.232470346354926,1
"30","NR1 Order1 - NR4 Order1",-0.636363636363637,1.05845483751264,21,-0.601219451043451,1
"31","NR1 Order1 - NR5 Order1",-0.999999999999997,1.6143297699233,21,-0.619452121017077,1
"32","NR1 Order1 - NR6 Order1",-1.54545454545454,1.5648242911942,21,-0.987621775908863,1
"33","NR1 Order1 - PR0 Order1",4.63636363636364,1.89720929845138,21,2.44378078905059,1
"34","NR1 Order1 - PR1 Order1",3.09090909090909,1.69402961139461,21,1.82458976520753,1
"35","NR1 Order1 - PR2 Order1",2.72727272727273,1.71301168277339,21,1.59209231011036,1
"36","NR1 Order1 - PR3 Order1",1.18181818181818,1.44233011079224,21,0.819381203356444,1
"37","NR1 Order1 - PR4 Order1",-0.27272727272727,1.27428527603204,21,-0.214023718124177,1
"38","NR1 Order1 - PR5 Order1",-0.272727272727271,1.43876723654671,21,-0.189556215765563,1
"39","NR1 Order1 - PR6 Order1",0.999999999999999,1.12366643743874,21,0.889943818451478,1
"40","NR1 Order1 - NR0 Order2",-4.40151515151515,2.81780310183237,21,-1.562037868669,1
"41","NR1 Order1 - NR1 Order2",-3.65151515151515,2.49342350701653,21,-1.4644584609232,1
"42","NR1 Order1 - NR2 Order2",-0.984848484848481,2.3237255577805,21,-0.423823063593257,1
"43","NR1 Order1 - NR3 Order2",-2.48484848484848,2.51194618335175,21,-0.989212468530231,1
"44","NR1 Order1 - NR4 Order2",-1.90151515151515,2.44135543108703,21,-0.778876818713974,1
"45","NR1 Order1 - NR5 Order2",-1.65151515151515,2.45169565382684,21,-0.673621601007984,1
"46","NR1 Order1 - NR6 Order2",-4.23484848484848,2.47087797875974,21,-1.71390433734578,1
"47","NR1 Order1 - PR0 Order2",5.93181818181818,1.92559902072405,21,3.08050540012622,1
"48","NR1 Order1 - PR1 Order2",7.34848484848485,1.99999726704085,21,3.6742474450265,0.430612853983367
"49","NR1 Order1 - PR2 Order2",6.18181818181818,2.00411160733257,21,3.08456782506541,1
"50","NR1 Order1 - PR3 Order2",6.43181818181818,2.04480709650516,21,3.14544007246991,1
"51","NR1 Order1 - PR4 Order2",3.93181818181818,2.14956507259302,21,1.82912265925276,1
"52","NR1 Order1 - PR5 Order2",2.34848484848485,2.19470450970278,21,1.07006881249946,1
"53","NR1 Order1 - PR6 Order2",1.18181818181818,2.30859148568483,21,0.511921744988851,1
"54","NR2 Order1 - NR3 Order1",-0.818181818181817,0.807530476382958,21,-1.01319001834651,1
"55","NR2 Order1 - NR4 Order1",-1.63636363636364,0.933879218559696,21,-1.75222191889801,1
"56","NR2 Order1 - NR5 Order1",-2,1.38430701663537,21,-1.44476620862697,1
