"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 F - PR X0 Order1 F",5.2,2.65164629431895,19,1.96104586465427,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X1 Order1 F",0.400000000000001,1.56507944980775,19,0.25557807947011,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X1 Order1 F",2,2.39333870888318,19,0.835652719181263,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X2 Order1 F",1.20000000000001,1.89866065443558,19,0.632024473249925,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X2 Order1 F",2.8,2.39363190240491,19,1.16977050530903,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X3 Order1 F",1.2,1.6123427435899,19,0.744258629110203,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X3 Order1 F",2.6,2.24905438218712,19,1.15604141037781,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X4 Order1 F",-0.800000000000001,2.466548124226,19,-0.324339911369473,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X4 Order1 F",1.4,2.4434660455569,19,0.572956600950402,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X5 Order1 F",-1.4,3.28638872886227,19,-0.425999513601261,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X5 Order1 F",1.8,2.1787651419691,19,0.826156048362889,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X6 Order1 F",-2.2,2.86748254403595,19,-0.767223502223494,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X6 Order1 F",3,1.70499781344718,19,1.75953304827681,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X0 Order2 F",2.96666666666667,3.4710077408214,19,0.854698948601197,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X0 Order2 F",7.13333333333333,2.7498431640551,19,2.59408733798987,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X1 Order2 F",0.800000000000001,3.40496713193984,19,0.2349508729455,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X1 Order2 F",7.63333333333333,2.82784814765553,19,2.6993434352767,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X2 Order2 F",2.96666666666667,3.1864937925655,19,0.931012849793803,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X2 Order2 F",6.3,2.86870592501402,19,2.1961121720656,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X3 Order2 F",2.80000000000001,3.3232654975568,19,0.842544780746079,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X3 Order2 F",7.63333333333333,2.92517805725851,19,2.60952775657265,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X4 Order2 F",2.13333333333333,3.3613210992352,19,0.63467109221393,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X4 Order2 F",6.3,3.03371888816312,19,2.07665912111408,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X5 Order2 F",0.966666666666669,3.49053859012084,19,0.276939114611881,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X5 Order2 F",5.13333333333334,3.06340406157014,19,1.67569580445821,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X6 Order2 F",-1.53333333333333,3.50854429086134,19,-0.437028353134143,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X6 Order2 F",4.96666666666667,3.1580584752872,19,1.57269623267979,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X0 Order1 M",2.13333333333334,3.4710077408214,19,0.614614974275019,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X0 Order1 M",5.3,2.7498431640551,19,1.92738264831957,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X1 Order1 M",0.800000000000003,3.40496713193984,19,0.2349508729455,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X1 Order1 M",5.13333333333333,2.82784814765553,19,1.81527899140878,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X2 Order1 M",1.96666666666667,3.1864937925655,19,0.617188293683533,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X2 Order1 M",3.8,2.86870592501402,19,1.32463908791259,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X3 Order1 M",0.466666666666673,3.3232654975568,19,0.140424130124348,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X3 Order1 M",1.13333333333333,2.92517805725851,19,0.387440802285895,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X4 Order1 M",0.633333333333334,3.3613210992352,19,0.188417980501011,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X4 Order1 M",-0.533333333333331,3.03371888816312,19,-0.175801830358863,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X5 Order1 M",0.46666666666667,3.49053859012084,19,0.133694744985046,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X5 Order1 M",-0.866666666666665,3.06340406157014,19,-0.282909681272165,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X6 Order1 M",0.133333333333337,3.50854429086134,19,0.0380024654899267,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X6 Order1 M",0.466666666666668,3.1580584752872,19,0.147770115822263,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X0 Order2 M",-10.5333333333333,3.4710077408214,19,-3.0346614354829,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X0 Order2 M",5.96666666666667,2.7498431640551,19,2.16982071729059,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X1 Order2 M",-6.86666666666667,3.40496713193984,19,-2.01666165944887,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X1 Order2 M",8.3,2.82784814765553,19,2.93509395364147,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X2 Order2 M",-3.69999999999999,3.1864937925655,19,-1.161150857608,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X2 Order2 M",7.3,2.86870592501402,19,2.54470140572681,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X3 Order2 M",-6.53333333333333,3.3232654975568,19,-1.96593782174084,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X3 Order2 M",6.46666666666667,2.92517805725851,19,2.21069163657246,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X4 Order2 M",-4.7,3.3613210992352,19,-1.39825975003382,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X4 Order2 M",2.8,3.03371888816312,19,0.922959609384036,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X5 Order2 M",-3.03333333333333,3.49053859012084,19,-0.869015842402795,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X5 Order2 M",0.800000000000004,3.06340406157014,19,0.261147398097385,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X6 Order2 M",-5.7,3.50854429086134,19,-1.62460539969432,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X6 Order2 M",-1.36666666666667,3.1580584752872,19,-0.432755339193768,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X1 Order1 F",-4.8,2.72313029370451,19,-1.76267731701891,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X1 Order1 F",-3.2,1.23316736673736,19,-2.5949437897196,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X2 Order1 F",-3.99999999999999,2.29759599765082,19,-1.74095010789095,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X2 Order1 F",-2.4,1.28500119462024,19,-1.86770254381692,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X3 Order1 F",-4,2.3966350679907,19,-1.66900670587013,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X3 Order1 F",-2.6,1.55946459548186,19,-1.66723887642773,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X4 Order1 F",-6,2.6211019512023,19,-2.28911355288863,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X4 Order1 F",-3.8,2.09586058194417,19,-1.8130976996929,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X5 Order1 F",-6.6,2.87066225014124,19,-2.29912104765208,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X5 Order1 F",-3.4,1.93816697631297,19,-1.75423482163952,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X6 Order1 F",-7.4,2.78473281341411,19,-2.65734650173764,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X6 Order1 F",-2.2,1.91338773686332,19,-1.14979309086956,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X0 Order2 F",-2.23333333333333,2.58154720369632,19,-0.865114273384423,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X0 Order2 F",1.93333333333333,1.47584845257593,19,1.30998093331258,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X1 Order2 F",-4.4,2.49204582575458,19,-1.76561761205483,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X1 Order2 F",2.43333333333333,1.6165445784973,19,1.50526831471317,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X2 Order2 F",-2.23333333333333,2.18408651800442,19,-1.02254801488995,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X2 Order2 F",1.1,1.6869987884645,19,0.652045518658146,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X3 Order2 F",-2.4,2.37919835140361,19,-1.00874313341051,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X3 Order2 F",2.43333333333333,1.78133598592092,19,1.36601592993438,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X4 Order2 F",-3.06666666666667,2.43207129012164,19,-1.26092795023015,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X4 Order2 F",1.1,1.95446706814616,19,0.562813269114516,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X5 Order2 F",-4.23333333333333,2.60774823884381,19,-1.62336734439144,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X5 Order2 F",-0.0666666666666638,2.00023390445083,19,-0.0333294353816922,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X6 Order2 F",-6.73333333333333,2.63180057546271,19,-2.55845119729466,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X6 Order2 F",-0.233333333333334,2.1423875843095,19,-0.108912754649172,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X0 Order1 M",-3.06666666666666,2.58154720369632,19,-1.18791810673682,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X0 Order1 M",0.1,1.47584845257593,19,0.0677576344816849,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X1 Order1 M",-4.4,2.49204582575458,19,-1.76561761205483,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X1 Order1 M",-0.0666666666666665,1.6165445784973,19,-0.0412402278003606,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X2 Order1 M",-3.23333333333333,2.18408651800442,19,-1.48040533498994,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X2 Order1 M",-1.4,1.6869987884645,19,-0.829876114655821,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X3 Order1 M",-4.73333333333333,2.37919835140361,19,-1.98946562422629,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X3 Order1 M",-4.06666666666667,1.78133598592092,19,-2.2829307322191,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X4 Order1 M",-4.56666666666667,2.43207129012164,19,-1.87768618675576,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - PR X4 Order1 M",-5.73333333333333,1.95446706814616,19,-2.93345097841505,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"PR X0 Order1 F - NR X5 Order1 M",-4.73333333333333,2.60774823884381,19,-1.81510364491012,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
