"phase","day","Order","Sex"
"NR","X0","1","F"
"PR","X0","1","F"
"NR","X1","1","F"
"PR","X1","1","F"
"NR","X2","1","F"
"PR","X2","1","F"
"NR","X3","1","F"
"PR","X3","1","F"
"NR","X4","1","F"
"PR","X4","1","F"
"NR","X5","1","F"
"PR","X5","1","F"
"NR","X6","1","F"
"PR","X6","1","F"
"NR","X0","2","F"
"PR","X0","2","F"
"NR","X1","2","F"
"PR","X1","2","F"
"NR","X2","2","F"
"PR","X2","2","F"
"NR","X3","2","F"
"PR","X3","2","F"
"NR","X4","2","F"
"PR","X4","2","F"
"NR","X5","2","F"
"PR","X5","2","F"
"NR","X6","2","F"
"PR","X6","2","F"
"NR","X0","1","M"
"PR","X0","1","M"
"NR","X1","1","M"
"PR","X1","1","M"
"NR","X2","1","M"
"PR","X2","1","M"
"NR","X3","1","M"
"PR","X3","1","M"
"NR","X4","1","M"
"PR","X4","1","M"
"NR","X5","1","M"
"PR","X5","1","M"
"NR","X6","1","M"
"PR","X6","1","M"
"NR","X0","2","M"
"PR","X0","2","M"
"NR","X1","2","M"
"PR","X1","2","M"
"NR","X2","2","M"
"PR","X2","2","M"
"NR","X3","2","M"
"PR","X3","2","M"
"NR","X4","2","M"
"PR","X4","2","M"
"NR","X5","2","M"
"PR","X5","2","M"
"NR","X6","2","M"
"PR","X6","2","M"
