"Effect","df","MSE","F","pes","p.value"
"Order","1, 19","167.43","0.03",".002",".861"
"Sex","1, 19","167.43","2.43",".113",".135"
"Order:Sex","1, 19","167.43","3.06 +",".139",".096"
"phase","1, 19","34.13","53.33 ***",".737","<.001"
"Order:phase","1, 19","34.13","17.77 ***",".483","<.001"
"Sex:phase","1, 19","34.13","1.83",".088",".192"
"Order:Sex:phase","1, 19","34.13","7.44 *",".281",".013"
"day","3.12, 59.22","15.57","7.29 ***",".277","<.001"
"Order:day","3.12, 59.22","15.57","2.27 +",".107",".088"
"Sex:day","3.12, 59.22","15.57","1.30",".064",".283"
"Order:Sex:day","3.12, 59.22","15.57","0.93",".047",".433"
"phase:day","2.46, 46.81","19.13","4.74 **",".200",".009"
"Order:phase:day","2.46, 46.81","19.13","1.61",".078",".205"
"Sex:phase:day","2.46, 46.81","19.13","5.03 **",".209",".007"
"Order:Sex:phase:day","2.46, 46.81","19.13","1.31",".064",".282"
