"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexM - PR0 Order1 SexM",3.16666666666666,2.42061081653912,19,1.30820974814705,1,"M"
"NR0 Order1 SexM - PR1 Order1 SexM",2.99999999999999,2.18480933100934,19,1.37311753360832,1,"M"
"NR0 Order1 SexM - PR2 Order1 SexM",1.66666666666666,2.18507697885195,19,0.762749634359488,1,"M"
"NR0 Order1 SexM - PR3 Order1 SexM",-1.00000000000001,2.05309636363288,19,-0.48706919836463,1,"M"
"NR0 Order1 SexM - PR4 Order1 SexM",-2.66666666666667,2.23056911941577,19,-1.19550954214103,1,"M"
"NR0 Order1 SexM - PR5 Order1 SexM",-3,1.98893135960404,19,-1.50834767902561,1,"M"
"NR0 Order1 SexM - PR6 Order1 SexM",-1.66666666666667,1.55644293820334,19,-1.07081771246337,1,"M"
"NR0 Order1 SexM - NR1 Order1 SexM",-1.33333333333334,1.42871553157913,19,-0.933239195530848,1,"M"
"NR0 Order1 SexM - NR2 Order1 SexM",-0.166666666666668,1.73323211580315,19,-0.0961594613595291,1,"M"
"NR0 Order1 SexM - NR3 Order1 SexM",-1.66666666666667,1.47186081848993,19,-1.13235344383758,1,"M"
"NR0 Order1 SexM - NR4 Order1 SexM",-1.50000000000001,2.25164007801773,19,-0.666181071586076,1,"M"
"NR0 Order1 SexM - NR5 Order1 SexM",-1.66666666666667,3.00004873254766,19,-0.555546531156288,1,"M"
"NR0 Order1 SexM - NR6 Order1 SexM",-2,2.61764145436798,19,-0.764046579665317,1,"M"
