"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexF - PR1 Order2 SexF",0.500000000000001,1.12572263990217,19,0.444159140339803,1,"F"
"PR0 Order2 SexF - PR2 Order2 SexF",-0.833333333333333,1.17304023452432,19,-0.710404731915492,1,"F"
"PR0 Order2 SexF - PR3 Order2 SexF",0.500000000000001,1.42358989429347,19,0.351224746680399,1,"F"
"PR0 Order2 SexF - PR4 Order2 SexF",-0.833333333333331,1.91325019686121,19,-0.435558995211634,1,"F"
"PR0 Order2 SexF - PR5 Order2 SexF",-2,1.76929628856366,19,-1.13039292114473,1,"F"
"PR0 Order2 SexF - PR6 Order2 SexF",-2.16666666666667,1.746676041223,19,-1.24045135762531,1,"F"
"PR0 Order2 SexF - NR0 Order2 SexF",-4.16666666666666,2.42061081653912,19,-1.72132861598296,0.710037436296785,"F"
"PR0 Order2 SexF - NR1 Order2 SexF",-6.33333333333333,2.48586648147938,19,-2.54773672702013,0.235837935013273,"F"
"PR0 Order2 SexF - NR2 Order2 SexF",-4.16666666666666,2.0974085932449,19,-1.98657842829776,0.554261372664701,"F"
"PR0 Order2 SexF - NR3 Order2 SexF",-4.33333333333333,2.18781848141073,19,-1.98066401310366,0.554261372664701,"F"
"PR0 Order2 SexF - NR4 Order2 SexF",-5,2.39272777365717,19,-2.08966521601316,0.503331770956117,"F"
"PR0 Order2 SexF - NR5 Order2 SexF",-6.16666666666666,2.62054411563482,19,-2.35320086003314,0.324893417091452,"F"
"PR0 Order2 SexF - NR6 Order2 SexF",-8.66666666666666,2.54210163088622,19,-3.40925262836377,0.0382490187503546,"F"
