"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexM - PR1 Order2 SexM",2.33333333333333,1.12572263990217,19,2.07274265491908,0.208170159897862,"M"
"PR0 Order2 SexM - PR2 Order2 SexM",1.33333333333333,1.17304023452432,19,1.13664757106479,0.539637752508951,"M"
"PR0 Order2 SexM - PR3 Order2 SexM",0.500000000000001,1.42358989429347,19,0.351224746680399,0.729284406882553,"M"
"PR0 Order2 SexM - PR4 Order2 SexM",-3.16666666666666,1.91325019686121,19,-1.65512418180421,0.342971597967206,"M"
"PR0 Order2 SexM - PR5 Order2 SexM",-5.16666666666666,1.76929628856366,19,-2.92018171295721,0.0439011494113919,"M"
"PR0 Order2 SexM - PR6 Order2 SexM",-7.33333333333333,1.746676041223,19,-4.19845074888565,0.00340924351427882,"M"
"PR0 Order2 SexM - NR0 Order2 SexM",-16.5,2.42061081653912,19,-6.81646131929252,2.15401733055036e-05,"M"
"PR0 Order2 SexM - NR1 Order2 SexM",-12.8333333333333,2.48586648147938,19,-5.1625191573829,0.000609093133423585,"M"
"PR0 Order2 SexM - NR2 Order2 SexM",-9.66666666666666,2.0974085932449,19,-4.6088619536508,0.00191582398432576,"M"
"PR0 Order2 SexM - NR3 Order2 SexM",-12.5,2.18781848141073,19,-5.71345388395287,0.000198968659578908,"M"
"PR0 Order2 SexM - NR4 Order2 SexM",-10.6666666666667,2.39272777365717,19,-4.45795246082807,0.00215794988539549,"M"
"PR0 Order2 SexM - NR5 Order2 SexM",-9,2.62054411563482,19,-3.43440125518351,0.0166765107326291,"M"
"PR0 Order2 SexM - NR6 Order2 SexM",-11.6666666666667,2.54210163088622,19,-4.58937853818199,0.00191582398432576,"M"
