"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,0.7883392898,0.215370348455631,5
"2","NR0","F",2,0.527274378,0.250873254500501,6
"3","NR0","M",1,0.560294727666667,0.176239119356206,6
"4","NR0","M",2,1.05196997383333,0.379698380717287,6
"5","NR1","F",1,0.6446223032,0.175875750997682,5
"6","NR1","F",2,0.636500259166667,0.227858892317546,6
"7","NR1","M",1,0.499723147166667,0.112227083597276,6
"8","NR1","M",2,0.848629585666667,0.210576135051874,6
"9","NR2","F",1,0.5162344622,0.154653067068028,5
"10","NR2","F",2,0.415004537,0.156871862851707,6
"11","NR2","M",1,0.425811643833333,0.0853022258489325,6
"12","NR2","M",2,0.668135452833333,0.248995470916439,6
"13","NR3","F",1,0.617031938,0.402677786203673,5
"14","NR3","F",2,0.690686386666667,0.611928728394121,6
"15","NR3","M",1,0.471853490833333,0.0782463732525929,6
"16","NR3","M",2,0.8523709155,0.247323789209485,6
"17","NR4","F",1,0.5494392662,0.160043021593343,5
"18","NR4","F",2,0.691680236333333,0.220186464019848,6
"19","NR4","M",1,0.461232636333333,0.221575116584733,6
"20","NR4","M",2,0.690271589,0.20822620905157,6
"21","NR5","F",1,0.649809035,0.379748542199659,5
"22","NR5","F",2,0.592964472666667,0.385496012101035,6
"23","NR5","M",1,0.432688701333333,0.141075700085884,6
"24","NR5","M",2,0.6239187065,0.148297639954322,6
"25","NR6","F",1,0.6677498128,0.232188504502214,5
"26","NR6","F",2,0.557215364,0.316582143007739,6
"27","NR6","M",1,0.641349811,0.355046630019621,6
"28","NR6","M",2,0.716477380833333,0.214743190265868,6
"29","PR0","F",1,0.514595246,0.135718870111704,5
"30","PR0","F",2,0.324993664166667,0.338696166267638,6
"31","PR0","M",1,0.400514401,0.176202384302367,6
"32","PR0","M",2,0.394365074666667,0.146909226728612,6
"33","PR1","F",1,0.4722675102,0.211600030721923,5
"34","PR1","F",2,0.387751179333333,0.273063080376437,6
"35","PR1","M",1,0.559333852166667,0.298320461766285,6
"36","PR1","M",2,0.316771478,0.445162184306001,6
"37","PR2","F",1,0.541929194,0.185629203606148,5
"38","PR2","F",2,0.361997065833333,0.169631063623539,6
"39","PR2","M",1,0.372719393333333,0.141278545524693,6
"40","PR2","M",2,0.315384995166667,0.189791968138718,6
"41","PR3","F",1,0.4851566602,0.326584196230947,5
"42","PR3","F",2,0.502512279166667,0.612516479833093,6
"43","PR3","M",1,0.491009054166667,0.194889880567056,6
"44","PR3","M",2,0.338320753166667,0.385758679310621,6
"45","PR4","F",1,0.4818473748,0.118105846220243,5
"46","PR4","F",2,0.355297891166667,0.187030584453853,6
"47","PR4","M",1,0.629972189,0.266849178642147,6
"48","PR4","M",2,0.3802137135,0.111884191784872,6
"49","PR5","F",1,0.5072514248,0.197785451868925,5
"50","PR5","F",2,0.362947800666667,0.19306467262645,6
"51","PR5","M",1,0.491015271166667,0.0965041356127112,6
"52","PR5","M",2,0.484144332833333,0.225621504481082,6
"53","PR6","F",1,0.4945673396,0.151130050853039,5
"54","PR6","F",2,0.622236957166667,0.450690928531799,6
"55","PR6","M",1,0.496527371166667,0.1033021594163,6
"56","PR6","M",2,0.595064902333333,0.157818302935537,6
