"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexF - PR0 Order1 SexF",0.2737440438,0.122452707506708,19,2.23550829845886,0.450998274819713,"F"
"NR0 Order1 SexF - PR1 Order1 SexF",0.3160717796,0.181212007761616,19,1.74420990917882,0.583675072937852,"F"
"NR0 Order1 SexF - PR2 Order1 SexF",0.2464100958,0.118437936550945,19,2.08049973661951,0.46735733272359,"F"
"NR0 Order1 SexF - PR3 Order1 SexF",0.3031826296,0.190935392018638,19,1.58788072967847,0.644078320450835,"F"
"NR0 Order1 SexF - PR4 Order1 SexF",0.306491915,0.153519115858211,19,1.99644137661055,0.47300335653105,"F"
"NR0 Order1 SexF - PR5 Order1 SexF",0.281087865,0.128513425761806,19,2.18722567960319,0.455768051887713,"F"
"NR0 Order1 SexF - PR6 Order1 SexF",0.2937719502,0.146331998101958,19,2.00757150869567,0.47300335653105,"F"
"NR0 Order1 SexF - NR1 Order1 SexF",0.1437169866,0.101351348515312,19,1.41800764079905,0.689527042340108,"F"
"NR0 Order1 SexF - NR2 Order1 SexF",0.2721048276,0.105471028688242,19,2.57990114426877,0.238613668923887,"F"
"NR0 Order1 SexF - NR3 Order1 SexF",0.1713073518,0.200324666747548,19,0.85514856747963,1,"F"
"NR0 Order1 SexF - NR4 Order1 SexF",0.2389000236,0.11231518642654,19,2.1270500561939,0.46735733272359,"F"
"NR0 Order1 SexF - NR5 Order1 SexF",0.1385302548,0.167497204604665,19,0.827060100059376,1,"F"
"NR0 Order1 SexF - NR6 Order1 SexF",0.120589477,0.161522930706062,19,0.746578064630632,1,"F"
