"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexM - PR1 Order2 SexM",0.0775935966666669,0.144064271520799,19,0.538604026158314,1,"M"
"PR0 Order2 SexM - PR2 Order2 SexM",0.0789800795000002,0.0832023479168271,19,0.949253013616303,1,"M"
"PR0 Order2 SexM - PR3 Order2 SexM",0.0560443215000001,0.162966908344549,19,0.343900010556191,1,"M"
"PR0 Order2 SexM - PR4 Order2 SexM",0.0141513611666668,0.0989150484160797,19,0.143065806399245,1,"M"
"PR0 Order2 SexM - PR5 Order2 SexM",-0.0897792581666666,0.121767094470689,19,-0.737303115894562,1,"M"
"PR0 Order2 SexM - PR6 Order2 SexM",-0.200699827666667,0.11884965496045,19,-1.6886866666416,0.753371857963605,"M"
"PR0 Order2 SexM - NR0 Order2 SexM",-0.657604899166667,0.111783516881677,19,-5.88284317322691,0.000149816804575177,"M"
"PR0 Order2 SexM - NR1 Order2 SexM",-0.454264511,0.107950888047057,19,-4.20806645705389,0.00571761243333943,"M"
"PR0 Order2 SexM - NR2 Order2 SexM",-0.273770378166666,0.108293410337015,19,-2.52804281733005,0.204903037532683,"M"
"PR0 Order2 SexM - NR3 Order2 SexM",-0.458005840833333,0.200475763072364,19,-2.28459457549495,0.306073772297318,"M"
"PR0 Order2 SexM - NR4 Order2 SexM",-0.295906514333333,0.0799885486957988,19,-3.69936096051302,0.0167415536480934,"M"
"PR0 Order2 SexM - NR5 Order2 SexM",-0.229553631833333,0.16290179179845,19,-1.4091535108303,1,"M"
"PR0 Order2 SexM - NR6 Order2 SexM",-0.322112306166667,0.154872323662405,19,-2.0798571271444,0.410540875442054,"M"
