"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,7.52,0.58854715622628,5
"2","NR0","F",2,7.65873015873016,2.15849671940439,6
"3","NR0","M",1,7.7544733044733,0.854420812967667,6
"4","NR0","M",2,8.01554674900263,0.396905485277894,6
"5","NR1","F",1,7.58095238095238,1.43753142527023,5
"6","NR1","F",2,7.15256734006734,0.720384403512645,6
"7","NR1","M",1,7.0972175972176,0.849883692036832,6
"8","NR1","M",2,7.67414529918376,0.80644518883729,6
"9","NR2","F",1,7.06536796536797,0.901007207896181,5
"10","NR2","F",2,6.89615384615385,0.520809565532639,6
"11","NR2","M",1,7.14914021164021,0.394310316746002,6
"12","NR2","M",2,7.34169000933707,0.538926268625342,6
"13","NR3","F",1,7.54545454545455,0.916830132626891,5
"14","NR3","F",2,6.75992063492063,0.783272420075799,6
"15","NR3","M",1,7.48452380952381,0.723204242532657,6
"16","NR3","M",2,7.31111111111111,0.474097583329127,6
"17","NR4","F",1,7.47284950343774,0.826809030449926,5
"18","NR4","F",2,7.22595704948646,0.997845314451434,6
"19","NR4","M",1,6.87619047619048,0.569251806363071,6
"20","NR4","M",2,7.15480815480815,0.672432348871747,6
"21","NR5","F",1,7.23944444444444,0.467560321585341,5
"22","NR5","F",2,7.04837819185645,0.891872615094849,6
"23","NR5","M",1,8.27604617604618,0.838036278679346,6
"24","NR5","M",2,7.88783068783069,0.416202058931806,6
"25","NR6","F",1,7.83333333333333,0.288675134594813,5
"26","NR6","F",2,7.11851851851852,0.433570685234427,6
"27","NR6","M",1,7.44814814814815,0.969909418366164,6
"28","NR6","M",2,7.38277759821877,0.559696302614323,6
"29","PR0","F",1,6.70666666666667,0.662235272056356,5
"30","PR0","F",2,5.41666666666667,4.37797517885457,6
"31","PR0","M",1,7.35714285714286,0.864386062651477,6
"32","PR0","M",2,7.22222222222222,0.867093911783407,6
"33","PR1","F",1,7.17571428571429,0.892879999707436,5
"34","PR1","F",2,5.5,2.94957624075052,6
"35","PR1","M",1,8.13611111111111,0.905463908944252,6
"36","PR1","M",2,4.77777777777778,3.83357487161739,6
"37","PR2","F",1,7.21,0.587792480387424,5
"38","PR2","F",2,6.58333333333333,0.712974987873581,6
"39","PR2","M",1,8.2,1.99655954081014,6
"40","PR2","M",2,5.41666666666667,2.6744677559802,6
"41","PR3","F",1,5.70879120879121,3.32916708197818,5
"42","PR3","F",2,6.40277777777778,3.71125041322054,6
"43","PR3","M",1,7.42493386243386,0.554156993400799,6
"44","PR3","M",2,5.86111111111111,2.9522433403669,6
"45","PR4","F",1,7.15,0.997496867163,5
"46","PR4","F",2,6.97222222222222,1.18517071750429,6
"47","PR4","M",1,7.22394781144781,0.516768615016273,6
"48","PR4","M",2,7.2127849002849,0.823258298667723,6
"49","PR5","F",1,7.09666666664444,0.690964614657707,5
"50","PR5","F",2,7.45833333333333,0.88680136821425,6
"51","PR5","M",1,7.40962000962001,0.514125895803012,6
"52","PR5","M",2,6.89583333333333,0.594459371567515,6
"53","PR6","F",1,6.68166666666667,0.543343558185999,5
"54","PR6","F",2,5.57043650793651,2.80748618772301,6
"55","PR6","M",1,7.6612012987013,0.701116611461505,6
"56","PR6","M",2,7.09332788671024,0.61187249777161,6
