"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexM - PR0 Order1 SexM",0.397330447330446,1.32591573728984,19,0.299664930550252,1,"M"
"NR0 Order1 SexM - PR1 Order1 SexM",-0.381637806637809,1.14433176242365,19,-0.333502764818409,1,"M"
"NR0 Order1 SexM - PR2 Order1 SexM",-0.445526695526697,0.83336102372891,19,-0.534614270215289,1,"M"
"NR0 Order1 SexM - PR3 Order1 SexM",0.329539442039441,1.24788375526281,19,0.264078637653263,1,"M"
"NR0 Order1 SexM - PR4 Order1 SexM",0.530525493025497,0.675307108575003,19,0.785606261638477,1,"M"
"NR0 Order1 SexM - PR5 Order1 SexM",0.344853294853294,0.647551931625052,19,0.53254924896583,1,"M"
"NR0 Order1 SexM - PR6 Order1 SexM",0.0932720057720042,0.642900251499581,19,0.145080057994136,1,"M"
"NR0 Order1 SexM - NR1 Order1 SexM",0.657255707255703,0.594315053345732,19,1.10590452581614,1,"M"
"NR0 Order1 SexM - NR2 Order1 SexM",0.605333092833093,0.49635641298617,19,1.21955328267303,1,"M"
"NR0 Order1 SexM - NR3 Order1 SexM",0.269949494949493,0.462576568665669,19,0.583577970082185,1,"M"
"NR0 Order1 SexM - NR4 Order1 SexM",0.878282828282827,0.605395890588126,19,1.45075782960733,1,"M"
"NR0 Order1 SexM - NR5 Order1 SexM",-0.521572871572875,0.558121240777772,19,-0.934515358788415,1,"M"
"NR0 Order1 SexM - NR6 Order1 SexM",0.306325156325156,0.531416896538264,19,0.576430968455478,1,"M"
