"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexF - PR1 Order2 SexF",-0.0833333333333329,1.54621239599686,19,-0.0538951398585876,1,"F"
"PR0 Order2 SexF - PR2 Order2 SexF",-1.16666666666667,1.17993720669294,19,-0.98875318114303,1,"F"
"PR0 Order2 SexF - PR3 Order2 SexF",-0.98611111111111,1.49408847596558,19,-0.660008511526616,1,"F"
"PR0 Order2 SexF - PR4 Order2 SexF",-1.55555555555555,0.961598828966387,19,-1.61767621662726,1,"F"
"PR0 Order2 SexF - PR5 Order2 SexF",-2.04166666666667,0.885651935047936,19,-2.30526980845603,0.423780358690862,"F"
"PR0 Order2 SexF - PR6 Order2 SexF",-0.153769841269841,1.25563272445539,19,-0.122464028115017,1,"F"
"PR0 Order2 SexF - NR0 Order2 SexF",-2.24206349206349,1.32591573728984,19,-1.69095473340278,1,"F"
"PR0 Order2 SexF - NR1 Order2 SexF",-1.73590067340068,1.12993538766235,19,-1.53628312942032,1,"F"
"PR0 Order2 SexF - NR2 Order2 SexF",-1.47948717948718,1.05457313162925,19,-1.40292516006117,1,"F"
"PR0 Order2 SexF - NR3 Order2 SexF",-1.34325396825397,1.10913189976883,19,-1.21108586682426,1,"F"
"PR0 Order2 SexF - NR4 Order2 SexF",-1.80929038281979,1.01700217766563,19,-1.77904278137608,1,"F"
"PR0 Order2 SexF - NR5 Order2 SexF",-1.63171152518979,1.06458649741914,19,-1.5327185993299,1,"F"
"PR0 Order2 SexF - NR6 Order2 SexF",-1.70185185185185,1.05172988621367,19,-1.61814537569021,1,"F"
