mouse_id,sex,order,grain_meal_size,grain_snack_size,grain_number_of_meals,grain_meal_frequency,grain_number_of_snacks,grain_snack_frequency,grain_hourly_meals,grain_mega_meal_count,grain_average_mega_meal_size,pr_meal_size,pr_snack_size,pr_number_of_meals,pr_meal_frequency,pr_number_of_snacks,pr_snack_frequency,pr_hourly_meals,pr_mega_meal_count,pr_average_mega_meal_size,nr_meal_size,nr_snack_size,nr_number_of_meals,nr_meal_frequency,nr_number_of_snacks,nr_snack_frequency,nr_hourly_meals,nr_mega_meal_count,nr_average_mega_meal_size,grain_meals_per_day,pr_meals_per_day,nr_meals_per_day,grain_snacks_per_day,pr_snacks_per_day,nr_snacks_per_day,grain_mega_meals_per_day,pr_mega_meals_per_day,nr_mega_meals_per_day,all_pellets_per_day,all_meals_per_day,all_snacks_per_day,all_mega_meals_per_day
FEDXA01,M,2,2.870967741935484,1,93,1.3333067840146553,75,1.0752474064634316,"[8.0, 1.0, 6.0, 10.0, 3.0, 4.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 7.0, 6.0, 11.0, 4.0, 8.0, 8.0, 5.0, 0.0, 1.0, 4.0, 2.0]",65,7.6923076923076925,2.6473684210526316,1,190,1.1275592628004352,257,1.5251722659984834,"[7.0, 14.0, 6.0, 2.0, 4.0, 6.0, 1.0, 2.0, 0.0, 3.0, 4.0, 3.0, 9.0, 12.0, 13.0, 12.0, 17.0, 16.0, 16.0, 3.0, 9.0, 7.0, 11.0, 13.0]",98,6.367346939,3.090909090909091,1,88,0.5276473556839512,104,0.6235832385355786,"[5.0, 2.0, 6.0, 4.0, 4.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.0, 3.0, 2.0, 12.0, 13.0, 5.0, 5.0, 6.0, 5.0, 2.0, 4.0, 2.0, 1.0, 1.0]",169,7.278106509,"[43, 25, 23]","[35, 28, 31, 24, 24, 31, 14]","[9, 18, 18, 15, 13, 9, 6]","[30, 18, 25]","[32, 44, 52, 62, 28, 25, 13]","[13, 14, 14, 19, 18, 12, 13]","[25, 22, 18]","[6, 7, 8, 9, 19, 19, 28]","[27, 24, 23, 22, 25, 22, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[43, 25, 23, 35, 28, 31, 24, 24, 31, 14, 9, 18, 18, 15, 13, 9, 6]","[30, 18, 25, 32, 44, 52, 62, 28, 25, 13, 13, 14, 14, 19, 18, 12, 13]","[25, 22, 18, 6, 7, 8, 9, 19, 19, 28, 27, 24, 23, 22, 25, 22, 25]"
FEDXA02,M,2,3.019607843137255,1,102,1.4367152744900875,58,0.8169557443178929,"[5.0, 0.0, 2.0, 9.0, 4.0, 4.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 5.0, 11.0, 7.0, 8.0, 10.0, 7.0, 4.0, 4.0, 4.0, 3.0, 6.0, 3.0]",56,6.357142857142857,2.795221843003413,1,293,1.7483259298548033,154,0.918915335,"[10.0, 21.0, 11.0, 6.0, 5.0, 5.0, 0.0, 4.0, 0.0, 8.0, 5.0, 6.0, 17.0, 32.0, 26.0, 17.0, 27.0, 17.0, 10.0, 14.0, 9.0, 12.0, 12.0, 19.0]",72,5.736111111111111,3.0347222222222223,1,144,0.8692954581659946,99,0.5976406274891213,"[11.0, 3.0, 7.0, 8.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 9.0, 18.0, 16.0, 12.0, 6.0, 10.0, 6.0, 7.0, 4.0, 3.0, 3.0, 10.0]",125,6.248,"[41, 39, 22]","[36, 39, 54, 47, 45, 37, 34]","[13, 17, 32, 27, 23, 15, 12]","[29, 20, 9]","[10, 24, 32, 32, 22, 16, 17]","[13, 16, 16, 13, 16, 12, 12]","[25, 11, 18]","[8, 4, 6, 9, 9, 17, 16]","[26, 16, 12, 15, 16, 20, 20]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[41, 39, 22, 36, 39, 54, 47, 45, 37, 34, 13, 17, 32, 27, 23, 15, 12]","[29, 20, 9, 10, 24, 32, 32, 22, 16, 17, 13, 16, 16, 13, 16, 12, 12]","[25, 11, 18, 8, 4, 6, 9, 9, 17, 16, 26, 16, 12, 15, 16, 20, 20]"
FEDXA03,M,2,2.8956521739130436,1,115,1.6153260890770405,66,0.9270567119920405,"[5.0, 3.0, 4.0, 7.0, 1.0, 1.0, 5.0, 0.0, 3.0, 1.0, 1.0, 2.0, 2.0, 10.0, 11.0, 8.0, 10.0, 13.0, 10.0, 5.0, 4.0, 3.0, 2.0, 4.0]",48,6.5,2.824104234527687,1,307,1.8227036440879225,211,1.2527376837216666,"[17.0, 11.0, 16.0, 7.0, 9.0, 4.0, 3.0, 4.0, 3.0, 3.0, 5.0, 6.0, 15.0, 31.0, 28.0, 24.0, 25.0, 26.0, 24.0, 14.0, 10.0, 9.0, 2.0, 11.0]",93,6.043010752688172,3.3423423423423424,1,111,0.6672020757397911,74,0.4448013838265274,"[3.0, 0.0, 9.0, 9.0, 6.0, 2.0, 1.0, 0.0, 0.0, 1.0, 3.0, 1.0, 6.0, 29.0, 10.0, 13.0, 6.0, 5.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0]",216,7.1342592592592595,"[51, 32, 29]","[38, 32, 43, 47, 50, 49, 46]","[19, 14, 17, 14, 14, 19, 14]","[38, 13, 15]","[18, 42, 43, 29, 25, 26, 27]","[7, 10, 15, 12, 12, 7, 11]","[11, 19, 17]","[5, 4, 3, 14, 19, 20, 24]","[37, 39, 30, 31, 30, 23, 24]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[51, 32, 29, 38, 32, 43, 47, 50, 49, 46, 19, 14, 17, 14, 14, 19, 14]","[38, 13, 15, 18, 42, 43, 29, 25, 26, 27, 7, 10, 15, 12, 12, 7, 11]","[11, 19, 17, 5, 4, 3, 14, 19, 20, 24, 37, 39, 30, 31, 30, 23, 24]"
FEDXA04,M,2,2.811023622047244,1,127,1.7924350771546855,96,1.3549115543846442,"[4.0, 4.0, 4.0, 6.0, 7.0, 3.0, 1.0, 0.0, 3.0, 3.0, 4.0, 2.0, 6.0, 12.0, 13.0, 11.0, 15.0, 6.0, 6.0, 6.0, 4.0, 1.0, 2.0, 4.0]",45,7.155555555555556,2.899193548387097,1,248,1.4769988204523308,201,1.1970837214149939,"[13.0, 8.0, 2.0, 9.0, 3.0, 6.0, 1.0, 4.0, 1.0, 6.0, 3.0, 9.0, 14.0, 17.0, 23.0, 25.0, 13.0, 19.0, 19.0, 17.0, 6.0, 9.0, 8.0, 13.0]",91,6.362637362637362,3.1511627906976742,1,86,0.5157412697963188,77,0.4617683462129832,"[2.0, 1.0, 5.0, 8.0, 3.0, 4.0, 1.0, 3.0, 0.0, 4.0, 1.0, 2.0, 5.0, 15.0, 7.0, 4.0, 4.0, 2.0, 4.0, 3.0, 3.0, 0.0, 1.0, 4.0]",190,7.168421052631579,"[56, 43, 26]","[29, 33, 37, 44, 37, 37, 30]","[14, 14, 13, 5, 10, 23, 7]","[57, 22, 17]","[27, 39, 35, 27, 36, 18, 18]","[15, 17, 10, 9, 10, 9, 6]","[13, 15, 16]","[8, 4, 5, 5, 16, 22, 29]","[33, 26, 28, 25, 29, 21, 27]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[56, 43, 26, 29, 33, 37, 44, 37, 37, 30, 14, 14, 13, 5, 10, 23, 7]","[57, 22, 17, 27, 39, 35, 27, 36, 18, 18, 15, 17, 10, 9, 10, 9, 6]","[13, 15, 16, 8, 4, 5, 5, 16, 22, 29, 33, 26, 28, 25, 29, 21, 27]"
FEDXA05,M,2,2.861111111111111,1,36,0.5180456567707687,27,0.3885342425780765,"[1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 7.0, 4.0, 5.0, 1.0, 0.0, 1.0, 4.0, 1.0, 1.0, 0.0, 1.0, 1.0]",67,8.731343284,2.7944444444444443,1,360,2.1491289891963152,196,1.1700813385624382,"[15.0, 14.0, 15.0, 4.0, 5.0, 7.0, 2.0, 2.0, 1.0, 7.0, 7.0, 4.0, 18.0, 25.0, 31.0, 30.0, 44.0, 24.0, 37.0, 27.0, 14.0, 12.0, 7.0, 8.0]",57,6.175438596491228,3.1857142857142855,1,210,1.2612402195492234,89,0.5345256168565756,"[13.0, 5.0, 12.0, 6.0, 1.0, 4.0, 0.0, 0.0, 2.0, 0.0, 4.0, 7.0, 16.0, 32.0, 27.0, 15.0, 14.0, 14.0, 11.0, 2.0, 8.0, 3.0, 4.0, 10.0]",154,6.558441558441558,"[21, 8, 7]","[35, 47, 52, 53, 47, 60, 60]","[38, 27, 22, 30, 31, 33, 26]","[13, 6, 8]","[14, 25, 26, 30, 37, 37, 26]","[13, 25, 10, 13, 13, 5, 8]","[19, 23, 23]","[6, 1, 6, 6, 12, 9, 15]","[18, 26, 28, 24, 20, 18, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[21, 8, 7, 35, 47, 52, 53, 47, 60, 60, 38, 27, 22, 30, 31, 33, 26]","[13, 6, 8, 14, 25, 26, 30, 37, 37, 26, 13, 25, 10, 13, 13, 5, 8]","[19, 23, 23, 6, 1, 6, 6, 12, 9, 15, 18, 26, 28, 24, 20, 18, 18]"
FEDXA06,M,2,2.7162162162162162,1,74,1.5575941484976583,43,0.9050884916945853,"[4.0, 1.0, 3.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 13.0, 9.0, 4.0, 6.0, 5.0, 9.0, 0.0, 0.0, 4.0, 3.0, 6.0]",39,8.205128205128204,2.5538461538461537,1,390,2.3217088041380656,302,1.7978360483325533,"[12.0, 8.0, 7.0, 13.0, 14.0, 5.0, 4.0, 5.0, 4.0, 0.0, 5.0, 5.0, 12.0, 37.0, 35.0, 34.0, 25.0, 34.0, 30.0, 18.0, 13.0, 23.0, 24.0, 23.0]",32,6,2.9473684210526314,1,228,1.3692460138726241,107,0.6425847521244333,"[11.0, 4.0, 9.0, 9.0, 10.0, 5.0, 0.0, 3.0, 6.0, 3.0, 1.0, 3.0, 12.0, 34.0, 9.0, 21.0, 13.0, 17.0, 20.0, 4.0, 6.0, 11.0, 6.0, 11.0]",100,6.24,"[44, 28, 2]","[54, 49, 67, 50, 57, 45, 64]","[36, 38, 33, 33, 25, 28, 33]","[23, 19, 1]","[27, 34, 39, 51, 66, 45, 35]","[23, 16, 10, 15, 13, 11, 17]","[10, 29, 0]","[7, 4, 0, 5, 1, 8, 7]","[15, 12, 14, 15, 18, 11, 13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[44, 28, 2, 54, 49, 67, 50, 57, 45, 64, 36, 38, 33, 33, 25, 28, 33]","[23, 19, 1, 27, 34, 39, 51, 66, 45, 35, 23, 16, 10, 15, 13, 11, 17]","[10, 29, 0, 7, 4, 0, 5, 1, 8, 7, 15, 12, 14, 15, 18, 11, 13]"
FEDXA07,M,1,2.877551020408163,1,49,0.6951861120416166,44,0.6242487536700231,"[4.0, 1.0, 4.0, 3.0, 5.0, 1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.0, 3.0, 0.0, 3.0, 2.0, 8.0, 1.0, 4.0, 0.0, 0.0, 4.0]",77,7.558441558441558,3.042452830188679,1,212,1.275484197666626,61,0.3670025285738877,"[3.0, 3.0, 8.0, 8.0, 9.0, 4.0, 4.0, 3.0, 3.0, 1.0, 3.0, 4.0, 8.0, 21.0, 21.0, 25.0, 16.0, 19.0, 20.0, 6.0, 4.0, 7.0, 5.0, 7.0]",93,6.150537634408602,3.2465753424657535,1,146,0.8687387916002084,45,0.2677619563151327,"[6.0, 12.0, 5.0, 4.0, 5.0, 2.0, 4.0, 3.0, 2.0, 2.0, 1.0, 1.0, 10.0, 11.0, 13.0, 9.0, 5.0, 6.0, 12.0, 11.0, 5.0, 2.0, 4.0, 11.0]",128,6.21875,"[24, 14, 10]","[29, 41, 33, 31, 26, 27, 25]","[13, 19, 26, 16, 23, 23, 21]","[29, 11, 4]","[4, 5, 17, 10, 11, 7, 6]","[7, 5, 8, 4, 7, 9, 3]","[26, 29, 20]","[8, 7, 10, 12, 17, 17, 19]","[20, 19, 14, 16, 18, 19, 20]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[24, 14, 10, 29, 41, 33, 31, 26, 27, 25, 13, 19, 26, 16, 23, 23, 21]","[29, 11, 4, 4, 5, 17, 10, 11, 7, 6, 7, 5, 8, 4, 7, 9, 3]","[26, 29, 20, 8, 7, 10, 12, 17, 17, 19, 20, 19, 14, 16, 18, 19, 20]"
FEDXA08,M,1,2.918032786885246,1,61,0.8689596226594279,38,0.5413191091976765,"[1.0, 0.0, 2.0, 11.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 3.0, 9.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 0.0, 2.0, 3.0]",75,7.44,2.975,1,120,0.7215983403238172,84,0.505118838,"[8.0, 5.0, 9.0, 7.0, 4.0, 5.0, 3.0, 3.0, 2.0, 2.0, 1.0, 3.0, 2.0, 13.0, 8.0, 6.0, 8.0, 5.0, 6.0, 3.0, 3.0, 1.0, 6.0, 7.0]",93,6.967741935483871,2.971590909090909,1,176,1.0480488030806283,86,0.5121147560507616,"[9.0, 11.0, 7.0, 6.0, 6.0, 4.0, 1.0, 4.0, 1.0, 2.0, 1.0, 0.0, 3.0, 11.0, 21.0, 11.0, 14.0, 9.0, 16.0, 4.0, 6.0, 10.0, 6.0, 13.0]",95,7.221052631578948,"[26, 16, 19]","[13, 21, 25, 9, 21, 15, 12]","[34, 36, 36, 25, 16, 11, 16]","[16, 4, 18]","[10, 9, 11, 16, 10, 14, 11]","[13, 18, 20, 6, 8, 10, 10]","[27, 24, 22]","[12, 12, 10, 16, 15, 11, 16]","[8, 13, 14, 13, 14, 17, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[26, 16, 19, 13, 21, 25, 9, 21, 15, 12, 34, 36, 36, 25, 16, 11, 16]","[16, 4, 18, 10, 9, 11, 16, 10, 14, 11, 13, 18, 20, 6, 8, 10, 10]","[27, 24, 22, 12, 12, 10, 16, 15, 11, 16, 8, 13, 14, 13, 14, 17, 15]"
FEDXA09,M,1,2.7217391304347824,1,115,1.6118545281821475,59,0.8269514535891017,"[4.0, 4.0, 2.0, 9.0, 7.0, 2.0, 0.0, 2.0, 2.0, 3.0, 2.0, 1.0, 3.0, 7.0, 11.0, 8.0, 5.0, 6.0, 14.0, 1.0, 9.0, 2.0, 3.0, 8.0]",55,6.054545454545455,2.882758620689655,1,290,1.7433996292770904,118,0.7093832974299885,"[12.0, 9.0, 9.0, 9.0, 5.0, 2.0, 3.0, 3.0, 2.0, 2.0, 3.0, 5.0, 9.0, 31.0, 32.0, 27.0, 30.0, 18.0, 25.0, 11.0, 11.0, 8.0, 10.0, 14.0]",78,6.269230769230769,3.146198830409357,1,171,1.0232015437777677,62,0.3709853550539275,"[8.0, 8.0, 8.0, 3.0, 4.0, 1.0, 1.0, 3.0, 0.0, 4.0, 1.0, 1.0, 6.0, 16.0, 14.0, 9.0, 12.0, 10.0, 9.0, 12.0, 6.0, 14.0, 3.0, 18.0]",117,6.222222222222222,"[59, 36, 18]","[35, 46, 49, 44, 46, 37, 30]","[25, 25, 24, 25, 25, 13, 29]","[36, 10, 13]","[6, 17, 19, 24, 20, 18, 11]","[9, 5, 3, 8, 12, 5, 18]","[18, 15, 19]","[8, 7, 8, 9, 14, 20, 11]","[13, 15, 16, 17, 19, 18, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[59, 36, 18, 35, 46, 49, 44, 46, 37, 30, 25, 25, 24, 25, 25, 13, 29]","[36, 10, 13, 6, 17, 19, 24, 20, 18, 11, 9, 5, 3, 8, 12, 5, 18]","[18, 15, 19, 8, 7, 8, 9, 14, 20, 11, 13, 15, 16, 17, 19, 18, 18]"
FEDXA10,M,1,2.95,1,60,1.0177349742739215,27,0.45798073842326464,"[1.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 5.0, 10.0, 1.0, 1.0, 5.0, 7.0, 2.0, 6.0, 5.0, 4.0, 4.0]",70,7.014285714285714,3.091891891891892,1,185,1.1114448783418445,83,0.4986482427155302,"[5.0, 8.0, 7.0, 11.0, 6.0, 6.0, 1.0, 1.0, 0.0, 3.0, 3.0, 5.0, 8.0, 24.0, 22.0, 12.0, 19.0, 9.0, 11.0, 8.0, 5.0, 4.0, 2.0, 5.0]",98,6.510204081632653,3.1292134831460676,1,178,1.0581870784921164,68,0.4042512434688984,"[8.0, 7.0, 7.0, 9.0, 2.0, 0.0, 0.0, 2.0, 5.0, 3.0, 2.0, 2.0, 10.0, 17.0, 11.0, 17.0, 6.0, 15.0, 16.0, 10.0, 11.0, 7.0, 1.0, 10.0]",129,6.124031007751938,"[29, 14, 17]","[28, 27, 26, 25, 22, 26, 29]","[24, 26, 36, 22, 17, 31, 17]","[15, 7, 5]","[9, 6, 10, 17, 16, 11, 9]","[23, 2, 9, 12, 6, 7, 8]","[17, 29, 22]","[8, 11, 16, 15, 16, 14, 17]","[13, 19, 17, 20, 23, 16, 20]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[29, 14, 17, 28, 27, 26, 25, 22, 26, 29, 24, 26, 36, 22, 17, 31, 17]","[15, 7, 5, 9, 6, 10, 17, 16, 11, 9, 23, 2, 9, 12, 6, 7, 8]","[17, 29, 22, 8, 11, 16, 15, 16, 14, 17, 13, 19, 17, 20, 23, 16, 20]"
FEDXA11,M,1,2.950617283950617,1,81,1.1423467468973298,59,0.8320797292215119,"[1.0, 0.0, 3.0, 10.0, 2.0, 1.0, 6.0, 0.0, 1.0, 1.0, 0.0, 3.0, 2.0, 9.0, 12.0, 7.0, 5.0, 4.0, 9.0, 1.0, 1.0, 2.0, 1.0, 0.0]",65,7.7384615384615385,2.6719367588932808,1,253,1.5227357080520418,249,1.498660835197464,"[10.0, 13.0, 7.0, 12.0, 9.0, 2.0, 2.0, 10.0, 1.0, 6.0, 11.0, 3.0, 12.0, 28.0, 28.0, 26.0, 21.0, 11.0, 9.0, 6.0, 8.0, 6.0, 5.0, 7.0]",71,6.732394366197183,2.7927461139896375,1,193,1.1446420275386244,163,0.966718396,"[17.0, 8.0, 5.0, 8.0, 1.0, 3.0, 1.0, 1.0, 2.0, 4.0, 3.0, 6.0, 10.0, 15.0, 22.0, 23.0, 26.0, 8.0, 10.0, 6.0, 2.0, 3.0, 3.0, 6.0]",102,6.578431372549019,"[42, 27, 12]","[23, 11, 38, 45, 39, 51, 43]","[20, 26, 31, 33, 33, 23, 24]","[33, 17, 8]","[26, 25, 35, 37, 46, 38, 37]","[8, 19, 18, 29, 29, 29, 28]","[21, 19, 22]","[9, 4, 7, 13, 14, 12, 11]","[19, 12, 14, 12, 13, 15, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[42, 27, 12, 23, 11, 38, 45, 39, 51, 43, 20, 26, 31, 33, 33, 23, 24]","[33, 17, 8, 26, 25, 35, 37, 46, 38, 37, 8, 19, 18, 29, 29, 29, 28]","[21, 19, 22, 9, 4, 7, 13, 14, 12, 11, 19, 12, 14, 12, 13, 15, 14]"
