Mouse ID,Sex,Order,Phase,Hour,Meals,Snacks,Mega Meals
FEDXA01,M,2.0,Grain,0,0,0,0
FEDXA01,M,2.0,Grain,1,0,0,0
FEDXA01,M,2.0,Grain,2,1,1,1
FEDXA01,M,2.0,Grain,3,9,3,1
FEDXA01,M,2.0,Grain,4,3,0,0
FEDXA01,M,2.0,Grain,5,3,0,1
FEDXA01,M,2.0,Grain,6,0,0,1
FEDXA01,M,2.0,Grain,7,0,0,2
FEDXA01,M,2.0,Grain,8,0,0,0
FEDXA01,M,2.0,Grain,9,1,0,1
FEDXA01,M,2.0,Grain,10,1,0,1
FEDXA01,M,2.0,Grain,11,0,2,2
FEDXA01,M,2.0,Grain,12,0,0,2
FEDXA01,M,2.0,Grain,13,4,2,0
FEDXA01,M,2.0,Grain,14,2,4,1
FEDXA01,M,2.0,Grain,15,6,2,0
FEDXA01,M,2.0,Grain,16,1,6,2
FEDXA01,M,2.0,Grain,17,5,3,0
FEDXA01,M,2.0,Grain,18,4,2,2
FEDXA01,M,2.0,Grain,19,1,4,1
FEDXA01,M,2.0,Grain,20,0,0,1
FEDXA01,M,2.0,Grain,21,1,0,1
FEDXA01,M,2.0,Grain,22,0,0,2
FEDXA01,M,2.0,Grain,23,1,1,3
FEDXA01,M,2.0,Grain,0,4,0,1
FEDXA01,M,2.0,Grain,1,0,1,2
FEDXA01,M,2.0,Grain,2,2,1,0
FEDXA01,M,2.0,Grain,3,1,0,1
FEDXA01,M,2.0,Grain,4,0,0,2
FEDXA01,M,2.0,Grain,5,0,0,0
FEDXA01,M,2.0,Grain,6,0,0,1
FEDXA01,M,2.0,Grain,7,1,1,1
FEDXA01,M,2.0,Grain,8,0,0,1
FEDXA01,M,2.0,Grain,9,0,0,0
FEDXA01,M,2.0,Grain,10,0,0,0
FEDXA01,M,2.0,Grain,11,0,0,1
FEDXA01,M,2.0,Grain,12,1,0,1
FEDXA01,M,2.0,Grain,13,1,4,1
FEDXA01,M,2.0,Grain,14,2,2,0
FEDXA01,M,2.0,Grain,15,3,2,1
FEDXA01,M,2.0,Grain,16,1,1,3
FEDXA01,M,2.0,Grain,17,2,1,1
FEDXA01,M,2.0,Grain,18,4,2,1
FEDXA01,M,2.0,Grain,19,1,2,1
FEDXA01,M,2.0,Grain,20,0,0,0
FEDXA01,M,2.0,Grain,21,0,0,1
FEDXA01,M,2.0,Grain,22,2,0,0
FEDXA01,M,2.0,Grain,23,0,1,2
FEDXA01,M,2.0,Grain,0,2,0,1
FEDXA01,M,2.0,Grain,1,1,0,1
FEDXA01,M,2.0,Grain,2,3,0,0
FEDXA01,M,2.0,Grain,3,0,0,1
FEDXA01,M,2.0,Grain,4,0,0,1
FEDXA01,M,2.0,Grain,5,1,0,0
FEDXA01,M,2.0,Grain,6,0,0,1
FEDXA01,M,2.0,Grain,7,0,0,0
FEDXA01,M,2.0,Grain,8,0,0,0
FEDXA01,M,2.0,Grain,9,0,0,1
FEDXA01,M,2.0,Grain,10,0,0,0
FEDXA01,M,2.0,Grain,11,1,0,1
FEDXA01,M,2.0,Grain,12,0,1,1
FEDXA01,M,2.0,Grain,13,2,3,0
FEDXA01,M,2.0,Grain,14,2,4,1
FEDXA01,M,2.0,Grain,15,2,2,1
FEDXA01,M,2.0,Grain,16,2,5,1
FEDXA01,M,2.0,Grain,17,1,3,1
FEDXA01,M,2.0,Grain,18,0,5,2
FEDXA01,M,2.0,Grain,19,3,0,1
FEDXA01,M,2.0,Grain,20,0,0,0
FEDXA01,M,2.0,Grain,21,0,0,2
FEDXA01,M,2.0,Grain,22,2,0,0
FEDXA01,M,2.0,Grain,23,1,2,1
FEDXA01,M,2.0,Grain,0,2,2,0
FEDXA01,M,2.0,Grain,1,0,0,0
FEDXA01,M,2.0,Grain,2,0,0,0
FEDXA01,M,2.0,Grain,3,0,0,0
FEDXA01,M,2.0,Grain,4,0,0,0
FEDXA01,M,2.0,Grain,5,0,0,0
FEDXA01,M,2.0,Grain,6,0,0,0
FEDXA01,M,2.0,Grain,7,0,0,0
FEDXA01,M,2.0,Grain,8,0,0,0
FEDXA01,M,2.0,Grain,9,0,0,0
FEDXA01,M,2.0,Grain,10,0,0,0
FEDXA01,M,2.0,Grain,11,0,0,0
FEDXA01,M,2.0,Grain,12,0,0,0
FEDXA01,M,2.0,Grain,13,0,0,0
FEDXA01,M,2.0,Grain,14,0,0,0
FEDXA01,M,2.0,Grain,15,0,0,0
FEDXA01,M,2.0,Grain,16,0,0,0
FEDXA01,M,2.0,Grain,17,0,0,0
FEDXA01,M,2.0,Grain,18,0,0,0
FEDXA01,M,2.0,Grain,19,0,0,0
FEDXA01,M,2.0,Grain,20,0,0,0
FEDXA01,M,2.0,Grain,21,0,0,0
FEDXA01,M,2.0,Grain,22,0,0,0
FEDXA01,M,2.0,Grain,23,0,0,0
FEDXA01,M,2.0,Grain,0,0,0,0
FEDXA01,M,2.0,Grain,1,0,0,0
FEDXA01,M,2.0,Grain,2,0,0,0
FEDXA01,M,2.0,Grain,3,0,0,0
FEDXA01,M,2.0,Grain,4,0,0,0
FEDXA01,M,2.0,Grain,5,0,0,0
FEDXA01,M,2.0,Grain,6,0,0,0
FEDXA01,M,2.0,Grain,7,0,0,0
FEDXA01,M,2.0,Grain,8,0,0,0
FEDXA01,M,2.0,Grain,9,0,0,0
FEDXA01,M,2.0,Grain,10,0,0,0
FEDXA01,M,2.0,Grain,11,0,0,0
FEDXA01,M,2.0,Grain,12,0,0,0
FEDXA01,M,2.0,Grain,13,0,0,0
FEDXA01,M,2.0,Grain,14,0,0,0
FEDXA01,M,2.0,Grain,15,0,0,0
FEDXA01,M,2.0,Grain,16,0,0,0
FEDXA01,M,2.0,Grain,17,0,0,0
FEDXA01,M,2.0,Grain,18,0,0,0
FEDXA01,M,2.0,Grain,19,0,0,0
FEDXA01,M,2.0,Grain,20,0,0,0
FEDXA01,M,2.0,Grain,21,0,0,0
FEDXA01,M,2.0,Grain,22,0,0,0
FEDXA01,M,2.0,Grain,23,0,0,0
FEDXA01,M,2.0,Grain,0,0,0,0
