mouse,pellet_type,order,n_pellets,avg_breakpoint,num_breakpoints,max_breakpoint_ratio,cost,
FEDXA01,PR,2,319,17.27777777777778,36,72,15.772575582465066,
FEDXA01,RICH,2,49,3.5,21,10,4.254509513219669,
FEDXA02,PR,2,275,15.588235294117647,34,68,14.427955390740928,
FEDXA02,RICH,2,119,10.363636363636363,18,34,9.682379547894238,
FEDXA03,PR,2,328,17.38888888888889,35,90,15.473323145311015,
FEDXA03,RICH,2,24,3.769230769230769,9,10,7.339036755386565,
FEDXA04,PR,2,257,18.703703703703702,27,70,17.796539085364564,
FEDXA04,RICH,2,90,6.103448275862069,24,26,7.478636452623336,
FEDXA05,PR,2,266,15.235294117647058,32,68,15.015035061053492,
FEDXA05,RICH,2,70,5.071428571428571,25,28,5.3782211497026635,
FEDXA06,PR,2,417,21.833333333333332,36,100,18.86183166908155,
FEDXA06,RICH,2,68,4.290322580645161,26,10,4.721849557068975,
FEDXA07,PR,1,266,22.73913043478261,23,72,19.717715989803747,
FEDXA07,RICH,1,106,7.518518518518518,21,28,7.745309619347142,
FEDXA08,PR,1,353,19.941176470588236,33,64,15.409463448285686,
FEDXA08,RICH,1,277,14.944444444444445,34,42,12.838951389077423,
FEDXA09,PR,1,303,18.6875,31,66,17.276874173689077,
FEDXA09,RICH,1,55,5.947368421052632,16,18,7.391686650679456,
FEDXA10,PR,1,307,18.5,31,60,15.506607174156576,
FEDXA10,RICH,1,141,9.275862068965518,26,40,10.42882338391388,
FEDXA11,PR,1,298,14.789473684210526,37,72,13.535730574980825,
FEDXA11,RICH,1,104,6.677419355,26,30,6.9549570718481695,
FEDXA12,PR,1,289,17.3125,31,72,14.751771877137164,
FEDXA12,RICH,1,117,8.428571428571429,25,36,7.367173913043478,
