mouse,pellet_type,order,breakpoint
FEDXA01,PR,2,17.27777777777778
FEDXA01,RICH,2,3.5
FEDXA02,PR,2,15.588235294117647
FEDXA02,RICH,2,10.363636363636363
FEDXA03,PR,2,17.38888888888889
FEDXA03,RICH,2,3.769230769230769
FEDXA04,PR,2,18.703703703703702
FEDXA04,RICH,2,6.103448275862069
FEDXA05,PR,2,15.235294117647058
FEDXA05,RICH,2,5.071428571428571
FEDXA06,PR,2,21.833333333333332
FEDXA06,RICH,2,4.290322580645161
FEDXA07,PR,1,22.73913043478261
FEDXA07,RICH,1,7.518518518518518
FEDXA08,PR,1,19.941176470588236
FEDXA08,RICH,1,14.944444444444445
FEDXA09,PR,1,18.6875
FEDXA09,RICH,1,5.947368421052632
FEDXA10,PR,1,18.5
FEDXA10,RICH,1,9.275862068965518
FEDXA11,PR,1,14.789473684210526
FEDXA11,RICH,1,6.677419355
FEDXA12,PR,1,17.3125
FEDXA12,RICH,1,8.428571428571429
