mouse_id,sex,order,grain_meal_freq_per_day_day1,grain_meal_freq_per_day_day2,grain_meal_freq_per_day_day3
FEDXA01,M,2.0,2.0416666666666665,1.2916666666666667,1.2083333333333333
FEDXA02,M,2.0,2.1666666666666665,1.75,1.2083333333333333
FEDXA03,M,2.0,2.1666666666666665,1.6666666666666667,1.4583333333333333
FEDXA04,M,2.0,2.4166666666666665,1.9583333333333333,1.125
FEDXA05,M,2.0,1.0,0.5416666666666666,0.5833333333333334
FEDXA06,M,2.0,1.6666666666666667,1.3333333333333333,0.08333333333333333
FEDXA07,M,1.0,1.4583333333333333,0.9583333333333334,0.5416666666666666
FEDXA08,M,1.0,1.2916666666666667,0.8333333333333334,1.2083333333333333
FEDXA09,M,1.0,2.8333333333333335,1.9166666666666667,1.0416666666666667
FEDXA10,M,1.0,1.4583333333333333,1.0416666666666667,0.9583333333333334
FEDXA11,M,1.0,1.875,1.375,0.625
FEDXA12,M,1.0,1.625,1.3333333333333333,1.3333333333333333
FEDXB01,F,2.0,1.2916666666666667,1.0833333333333333,0.9166666666666666
FEDXB02,F,2.0,2.375,1.9166666666666667,1.25
FEDXB03,F,2.0,0.875,1.75,1.2916666666666667
FEDXB04,F,2.0,1.5833333333333333,1.0,1.375
FEDXB05,F,2.0,1.5833333333333333,1.5,1.4166666666666667
FEDXB06,F,2.0,1.8333333333333333,1.1666666666666667,1.0416666666666667
FEDXB07,F,1.0,1.5833333333333333,1.125,1.0833333333333333
FEDXB08,F,1.0,0.9583333333333334,0.5416666666666666,0.20833333333333334
FEDXB10,F,1.0,2.0,1.5416666666666667,1.8333333333333333
FEDXB11,F,1.0,1.625,2.0833333333333335,1.75
FEDXB12,F,1.0,1.0,0.625,0.25
