mouse_id,sex,order,grain_mega_meal_size_per_day_day1,grain_mega_meal_size_per_day_day2,grain_mega_meal_size_per_day_day3
FEDXA01,M,2.0,8.0625,9.307692307692308,8.272727272727273
FEDXA02,M,2.0,6.384615384615385,7.142857142857143,7.2
FEDXA03,M,2.0,6.666666666666667,7.4,6.555555555555555
FEDXA04,M,2.0,6.625,8.777777777777779,7.222222222222222
FEDXA05,M,2.0,8.6,9.666666666666666,10.0
FEDXA06,M,2.0,7.555555555555555,7.954545454545454,0.0
FEDXA07,M,1.0,7.733333333333333,7.842105263157895,8.058823529411764
FEDXA08,M,1.0,8.454545454545455,7.764705882352941,7.818181818181818
FEDXA09,M,1.0,7.428571428571429,6.333333333333333,7.166666666666667
FEDXA10,M,1.0,7.125,8.625,7.1875
FEDXA11,M,1.0,7.8,9.545454545454545,8.210526315789474
FEDXA12,M,1.0,8.0,6.888888888888889,7.333333333333333
FEDXB01,F,2.0,8.090909090909092,8.3,7.842105263157895
FEDXB02,F,2.0,6.5,7.0,7.5
FEDXB03,F,2.0,6.0,6.555555555555555,6.545454545454546
FEDXB04,F,2.0,6.0,6.7272727272727275,7.25
FEDXB05,F,2.0,7.578947368421052,7.0,7.6
FEDXB06,F,2.0,7.388888888888889,7.888888888888889,7.333333333333333
FEDXB07,F,1.0,7.166666666666667,6.538461538461538,6.882352941176471
FEDXB08,F,1.0,6.5,8.8,8.470588235294118
FEDXB10,F,1.0,7.3,6.777777777777778,7.0
FEDXB11,F,1.0,8.818181818181818,7.4,6.454545454545454
FEDXB12,F,1.0,7.352941176470588,8.45,8.8
