mouse_id,sex,order,grain_mega_meals_per_day_day1,grain_mega_meals_per_day_day2,grain_mega_meals_per_day_day3
FEDXA01,M,2.0,16,13,11
FEDXA02,M,2.0,13,7,10
FEDXA03,M,2.0,6,10,9
FEDXA04,M,2.0,8,9,9
FEDXA05,M,2.0,15,18,16
FEDXA06,M,2.0,9,22,0
FEDXA07,M,1.0,15,19,17
FEDXA08,M,1.0,22,17,11
FEDXA09,M,1.0,7,3,12
FEDXA10,M,1.0,8,16,16
FEDXA11,M,1.0,15,11,19
FEDXA12,M,1.0,11,9,12
FEDXB01,F,2.0,11,20,19
FEDXB02,F,2.0,2,4,10
FEDXB03,F,2.0,1,9,11
FEDXB04,F,2.0,2,11,8
FEDXB05,F,2.0,19,8,5
FEDXB06,F,2.0,18,9,15
FEDXB07,F,1.0,18,13,17
FEDXB08,F,1.0,8,20,17
FEDXB10,F,1.0,10,9,7
FEDXB11,F,1.0,11,5,11
FEDXB12,F,1.0,17,20,20
