mouse_id,sex,order,grain_pellets_per_day_day1,grain_pellets_per_day_day2,grain_pellets_per_day_day3
FEDXA01,M,2.0,315,247,211
FEDXA02,M,2.0,283,200,182
FEDXA03,M,2.0,231,221,191
FEDXA04,M,2.0,269,245,182
FEDXA05,M,2.0,213,230,221
FEDXA06,M,2.0,198,291,7
FEDXA07,M,1.0,263,243,186
FEDXA08,M,1.0,292,214,207
FEDXA09,M,1.0,292,182,184
FEDXA10,M,1.0,182,247,205
FEDXA11,M,1.0,292,237,214
FEDXA12,M,1.0,223,193,206
FEDXB01,F,2.0,191,264,234
FEDXB02,F,2.0,202,203,175
FEDXB03,F,2.0,82,218,185
FEDXB04,F,2.0,141,160,173
FEDXB05,F,2.0,290,200,172
FEDXB06,F,2.0,311,173,208
FEDXB07,F,1.0,277,182,230
FEDXB08,F,1.0,150,232,169
FEDXB10,F,1.0,249,204,212
FEDXB11,F,1.0,247,202,212
FEDXB12,F,1.0,209,218,201
