mouse_id,sex,order,grain_snack_freq_per_day_day1,grain_snack_freq_per_day_day2,grain_snack_freq_per_day_day3
FEDXA01,M,2.0,1.375,0.875,1.0833333333333333
FEDXA02,M,2.0,1.25,0.875,0.4166666666666667
FEDXA03,M,2.0,1.75,0.5833333333333334,0.7083333333333334
FEDXA04,M,2.0,2.5,1.0,0.9583333333333334
FEDXA05,M,2.0,0.5833333333333334,0.25,0.3333333333333333
FEDXA06,M,2.0,1.1666666666666667,0.9166666666666666,0.041666666666666664
FEDXA07,M,1.0,1.2083333333333333,0.5,0.16666666666666666
FEDXA08,M,1.0,0.6666666666666666,0.2916666666666667,0.7916666666666666
FEDXA09,M,1.0,1.5833333333333333,0.5,0.5416666666666666
FEDXA10,M,1.0,0.75,0.375,0.20833333333333334
FEDXA11,M,1.0,1.5,0.7916666666666666,0.3333333333333333
FEDXA12,M,1.0,0.75,1.0,0.625
FEDXB01,F,2.0,0.5416666666666666,0.6666666666666666,0.20833333333333334
FEDXB02,F,2.0,1.2083333333333333,1.4166666666666667,0.2916666666666667
FEDXB03,F,2.0,0.7083333333333334,1.2916666666666667,0.20833333333333334
FEDXB04,F,2.0,0.625,0.20833333333333334,0.7083333333333334
FEDXB05,F,2.0,1.0833333333333333,0.9583333333333334,0.3333333333333333
FEDXB06,F,2.0,0.5416666666666666,0.16666666666666666,0.125
FEDXB07,F,1.0,1.4583333333333333,0.2916666666666667,0.5833333333333334
FEDXB08,F,1.0,0.9583333333333334,0.25,0.08333333333333333
FEDXB10,F,1.0,1.2083333333333333,1.0833333333333333,0.7083333333333334
FEDXB11,F,1.0,0.375,0.4166666666666667,0.5
FEDXB12,F,1.0,0.5833333333333334,0.08333333333333333,0.08333333333333333
