mouse_id,sex,order,grain_snacks_per_day_day1,grain_snacks_per_day_day2,grain_snacks_per_day_day3
FEDXA01,M,2.0,33,21,26
FEDXA02,M,2.0,30,21,10
FEDXA03,M,2.0,42,14,17
FEDXA04,M,2.0,60,24,23
FEDXA05,M,2.0,14,6,8
FEDXA06,M,2.0,28,22,1
FEDXA07,M,1.0,29,12,4
FEDXA08,M,1.0,16,7,19
FEDXA09,M,1.0,38,12,13
FEDXA10,M,1.0,18,9,5
FEDXA11,M,1.0,36,19,8
FEDXA12,M,1.0,18,24,15
FEDXB01,F,2.0,13,16,5
FEDXB02,F,2.0,29,34,7
FEDXB03,F,2.0,17,31,5
FEDXB04,F,2.0,15,5,17
FEDXB05,F,2.0,26,23,8
FEDXB06,F,2.0,13,4,3
FEDXB07,F,1.0,35,7,14
FEDXB08,F,1.0,23,6,2
FEDXB10,F,1.0,29,26,17
FEDXB11,F,1.0,9,10,12
FEDXB12,F,1.0,14,2,2
