mouse_id,sex,order,grain_meal_freq_per_day_day1,grain_meal_freq_per_day_day2,grain_meal_freq_per_day_day3,grain_meal_size_per_day_day1,grain_meal_size_per_day_day2,grain_meal_size_per_day_day3,grain_meals_per_day_day1,grain_meals_per_day_day2,grain_meals_per_day_day3,grain_mega_meal_freq_per_day_day1,grain_mega_meal_freq_per_day_day2,grain_mega_meal_freq_per_day_day3,grain_mega_meal_size_per_day_day1,grain_mega_meal_size_per_day_day2,grain_mega_meal_size_per_day_day3,grain_mega_meals_per_day_day1,grain_mega_meals_per_day_day2,grain_mega_meals_per_day_day3,grain_pellets_per_day_day1,grain_pellets_per_day_day2,grain_pellets_per_day_day3,grain_snack_freq_per_day_day1,grain_snack_freq_per_day_day2,grain_snack_freq_per_day_day3,grain_snack_size_per_day_day1,grain_snack_size_per_day_day2,grain_snack_size_per_day_day3,grain_snacks_per_day_day1,grain_snacks_per_day_day2,grain_snacks_per_day_day3,nr_meal_freq_per_day_day1,nr_meal_freq_per_day_day2,nr_meal_freq_per_day_day3,nr_meal_freq_per_day_day4,nr_meal_freq_per_day_day5,nr_meal_freq_per_day_day6,nr_meal_freq_per_day_day7,nr_meal_size_per_day_day1,nr_meal_size_per_day_day2,nr_meal_size_per_day_day3,nr_meal_size_per_day_day4,nr_meal_size_per_day_day5,nr_meal_size_per_day_day6,nr_meal_size_per_day_day7,nr_meals_per_day_day1,nr_meals_per_day_day2,nr_meals_per_day_day3,nr_meals_per_day_day4,nr_meals_per_day_day5,nr_meals_per_day_day6,nr_meals_per_day_day7,nr_mega_meal_freq_per_day_day1,nr_mega_meal_freq_per_day_day2,nr_mega_meal_freq_per_day_day3,nr_mega_meal_freq_per_day_day4,nr_mega_meal_freq_per_day_day5,nr_mega_meal_freq_per_day_day6,nr_mega_meal_freq_per_day_day7,nr_mega_meal_size_per_day_day1,nr_mega_meal_size_per_day_day2,nr_mega_meal_size_per_day_day3,nr_mega_meal_size_per_day_day4,nr_mega_meal_size_per_day_day5,nr_mega_meal_size_per_day_day6,nr_mega_meal_size_per_day_day7,nr_mega_meals_per_day_day1,nr_mega_meals_per_day_day2,nr_mega_meals_per_day_day3,nr_mega_meals_per_day_day4,nr_mega_meals_per_day_day5,nr_mega_meals_per_day_day6,nr_mega_meals_per_day_day7,nr_pellets_per_day_day1,nr_pellets_per_day_day2,nr_pellets_per_day_day3,nr_pellets_per_day_day4,nr_pellets_per_day_day5,nr_pellets_per_day_day6,nr_pellets_per_day_day7,nr_snack_freq_per_day_day1,nr_snack_freq_per_day_day2,nr_snack_freq_per_day_day3,nr_snack_freq_per_day_day4,nr_snack_freq_per_day_day5,nr_snack_freq_per_day_day6,nr_snack_freq_per_day_day7,nr_snack_size_per_day_day1,nr_snack_size_per_day_day2,nr_snack_size_per_day_day3,nr_snack_size_per_day_day4,nr_snack_size_per_day_day5,nr_snack_size_per_day_day6,nr_snack_size_per_day_day7,nr_snacks_per_day_day1,nr_snacks_per_day_day2,nr_snacks_per_day_day3,nr_snacks_per_day_day4,nr_snacks_per_day_day5,nr_snacks_per_day_day6,nr_snacks_per_day_day7,pr_meal_freq_per_day_day1,pr_meal_freq_per_day_day2,pr_meal_freq_per_day_day3,pr_meal_freq_per_day_day4,pr_meal_freq_per_day_day5,pr_meal_freq_per_day_day6,pr_meal_freq_per_day_day7,pr_meal_size_per_day_day1,pr_meal_size_per_day_day2,pr_meal_size_per_day_day3,pr_meal_size_per_day_day4,pr_meal_size_per_day_day5,pr_meal_size_per_day_day6,pr_meal_size_per_day_day7,pr_meals_per_day_day1,pr_meals_per_day_day2,pr_meals_per_day_day3,pr_meals_per_day_day4,pr_meals_per_day_day5,pr_meals_per_day_day6,pr_meals_per_day_day7,pr_mega_meal_freq_per_day_day1,pr_mega_meal_freq_per_day_day2,pr_mega_meal_freq_per_day_day3,pr_mega_meal_freq_per_day_day4,pr_mega_meal_freq_per_day_day5,pr_mega_meal_freq_per_day_day6,pr_mega_meal_freq_per_day_day7,pr_mega_meal_size_per_day_day1,pr_mega_meal_size_per_day_day2,pr_mega_meal_size_per_day_day3,pr_mega_meal_size_per_day_day4,pr_mega_meal_size_per_day_day5,pr_mega_meal_size_per_day_day6,pr_mega_meal_size_per_day_day7,pr_mega_meals_per_day_day1,pr_mega_meals_per_day_day2,pr_mega_meals_per_day_day3,pr_mega_meals_per_day_day4,pr_mega_meals_per_day_day5,pr_mega_meals_per_day_day6,pr_mega_meals_per_day_day7,pr_pellets_per_day_day1,pr_pellets_per_day_day2,pr_pellets_per_day_day3,pr_pellets_per_day_day4,pr_pellets_per_day_day5,pr_pellets_per_day_day6,pr_pellets_per_day_day7,pr_snack_freq_per_day_day1,pr_snack_freq_per_day_day2,pr_snack_freq_per_day_day3,pr_snack_freq_per_day_day4,pr_snack_freq_per_day_day5,pr_snack_freq_per_day_day6,pr_snack_freq_per_day_day7,pr_snack_size_per_day_day1,pr_snack_size_per_day_day2,pr_snack_size_per_day_day3,pr_snack_size_per_day_day4,pr_snack_size_per_day_day5,pr_snack_size_per_day_day6,pr_snack_size_per_day_day7,pr_snacks_per_day_day1,pr_snacks_per_day_day2,pr_snacks_per_day_day3,pr_snacks_per_day_day4,pr_snacks_per_day_day5,pr_snacks_per_day_day6,pr_snacks_per_day_day7
FEDXA01,M,2.0,2.0416666666666665,1.2916666666666667,1.2083333333333333,3.122448979591837,3.3870967741935485,3.2413793103448274,49,31,29,0.6666666666666666,0.5416666666666666,0.4583333333333333,8.0625,9.307692307692308,8.272727272727273,16,13,11,315,247,211,1.375,0.875,1.0833333333333333,1.0,1.0,1.0,33,21,26,0.625,1.0,1.0,0.875,0.8333333333333334,0.4583333333333333,0.4583333333333333,3.933333333333333,3.5833333333333335,3.2916666666666665,3.6666666666666665,3.9,3.727272727272727,3.727272727272727,15,24,24,21,20,11,11,0.875,0.75,0.7083333333333334,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334,8.238095238095237,7.444444444444445,7.529411764705882,7.0625,8.055555555555555,8.45,8.0,21,18,17,16,18,20,20,245,234,220,210,241,222,214,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.7916666666666666,0.75,0.5,0.5416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,14,14,19,18,12,13,1.5416666666666667,1.2916666666666667,1.4583333333333333,1.125,1.2083333333333333,1.375,1.0416666666666667,2.6486486486486487,3.0,2.914285714285714,2.7037037037037037,3.310344827586207,2.9696969696969697,3.84,37,31,35,27,29,33,25,0.16666666666666666,0.041666666666666664,0.125,0.25,0.5416666666666666,0.6666666666666666,0.7083333333333334,6.75,8.0,6.333333333333333,8.166666666666666,6.6923076923076925,6.5625,7.529411764705882,4,1,3,6,13,16,17,157,148,174,184,212,229,237,1.3333333333333333,1.9583333333333333,2.2083333333333335,2.5833333333333335,1.2083333333333333,1.0833333333333333,0.5416666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32,47,53,62,29,26,13
FEDXA02,M,2.0,2.1666666666666665,1.75,1.2083333333333333,3.269230769230769,3.0714285714285716,3.4482758620689653,52,42,29,0.5416666666666666,0.2916666666666667,0.4166666666666667,6.384615384615385,7.142857142857143,7.2,13,7,10,283,200,182,1.25,0.875,0.4166666666666667,1.0,1.0,1.0,30,21,10,0.9166666666666666,0.875,1.5833333333333333,1.375,1.3333333333333333,1.2083333333333333,0.7916666666666666,3.590909090909091,3.761904761904762,3.4210526315789473,3.0,3.75,3.9655172413793105,3.8947368421052633,22,21,38,33,32,29,19,0.7083333333333334,0.4583333333333333,0.25,0.375,0.2916666666666667,0.25,0.5416666666666666,7.823529411764706,6.545454545454546,7.5,6.555555555555555,6.571428571428571,7.5,7.153846153846154,17,11,6,9,7,6,13,225,168,191,171,182,172,179,0.5416666666666666,0.7083333333333334,0.6666666666666666,0.5416666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,17,16,13,16,12,12,1.625,1.7083333333333333,2.375,2.2083333333333335,2.0833333333333335,2.0416666666666665,1.7916666666666667,2.871794871794872,2.8048780487804876,2.754385964912281,2.9622641509433962,3.0,3.5510204081632653,3.4651162790697674,39,41,57,53,50,49,43,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.2916666666666667,6.25,8.0,6.0,8.0,6.75,6.6,6.142857142857143,4,1,2,2,4,5,7,148,148,202,206,199,223,209,0.4583333333333333,1.0416666666666667,1.375,1.375,0.9166666666666666,0.6666666666666666,0.7083333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,25,33,33,22,16,17
FEDXA03,M,2.0,2.1666666666666665,1.6666666666666667,1.4583333333333333,2.8653846153846154,3.325,3.2857142857142856,52,40,35,0.25,0.4166666666666667,0.375,6.666666666666667,7.4,6.555555555555555,6,10,9,231,221,191,1.75,0.5833333333333334,0.7083333333333334,1.0,1.0,1.0,42,14,17,1.0,1.125,1.1666666666666667,0.875,0.9583333333333334,1.2916666666666667,0.9166666666666666,3.5833333333333335,4.148148148148148,4.071428571428571,3.8095238095238093,3.8260869565217392,3.903225806451613,4.045454545454546,24,27,28,21,23,31,22,1.2916666666666667,1.0833333333333333,0.7916666666666666,1.0,0.875,0.4583333333333333,0.6666666666666666,8.258064516129032,8.538461538461538,7.7894736842105265,7.875,7.0,7.909090909090909,7.8125,31,26,19,24,21,11,16,350,344,277,281,247,215,225,0.3333333333333333,0.4166666666666667,0.625,0.5,0.5,0.2916666666666667,0.4583333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,10,15,12,12,7,11,1.7083333333333333,1.375,1.8333333333333333,2.3333333333333335,2.5416666666666665,2.5416666666666665,2.25,2.8048780487804876,2.5454545454545454,2.590909090909091,3.2142857142857144,3.2950819672131146,3.262295081967213,3.314814814814815,41,33,44,56,61,61,54,0.08333333333333333,0.125,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666,6.0,6.333333333333333,6.0,7.0,7.875,6.375,6.75,2,3,2,5,8,8,16,145,145,169,244,289,276,314,0.75,1.75,1.7916666666666667,1.2083333333333333,1.0416666666666667,1.0833333333333333,1.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,42,43,29,25,26,27
FEDXA04,M,2.0,2.4166666666666665,1.9583333333333333,1.125,2.689655172413793,3.021276595744681,3.4814814814814814,58,47,27,0.3333333333333333,0.375,0.375,6.625,8.777777777777779,7.222222222222222,8,9,9,269,245,182,2.5,1.0,0.9583333333333334,1.0,1.0,1.0,60,24,23,0.7916666666666666,0.75,1.0416666666666667,0.20833333333333334,0.875,1.2083333333333333,0.6666666666666666,3.3684210526315788,3.388888888888889,4.04,3.6,4.0476190476190474,3.6206896551724137,4.125,19,18,25,5,21,29,16,1.1666666666666667,0.9166666666666666,0.6666666666666666,1.0,0.75,0.625,0.75,7.607142857142857,8.227272727272727,7.75,7.416666666666667,7.722222222222222,7.933333333333334,7.444444444444445,28,22,16,24,18,15,18,292,259,235,206,234,233,206,0.625,0.7083333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.375,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,17,10,10,10,9,6,1.3333333333333333,1.5416666666666667,1.5833333333333333,1.875,1.9166666666666667,1.9166666666666667,1.9166666666666667,2.90625,2.72972972972973,2.8947368421052633,2.911111111111111,3.4130434782608696,3.4782608695652173,3.760869565217391,32,37,38,45,46,46,46,0.20833333333333334,0.0,0.125,0.08333333333333333,0.2916666666666667,0.5,0.5416666666666666,7.8,0.0,6.666666666666667,6.0,7.857142857142857,7.166666666666667,8.0,5,0,3,2,7,12,13,159,140,166,172,248,265,295,1.125,1.625,1.5,1.2083333333333333,1.5,0.7916666666666666,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,39,36,29,36,19,18
FEDXA05,M,2.0,1.0,0.5416666666666666,0.5833333333333334,2.9166666666666665,3.8461538461538463,3.7857142857142856,24,13,14,0.625,0.75,0.6666666666666666,8.6,9.666666666666666,10.0,15,18,16,213,230,221,0.5833333333333334,0.25,0.3333333333333333,1.0,1.0,1.0,14,6,8,1.8333333333333333,1.6666666666666667,1.375,1.6666666666666667,1.5833333333333333,1.5416666666666667,1.25,3.409090909090909,3.475,3.6666666666666665,3.65,3.526315789473684,3.4054054054054053,3.7666666666666666,44,40,33,40,38,37,30,0.5,0.5416666666666666,0.7083333333333334,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.5833333333333334,8.583333333333334,7.153846153846154,7.117647058823529,7.571428571428571,6.846153846153846,7.642857142857143,7.0,12,13,17,14,13,14,14,266,257,252,265,236,238,219,0.5416666666666666,1.0416666666666667,0.4166666666666667,0.5416666666666666,0.5416666666666666,0.20833333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,25,10,13,13,5,8,1.5833333333333333,2.0,2.2916666666666665,2.2916666666666665,2.0416666666666665,2.6666666666666665,2.7916666666666665,3.0789473684210527,2.9375,2.7454545454545456,3.018181818181818,2.979591836734694,2.796875,2.955223880597015,38,48,55,55,49,64,67,0.125,0.0,0.125,0.125,0.375,0.20833333333333334,0.3333333333333333,7.666666666666667,0.0,7.333333333333333,6.666666666666667,7.555555555555555,6.4,6.875,3,0,3,3,9,5,8,154,166,199,217,252,248,279,0.5833333333333334,1.0416666666666667,1.0833333333333333,1.2916666666666667,1.5833333333333333,1.5416666666666667,1.0833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,25,26,31,38,37,26
FEDXA06,M,2.0,1.6666666666666667,1.3333333333333333,0.08333333333333333,2.55,2.9375,3.0,40,32,2,0.375,0.9166666666666666,0.0,7.555555555555555,7.954545454545454,0.0,9,22,0,198,291,7,1.1666666666666667,0.9166666666666666,0.041666666666666664,1.0,1.0,1.0,28,22,1,1.7083333333333333,1.8333333333333333,1.8333333333333333,1.6666666666666667,1.5,1.3333333333333333,1.7083333333333333,3.1463414634146343,3.1818181818181817,3.4545454545454546,3.2,3.5555555555555554,3.3125,3.097560975609756,41,44,44,40,36,32,41,0.3333333333333333,0.20833333333333334,0.125,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.16666666666666666,7.75,8.2,6.0,7.125,6.428571428571429,7.714285714285714,7.0,8,5,3,8,7,7,4,216,198,180,200,186,171,173,1.0416666666666667,0.7083333333333334,0.4166666666666667,0.625,0.5416666666666666,0.4583333333333333,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,17,10,15,13,11,18,2.2916666666666665,2.0416666666666665,2.6666666666666665,2.2083333333333335,2.25,1.9166666666666667,2.875,2.6363636363636362,2.5306122448979593,2.28125,2.69811320754717,2.5925925925925926,2.717391304347826,2.753623188405797,55,49,64,53,54,46,69,0.16666666666666666,0.08333333333333333,0.0,0.0,0.041666666666666664,0.16666666666666666,0.041666666666666664,7.5,6.0,0.0,0.0,6.0,7.5,6.0,4,2,0,0,1,4,1,204,172,188,196,215,203,232,1.2083333333333333,1.5,1.75,2.2083333333333335,2.875,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,36,42,53,69,48,36
FEDXA07,M,1.0,1.4583333333333333,0.9583333333333334,0.5416666666666666,3.3714285714285714,3.5652173913043477,3.4615384615384617,35,23,13,0.625,0.7916666666666666,0.7083333333333334,7.733333333333333,7.842105263157895,8.058823529411764,15,19,17,263,243,186,1.2083333333333333,0.5,0.16666666666666666,1.0,1.0,1.0,29,12,4,0.9166666666666666,1.1666666666666667,1.2916666666666667,0.875,1.4166666666666667,1.4166666666666667,1.2916666666666667,4.0,3.75,3.4516129032258065,3.6666666666666665,3.764705882352941,3.764705882352941,3.806451612903226,22,28,31,21,34,34,31,0.4583333333333333,0.4166666666666667,0.375,0.4583333333333333,0.2916666666666667,0.3333333333333333,0.4166666666666667,6.909090909090909,7.0,6.777777777777778,7.363636363636363,6.571428571428571,8.125,6.7,11,10,9,11,7,8,10,171,180,176,162,181,202,188,0.2916666666666667,0.20833333333333334,0.3333333333333333,0.16666666666666666,0.2916666666666667,0.375,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5,8,4,7,9,3,1.375,1.7916666666666667,1.5833333333333333,1.5416666666666667,1.375,1.4166666666666667,1.4166666666666667,3.4242424242424243,2.86046511627907,2.973684210526316,3.4864864864864864,3.757575757575758,3.5294117647058822,3.5294117647058822,33,43,38,37,33,34,34,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.25,0.375,0.4166666666666667,0.4166666666666667,6.0,7.4,7.2,8.0,6.777777777777778,7.3,6.7,4,5,5,6,9,10,10,141,165,166,187,197,200,193,0.16666666666666666,0.20833333333333334,0.7083333333333334,0.4166666666666667,0.5,0.2916666666666667,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,5,17,10,12,7,6
FEDXA08,M,1.0,1.2916666666666667,0.8333333333333334,1.2083333333333333,2.903225806451613,3.75,3.5172413793103448,31,20,29,0.9166666666666666,0.7083333333333334,0.4583333333333333,8.454545454545455,7.764705882352941,7.818181818181818,22,17,11,292,214,207,0.6666666666666666,0.2916666666666667,0.7916666666666666,1.0,1.0,1.0,16,7,19,1.5,1.6666666666666667,1.7083333333333333,1.1666666666666667,0.7083333333333334,0.75,0.75,3.1666666666666665,3.15,3.1463414634146343,3.3214285714285716,3.3529411764705883,3.7222222222222223,3.5,36,40,41,28,17,18,18,0.25,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.5,0.4166666666666667,0.5,6.5,8.142857142857142,7.285714285714286,7.0,7.75,10.0,8.333333333333334,6,7,7,10,12,10,12,166,203,202,169,159,177,174,0.5416666666666666,0.8333333333333334,0.9166666666666666,0.25,0.375,0.4166666666666667,0.4583333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,20,22,6,9,10,11,0.75,1.0833333333333333,1.0833333333333333,0.5416666666666666,1.0,0.625,0.625,3.5555555555555554,3.4615384615384617,3.0,3.6923076923076925,3.3333333333333335,2.933333333333333,3.3333333333333335,18,26,26,13,24,15,15,0.2916666666666667,0.25,0.3333333333333333,0.5,0.4583333333333333,0.4583333333333333,0.5416666666666666,7.714285714285714,7.666666666666667,7.25,7.083333333333333,7.363636363636363,7.7272727272727275,7.846153846153846,7,6,8,12,11,11,13,128,146,148,149,172,143,163,0.4166666666666667,0.4166666666666667,0.5,0.6666666666666666,0.4583333333333333,0.5833333333333334,0.4583333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,10,12,16,11,14,11
FEDXA09,M,1.0,2.8333333333333335,1.9166666666666667,1.0416666666666667,2.9705882352941178,3.282608695652174,3.4,68,46,25,0.2916666666666667,0.125,0.5,7.428571428571429,6.333333333333333,7.166666666666667,7,3,12,292,182,184,1.5833333333333333,0.5,0.5416666666666666,1.0,1.0,1.0,38,12,13,1.375,1.4166666666666667,1.375,1.2916666666666667,1.5833333333333333,0.6666666666666666,1.5416666666666667,3.484848484848485,3.5588235294117645,3.606060606060606,3.6451612903225805,3.8157894736842106,3.9375,3.4864864864864864,33,34,33,31,38,16,37,0.20833333333333334,0.25,0.2916666666666667,0.4166666666666667,0.25,0.625,0.375,7.4,6.5,7.714285714285714,6.8,6.666666666666667,8.2,6.444444444444445,5,6,7,10,6,15,9,161,165,176,190,197,191,206,0.375,0.20833333333333334,0.125,0.375,0.5,0.20833333333333334,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,5,3,9,12,5,19,1.7083333333333333,2.0833333333333335,2.2083333333333335,1.875,2.0833333333333335,1.7916666666666667,1.4166666666666667,3.1951219512195124,3.02,3.0,2.933333333333333,3.04,3.3255813953488373,3.1176470588235294,41,50,53,45,50,43,34,0.08333333333333333,0.08333333333333333,0.125,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.2916666666666667,6.5,8.0,6.666666666666667,6.875,7.0,6.714285714285714,8.428571428571429,2,2,3,8,10,14,7,150,185,199,211,242,255,176,0.25,0.75,0.8333333333333334,1.0,0.8333333333333334,0.75,0.4583333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,18,20,24,20,18,11
FEDXA10,M,1.0,1.4583333333333333,1.0416666666666667,0.9583333333333334,3.057142857142857,4.0,3.6956521739130435,35,25,23,0.3333333333333333,0.6666666666666666,0.6666666666666666,7.125,8.625,7.1875,8,16,16,182,247,205,0.75,0.375,0.20833333333333334,1.0,1.0,1.0,18,9,5,1.3333333333333333,1.4583333333333333,1.9583333333333333,1.4166666666666667,1.0416666666666667,1.6666666666666667,1.0833333333333333,3.46875,3.657142857142857,3.404255319148936,3.8529411764705883,3.76,3.625,3.6153846153846154,32,35,47,34,25,40,26,0.20833333333333334,0.375,0.25,0.3333333333333333,0.625,0.2916666666666667,0.4583333333333333,6.8,7.222222222222222,6.166666666666667,7.5,7.0,7.285714285714286,7.0,5,9,6,8,15,7,11,168,196,206,203,205,203,179,0.9583333333333334,0.125,0.375,0.5,0.25,0.2916666666666667,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,3,9,12,6,7,8,1.2916666666666667,1.4166666666666667,1.4166666666666667,1.25,1.125,1.25,1.5833333333333333,3.3870967741935485,3.4705882352941178,3.4411764705882355,3.433333333333333,3.3333333333333335,3.466666666666667,3.4210526315789473,31,34,34,30,27,30,38,0.20833333333333334,0.16666666666666666,0.3333333333333333,0.375,0.4583333333333333,0.375,0.3333333333333333,7.4,8.25,7.5,6.888888888888889,7.636363636363637,8.0,7.375,5,4,8,9,11,9,8,151,157,187,183,190,188,198,0.375,0.25,0.4166666666666667,0.75,0.6666666666666666,0.5,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9,6,10,18,16,12,9
