mouse_id,sex,order,nr_meals_per_day_day1,nr_meals_per_day_day2,nr_meals_per_day_day3,nr_meals_per_day_day4,nr_meals_per_day_day5,nr_meals_per_day_day6,nr_meals_per_day_day7
FEDXA01,M,2.0,15,24,24,21,20,11,11
FEDXA02,M,2.0,22,21,38,33,32,29,19
FEDXA03,M,2.0,24,27,28,21,23,31,22
FEDXA04,M,2.0,19,18,25,5,21,29,16
FEDXA05,M,2.0,44,40,33,40,38,37,30
FEDXA06,M,2.0,41,44,44,40,36,32,41
FEDXA07,M,1.0,22,28,31,21,34,34,31
FEDXA08,M,1.0,36,40,41,28,17,18,18
FEDXA09,M,1.0,33,34,33,31,38,16,37
FEDXA10,M,1.0,32,35,47,34,25,40,26
FEDXA11,M,1.0,28,31,37,38,38,30,27
FEDXA12,M,1.0,32,31,39,33,38,43,46
FEDXB01,F,2.0,62,45,43,43,35,62,51
FEDXB02,F,2.0,37,38,32,34,23,44,36
FEDXB03,F,2.0,60,64,59,48,49,44,36
FEDXB04,F,2.0,44,29,32,23,13,23,23
FEDXB05,F,2.0,41,46,50,34,32,49,42
FEDXB06,F,2.0,25,60,43,48,36,42,26
FEDXB07,F,1.0,27,32,31,36,42,35,25
FEDXB08,F,1.0,19,17,26,21,15,23,11
FEDXB10,F,1.0,40,42,63,52,54,54,48
FEDXB11,F,1.0,42,41,47,44,43,39,43
FEDXB12,F,1.0,16,21,20,14,20,14,8
