mouse_id,sex,order,nr_mega_meals_per_day_day1,nr_mega_meals_per_day_day2,nr_mega_meals_per_day_day3,nr_mega_meals_per_day_day4,nr_mega_meals_per_day_day5,nr_mega_meals_per_day_day6,nr_mega_meals_per_day_day7
FEDXA01,M,2.0,21,18,17,16,18,20,20
FEDXA02,M,2.0,17,11,6,9,7,6,13
FEDXA03,M,2.0,31,26,19,24,21,11,16
FEDXA04,M,2.0,28,22,16,24,18,15,18
FEDXA05,M,2.0,12,13,17,14,13,14,14
FEDXA06,M,2.0,8,5,3,8,7,7,4
FEDXA07,M,1.0,11,10,9,11,7,8,10
FEDXA08,M,1.0,6,7,7,10,12,10,12
FEDXA09,M,1.0,5,6,7,10,6,15,9
FEDXA10,M,1.0,5,9,6,8,15,7,11
FEDXA11,M,1.0,11,7,7,7,8,7,10
FEDXA12,M,1.0,7,12,6,8,7,4,3
FEDXB01,F,2.0,6,6,4,3,2,2,4
FEDXB02,F,2.0,7,8,5,7,5,7,8
FEDXB03,F,2.0,4,1,4,3,1,0,5
FEDXB04,F,2.0,9,15,9,11,14,15,11
FEDXB05,F,2.0,11,6,5,6,6,3,9
FEDXB06,F,2.0,3,10,8,6,15,23,25
FEDXB07,F,1.0,13,11,10,9,11,9,12
FEDXB08,F,1.0,14,14,12,11,13,16,17
FEDXB10,F,1.0,4,3,4,2,5,6,9
FEDXB11,F,1.0,2,1,1,3,6,6,2
FEDXB12,F,1.0,15,15,14,17,17,18,16
