mouse_id,sex,order,nr_pellets_per_day_day1,nr_pellets_per_day_day2,nr_pellets_per_day_day3,nr_pellets_per_day_day4,nr_pellets_per_day_day5,nr_pellets_per_day_day6,nr_pellets_per_day_day7
FEDXA01,M,2.0,245,234,220,210,241,222,214
FEDXA02,M,2.0,225,168,191,171,182,172,179
FEDXA03,M,2.0,350,344,277,281,247,215,225
FEDXA04,M,2.0,292,259,235,206,234,233,206
FEDXA05,M,2.0,266,257,252,265,236,238,219
FEDXA06,M,2.0,216,198,180,200,186,171,173
FEDXA07,M,1.0,171,180,176,162,181,202,188
FEDXA08,M,1.0,166,203,202,169,159,177,174
FEDXA09,M,1.0,161,165,176,190,197,191,206
FEDXA10,M,1.0,168,196,206,203,205,203,179
FEDXA11,M,1.0,201,161,194,206,194,182,187
FEDXA12,M,1.0,194,192,189,186,186,202,212
FEDXB01,F,2.0,242,210,166,155,144,209,215
FEDXB02,F,2.0,181,198,149,148,116,185,195
FEDXB03,F,2.0,236,236,227,185,179,162,167
FEDXB04,F,2.0,222,228,196,182,160,189,165
FEDXB05,F,2.0,235,212,207,184,158,206,222
FEDXB06,F,2.0,136,303,230,230,240,321,294
FEDXB07,F,1.0,201,184,210,195,223,207,188
FEDXB08,F,1.0,174,179,191,170,169,209,178
FEDXB10,F,1.0,164,173,226,210,232,235,222
FEDXB11,F,1.0,155,157,173,182,193,187,165
FEDXB12,F,1.0,167,186,178,177,218,182,165
