mouse_id,sex,order,nr_snacks_per_day_day1,nr_snacks_per_day_day2,nr_snacks_per_day_day3,nr_snacks_per_day_day4,nr_snacks_per_day_day5,nr_snacks_per_day_day6,nr_snacks_per_day_day7
FEDXA01,M,2.0,13,14,14,19,18,12,13
FEDXA02,M,2.0,13,17,16,13,16,12,12
FEDXA03,M,2.0,8,10,15,12,12,7,11
FEDXA04,M,2.0,15,17,10,10,10,9,6
FEDXA05,M,2.0,13,25,10,13,13,5,8
FEDXA06,M,2.0,25,17,10,15,13,11,18
FEDXA07,M,1.0,7,5,8,4,7,9,3
FEDXA08,M,1.0,13,20,22,6,9,10,11
FEDXA09,M,1.0,9,5,3,9,12,5,19
FEDXA10,M,1.0,23,3,9,12,6,7,8
FEDXA11,M,1.0,8,19,19,29,29,30,29
FEDXA12,M,1.0,19,23,21,17,20,23,24
FEDXB01,F,2.0,13,18,7,10,14,16,12
FEDXB02,F,2.0,12,7,9,1,3,9,5
FEDXB03,F,2.0,22,19,19,20,24,11,6
FEDXB04,F,2.0,12,12,11,5,6,6,8
FEDXB05,F,2.0,5,9,7,10,14,29,23
FEDXB06,F,2.0,18,26,20,12,11,16,9
FEDXB07,F,1.0,8,2,18,12,6,19,12
FEDXB08,F,1.0,1,3,2,5,7,7,2
FEDXB10,F,1.0,13,31,31,38,32,41,19
FEDXB11,F,1.0,33,56,52,50,36,40,34
FEDXB12,F,1.0,3,2,7,2,6,0,0
