mouse_id,sex,order,pr_meal_freq_per_day_day1,pr_meal_freq_per_day_day2,pr_meal_freq_per_day_day3,pr_meal_freq_per_day_day4,pr_meal_freq_per_day_day5,pr_meal_freq_per_day_day6,pr_meal_freq_per_day_day7
FEDXA01,M,2.0,1.5416666666666667,1.2916666666666667,1.4583333333333333,1.125,1.2083333333333333,1.375,1.0416666666666667
FEDXA02,M,2.0,1.625,1.7083333333333333,2.375,2.2083333333333335,2.0833333333333335,2.0416666666666665,1.7916666666666667
FEDXA03,M,2.0,1.7083333333333333,1.375,1.8333333333333333,2.3333333333333335,2.5416666666666665,2.5416666666666665,2.25
FEDXA04,M,2.0,1.3333333333333333,1.5416666666666667,1.5833333333333333,1.875,1.9166666666666667,1.9166666666666667,1.9166666666666667
FEDXA05,M,2.0,1.5833333333333333,2.0,2.2916666666666665,2.2916666666666665,2.0416666666666665,2.6666666666666665,2.7916666666666665
FEDXA06,M,2.0,2.2916666666666665,2.0416666666666665,2.6666666666666665,2.2083333333333335,2.25,1.9166666666666667,2.875
FEDXA07,M,1.0,1.375,1.7916666666666667,1.5833333333333333,1.5416666666666667,1.375,1.4166666666666667,1.4166666666666667
FEDXA08,M,1.0,0.75,1.0833333333333333,1.0833333333333333,0.5416666666666666,1.0,0.625,0.625
FEDXA09,M,1.0,1.7083333333333333,2.0833333333333335,2.2083333333333335,1.875,2.0833333333333335,1.7916666666666667,1.4166666666666667
FEDXA10,M,1.0,1.2916666666666667,1.4166666666666667,1.4166666666666667,1.25,1.125,1.25,1.5833333333333333
FEDXA11,M,1.0,1.125,0.5,1.6666666666666667,2.1666666666666665,2.0,2.2083333333333335,1.9583333333333333
FEDXA12,M,1.0,1.625,2.25,2.4583333333333335,2.2916666666666665,1.25,1.3333333333333333,1.625
FEDXB01,F,2.0,0.875,1.5833333333333333,2.7083333333333335,2.7083333333333335,2.9166666666666665,2.875,2.3333333333333335
FEDXB02,F,2.0,1.25,2.0416666666666665,2.875,1.5,2.0833333333333335,2.25,1.2083333333333333
FEDXB03,F,2.0,1.3333333333333333,1.7083333333333333,2.25,2.4166666666666665,2.6666666666666665,2.9166666666666665,2.1666666666666665
FEDXB04,F,2.0,0.9166666666666666,1.5,1.875,1.9583333333333333,1.4583333333333333,1.875,2.125
FEDXB05,F,2.0,1.6666666666666667,1.6666666666666667,1.875,2.0833333333333335,1.9583333333333333,2.0416666666666665,1.7916666666666667
FEDXB06,F,2.0,1.7083333333333333,1.4166666666666667,2.375,2.2083333333333335,2.4166666666666665,2.125,1.4583333333333333
FEDXB07,F,1.0,1.75,1.6666666666666667,2.5833333333333335,2.25,2.4583333333333335,2.9166666666666665,2.9166666666666665
FEDXB08,F,1.0,1.2916666666666667,1.375,1.0833333333333333,0.7083333333333334,1.0,1.5416666666666667,1.5416666666666667
FEDXB10,F,1.0,2.4166666666666665,3.4583333333333335,2.875,2.375,1.7916666666666667,2.4166666666666665,2.5833333333333335
FEDXB11,F,1.0,1.4583333333333333,1.5833333333333333,1.4166666666666667,1.625,1.4166666666666667,1.7083333333333333,1.8333333333333333
FEDXB12,F,1.0,0.7916666666666666,0.875,0.5416666666666666,0.625,0.9166666666666666,1.0,0.9583333333333334
