mouse_id,sex,order,pr_meal_size_per_day_day1,pr_meal_size_per_day_day2,pr_meal_size_per_day_day3,pr_meal_size_per_day_day4,pr_meal_size_per_day_day5,pr_meal_size_per_day_day6,pr_meal_size_per_day_day7
FEDXA01,M,2.0,2.6486486486486487,3.0,2.914285714285714,2.7037037037037037,3.310344827586207,2.9696969696969697,3.84
FEDXA02,M,2.0,2.871794871794872,2.8048780487804876,2.754385964912281,2.9622641509433962,3.0,3.5510204081632653,3.4651162790697674
FEDXA03,M,2.0,2.8048780487804876,2.5454545454545454,2.590909090909091,3.2142857142857144,3.2950819672131146,3.262295081967213,3.314814814814815
FEDXA04,M,2.0,2.90625,2.72972972972973,2.8947368421052633,2.911111111111111,3.4130434782608696,3.4782608695652173,3.760869565217391
FEDXA05,M,2.0,3.0789473684210527,2.9375,2.7454545454545456,3.018181818181818,2.979591836734694,2.796875,2.955223880597015
FEDXA06,M,2.0,2.6363636363636362,2.5306122448979593,2.28125,2.69811320754717,2.5925925925925926,2.717391304347826,2.753623188405797
FEDXA07,M,1.0,3.4242424242424243,2.86046511627907,2.973684210526316,3.4864864864864864,3.757575757575758,3.5294117647058822,3.5294117647058822
FEDXA08,M,1.0,3.5555555555555554,3.4615384615384617,3.0,3.6923076923076925,3.3333333333333335,2.933333333333333,3.3333333333333335
FEDXA09,M,1.0,3.1951219512195124,3.02,3.0,2.933333333333333,3.04,3.3255813953488373,3.1176470588235294
FEDXA10,M,1.0,3.3870967741935485,3.4705882352941178,3.4411764705882355,3.433333333333333,3.3333333333333335,3.466666666666667,3.4210526315789473
FEDXA11,M,1.0,3.0,2.5,2.85,2.9038461538461537,3.0208333333333335,2.792452830188679,3.0851063829787235
FEDXA12,M,1.0,3.358974358974359,3.0,2.9491525423728815,2.8727272727272726,3.2,3.625,3.1538461538461537
FEDXB01,F,2.0,2.8095238095238093,3.0526315789473686,2.7846153846153845,2.6307692307692307,2.8,2.8405797101449277,2.6964285714285716
FEDXB02,F,2.0,3.1333333333333333,2.8979591836734695,2.5942028985507246,2.861111111111111,3.0,3.0,3.3793103448275863
FEDXB03,F,2.0,2.75,2.6341463414634148,2.888888888888889,2.8793103448275863,2.875,3.2142857142857144,3.0
FEDXB04,F,2.0,2.772727272727273,2.5555555555555554,2.577777777777778,2.595744680851064,2.8857142857142857,3.0444444444444443,3.156862745098039
FEDXB05,F,2.0,2.775,2.45,2.8666666666666667,3.1,3.234042553191489,3.4081632653061225,3.6744186046511627
FEDXB06,F,2.0,2.6341463414634148,3.0294117647058822,2.807017543859649,2.9245283018867925,2.8620689655172415,2.9215686274509802,3.2285714285714286
FEDXB07,F,1.0,3.0952380952380953,3.325,3.5,3.3703703703703702,3.3559322033898304,3.257142857142857,3.342857142857143
FEDXB08,F,1.0,3.193548387096774,3.6363636363636362,3.8461538461538463,4.117647058823529,3.125,3.7837837837837838,3.5135135135135136
FEDXB10,F,1.0,2.8620689655172415,2.8433734939759034,2.7246376811594204,2.6666666666666665,2.86046511627907,2.706896551724138,2.6451612903225805
FEDXB11,F,1.0,2.4285714285714284,2.4210526315789473,2.3823529411764706,2.4871794871794872,2.6176470588235294,2.658536585365854,2.8181818181818183
FEDXB12,F,1.0,3.4210526315789473,3.4761904761904763,3.0,3.8,3.090909090909091,3.75,3.739130434782609
