mouse_id,sex,order,pr_meals_per_day_day1,pr_meals_per_day_day2,pr_meals_per_day_day3,pr_meals_per_day_day4,pr_meals_per_day_day5,pr_meals_per_day_day6,pr_meals_per_day_day7
FEDXA01,M,2.0,37,31,35,27,29,33,25
FEDXA02,M,2.0,39,41,57,53,50,49,43
FEDXA03,M,2.0,41,33,44,56,61,61,54
FEDXA04,M,2.0,32,37,38,45,46,46,46
FEDXA05,M,2.0,38,48,55,55,49,64,67
FEDXA06,M,2.0,55,49,64,53,54,46,69
FEDXA07,M,1.0,33,43,38,37,33,34,34
FEDXA08,M,1.0,18,26,26,13,24,15,15
FEDXA09,M,1.0,41,50,53,45,50,43,34
FEDXA10,M,1.0,31,34,34,30,27,30,38
FEDXA11,M,1.0,27,12,40,52,48,53,47
FEDXA12,M,1.0,39,54,59,55,30,32,39
FEDXB01,F,2.0,21,38,65,65,70,69,56
FEDXB02,F,2.0,30,49,69,36,50,54,29
FEDXB03,F,2.0,32,41,54,58,64,70,52
FEDXB04,F,2.0,22,36,45,47,35,45,51
FEDXB05,F,2.0,40,40,45,50,47,49,43
FEDXB06,F,2.0,41,34,57,53,58,51,35
FEDXB07,F,1.0,42,40,62,54,59,70,70
FEDXB08,F,1.0,31,33,26,17,24,37,37
FEDXB10,F,1.0,58,83,69,57,43,58,62
FEDXB11,F,1.0,35,38,34,39,34,41,44
FEDXB12,F,1.0,19,21,13,15,22,24,23
