mouse_id,sex,order,pr_mega_meal_freq_per_day_day1,pr_mega_meal_freq_per_day_day2,pr_mega_meal_freq_per_day_day3,pr_mega_meal_freq_per_day_day4,pr_mega_meal_freq_per_day_day5,pr_mega_meal_freq_per_day_day6,pr_mega_meal_freq_per_day_day7
FEDXA01,M,2.0,0.16666666666666666,0.041666666666666664,0.125,0.25,0.5416666666666666,0.6666666666666666,0.7083333333333334
FEDXA02,M,2.0,0.16666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.2916666666666667
FEDXA03,M,2.0,0.08333333333333333,0.125,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666
FEDXA04,M,2.0,0.20833333333333334,0.0,0.125,0.08333333333333333,0.2916666666666667,0.5,0.5416666666666666
FEDXA05,M,2.0,0.125,0.0,0.125,0.125,0.375,0.20833333333333334,0.3333333333333333
FEDXA06,M,2.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.041666666666666664,0.16666666666666666,0.041666666666666664
FEDXA07,M,1.0,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.25,0.375,0.4166666666666667,0.4166666666666667
FEDXA08,M,1.0,0.2916666666666667,0.25,0.3333333333333333,0.5,0.4583333333333333,0.4583333333333333,0.5416666666666666
FEDXA09,M,1.0,0.08333333333333333,0.08333333333333333,0.125,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.2916666666666667
FEDXA10,M,1.0,0.20833333333333334,0.16666666666666666,0.3333333333333333,0.375,0.4583333333333333,0.375,0.3333333333333333
FEDXA11,M,1.0,0.20833333333333334,0.125,0.20833333333333334,0.25,0.20833333333333334,0.375,0.2916666666666667
FEDXA12,M,1.0,0.125,0.2916666666666667,0.25,0.375,0.6666666666666666,0.4583333333333333,0.4583333333333333
FEDXB01,F,2.0,0.125,0.041666666666666664,0.0,0.125,0.041666666666666664,0.041666666666666664,0.0
FEDXB02,F,2.0,0.3333333333333333,0.16666666666666666,0.125,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.3333333333333333
FEDXB03,F,2.0,0.08333333333333333,0.0,0.125,0.0,0.125,0.16666666666666666,0.125
FEDXB04,F,2.0,0.0,0.041666666666666664,0.125,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
FEDXB05,F,2.0,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.08333333333333333,0.125,0.375,0.25
FEDXB06,F,2.0,0.0,0.125,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.125
FEDXB07,F,1.0,0.041666666666666664,0.375,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.25
FEDXB08,F,1.0,0.20833333333333334,0.4166666666666667,0.4166666666666667,0.5416666666666666,0.625,0.3333333333333333,0.2916666666666667
FEDXB10,F,1.0,0.125,0.041666666666666664,0.125,0.041666666666666664,0.125,0.16666666666666666,0.16666666666666666
FEDXB11,F,1.0,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.0,0.08333333333333333,0.16666666666666666,0.041666666666666664
FEDXB12,F,1.0,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5,0.7083333333333334,0.625
