mouse_id,sex,order,pr_mega_meals_per_day_day1,pr_mega_meals_per_day_day2,pr_mega_meals_per_day_day3,pr_mega_meals_per_day_day4,pr_mega_meals_per_day_day5,pr_mega_meals_per_day_day6,pr_mega_meals_per_day_day7
FEDXA01,M,2.0,4,1,3,6,13,16,17
FEDXA02,M,2.0,4,1,2,2,4,5,7
FEDXA03,M,2.0,2,3,2,5,8,8,16
FEDXA04,M,2.0,5,0,3,2,7,12,13
FEDXA05,M,2.0,3,0,3,3,9,5,8
FEDXA06,M,2.0,4,2,0,0,1,4,1
FEDXA07,M,1.0,4,5,5,6,9,10,10
FEDXA08,M,1.0,7,6,8,12,11,11,13
FEDXA09,M,1.0,2,2,3,8,10,14,7
FEDXA10,M,1.0,5,4,8,9,11,9,8
FEDXA11,M,1.0,5,3,5,6,5,9,7
FEDXA12,M,1.0,3,7,6,9,16,11,11
FEDXB01,F,2.0,3,1,0,3,1,1,0
FEDXB02,F,2.0,8,4,3,2,1,1,8
FEDXB03,F,2.0,2,0,3,0,3,4,3
FEDXB04,F,2.0,0,1,3,4,6,4,4
FEDXB05,F,2.0,2,1,5,2,3,9,6
FEDXB06,F,2.0,0,3,4,2,4,5,3
FEDXB07,F,1.0,1,9,4,8,10,4,6
FEDXB08,F,1.0,5,10,10,13,15,8,7
FEDXB10,F,1.0,3,1,3,1,3,4,4
FEDXB11,F,1.0,2,4,1,0,2,4,1
FEDXB12,F,1.0,10,14,16,14,12,17,15
