mouse_id,sex,order,pr_snacks_per_day_day1,pr_snacks_per_day_day2,pr_snacks_per_day_day3,pr_snacks_per_day_day4,pr_snacks_per_day_day5,pr_snacks_per_day_day6,pr_snacks_per_day_day7
FEDXA01,M,2.0,32,47,53,62,29,26,13
FEDXA02,M,2.0,11,25,33,33,22,16,17
FEDXA03,M,2.0,18,42,43,29,25,26,27
FEDXA04,M,2.0,27,39,36,29,36,19,18
FEDXA05,M,2.0,14,25,26,31,38,37,26
FEDXA06,M,2.0,29,36,42,53,69,48,36
FEDXA07,M,1.0,4,5,17,10,12,7,6
FEDXA08,M,1.0,10,10,12,16,11,14,11
FEDXA09,M,1.0,6,18,20,24,20,18,11
FEDXA10,M,1.0,9,6,10,18,16,12,9
FEDXA11,M,1.0,26,25,35,37,46,39,37
FEDXA12,M,1.0,13,21,31,27,21,15,15
FEDXB01,F,2.0,16,24,32,35,34,41,26
FEDXB02,F,2.0,36,61,70,22,27,21,17
FEDXB03,F,2.0,23,31,44,49,33,28,30
FEDXB04,F,2.0,35,53,55,45,42,32,18
FEDXB05,F,2.0,29,53,30,35,26,18,23
FEDXB06,F,2.0,22,16,25,36,24,13,22
FEDXB07,F,1.0,9,22,18,18,21,29,15
FEDXB08,F,1.0,15,11,4,6,4,9,8
FEDXB10,F,1.0,24,25,31,34,29,34,47
FEDXB11,F,1.0,42,67,38,40,38,41,51
FEDXB12,F,1.0,8,3,5,2,7,3,6
