"sex","order","hour","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","1","0","diet",1,8,2.069,0.188,"",0.205,1
"F","1","1","diet",1,8,0.371,0.559,"",0.044,1
"F","1","2","diet",1,8,0.206,0.662,"",0.025,1
"F","1","3","diet",1,8,9.622,0.015,"*",0.546,1
"F","1","4","diet",1,8,3.388,0.103,"",0.298,1
"F","1","5","diet",1,8,0.422,0.534,"",0.05,1
"F","1","6","diet",1,8,0.746,0.413,"",0.085,1
"F","1","7","diet",1,8,4.859,0.059,"",0.378,1
"F","1","8","diet",1,8,0.852,0.383,"",0.096,1
"F","1","9","diet",1,8,0.007,0.937,"",0.000822,1
"F","1","10","diet",1,8,0.98,0.351,"",0.109,1
"F","1","11","diet",1,8,3.036,0.12,"",0.275,1
"F","1","12","diet",1,8,0.332,0.58,"",0.04,1
"F","1","13","diet",1,8,0.185,0.679,"",0.023,1
"F","1","14","diet",1,8,0.253,0.629,"",0.031,1
"F","1","15","diet",1,8,4.59,0.065,"",0.365,1
"F","1","16","diet",1,8,0.008,0.93,"",0.001,1
"F","1","17","diet",1,8,0.044,0.839,"",0.006,1
"F","1","18","diet",1,8,2.001,0.195,"",0.2,1
"F","1","19","diet",1,8,1.071,0.331,"",0.118,1
"F","1","20","diet",1,8,1.665,0.233,"",0.172,1
"F","1","21","diet",1,8,0.581,0.468,"",0.068,1
"F","1","22","diet",1,8,5.06,0.055,"",0.387,1
"F","1","23","diet",1,8,0.495,0.502,"",0.058,1
"M","1","0","diet",1,10,0.156,0.701,"",0.015,1
"M","1","1","diet",1,10,0.395,0.544,"",0.038,1
"M","1","2","diet",1,10,7.515,0.021,"*",0.429,1
"M","1","3","diet",1,10,5.916,0.035,"*",0.372,1
"M","1","4","diet",1,10,0.023,0.883,"",0.002,1
"M","1","5","diet",1,10,2.095,0.178,"",0.173,1
"M","1","6","diet",1,10,0.007,0.934,"",0.000726,1
"M","1","7","diet",1,10,1.368,0.269,"",0.12,1
"M","1","8","diet",1,10,2.22,0.167,"",0.182,1
"M","1","9","diet",1,10,0.355,0.564,"",0.034,1
