"Effect","DFn","DFd","F","p","p<.05","ges"
"sex",1,912,5.036,0.025,"*",0.005
"order",1,912,26.107,3.93e-07,"*",0.028
"diet",1,912,3.792,0.052,"",0.004
"hour",23,912,182.865,0,"*",0.822
"sex:order",1,912,14.25,0.00017,"*",0.015
"sex:diet",1,912,1.494,0.222,"",0.002
"order:diet",1,912,8.628,0.003,"*",0.009
"sex:hour",23,912,2.67,3.68e-05,"*",0.063
"order:hour",23,912,3.271,3.98e-07,"*",0.076
"diet:hour",23,912,1.33,0.138,"",0.032
"sex:order:diet",1,912,0.086,0.77,"",9.38e-05
"sex:order:hour",23,912,0.715,0.834,"",0.018
"sex:diet:hour",23,912,1.433,0.085,"",0.035
"order:diet:hour",23,912,0.886,0.618,"",0.022
"sex:order:diet:hour",23,912,0.93,0.558,"",0.023
